SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,W,L,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,tsa,ts_pct,fg_pct,win_pct,pts_per_36,league_ts_pct,league_fg_pct,season_gp,season_pts,ts_pct_relative
2023-24,201942,DeMar DeRozan,CHI,40,24,16,191.79333333333332,182,55,113,7,15,65,74,94,145.56,0.6251717504809013,0.48672566371681414,0.6,34.1617713511071,0.5640941792020929,0.4379662890301188,40,182,6.107757127880841
2010-11,201565,Derrick Rose,CHI,43,31,12,166.73166666666663,166,51,127,3,15,61,68,74,156.92000000000002,0.5289319398419576,0.4015748031496063,0.7209302325581395,35.8420216115715,0.5394605775872926,0.41814988290398125,43,166,-1.0528637745334968
2016-17,202710,Jimmy Butler III,CHI,38,22,16,141.23,163,46,102,12,33,59,62,43,129.28,0.6304146039603961,0.45098039215686275,0.5789473684210527,41.54924591092544,0.5457098876494343,0.4221474089214861,38,163,8.470471631096178
2022-23,201942,DeMar DeRozan,CHI,34,14,20,159.50333333333333,159,49,104,3,11,58,65,8,132.6,0.5995475113122172,0.47115384615384615,0.4117647058823529,35.88639735846691,0.5619882020031424,0.4363946822783266,34,159,3.7559309309074806
2005-06,2732,Ben Gordon,CHI,46,24,22,184.16,159,56,118,17,35,30,37,72,134.28,0.5920464700625558,0.4745762711864407,0.5217391304347826,31.081668114682888,0.5369154078661076,0.41808363970588236,46,159,5.5131062196448255
2021-22,201942,DeMar DeRozan,CHI,38,23,15,129.5016666666667,157,46,86,2,4,63,71,53,117.24,0.6695667007847151,0.5348837209302325,0.6052631578947368,43.644225943038045,0.5497779282510012,0.42609501124784965,38,157,11.97887725337139
2015-16,202710,Jimmy Butler III,CHI,38,21,17,191.54,137,41,89,8,23,47,54,-25,112.76,0.6074849237318197,0.4606741573033708,0.5526315789473685,25.749190769552055,0.5365996741325142,0.41230475736258493,38,137,7.088524959930553
2004-05,2732,Ben Gordon,CHI,42,27,15,149.72833333333332,133,40,84,17,35,36,45,64,103.8,0.6406551059730251,0.47619047619047616,0.6428571428571429,31.977915558177592,0.5349189038339374,0.40942984971894,42,133,10.573620213908775
2008-09,2732,Ben Gordon,CHI,46,22,24,170.71166666666667,129,40,87,19,44,30,37,19,103.28,0.6245158791634392,0.45977011494252873,0.4782608695652174,27.203764632372323,0.5516271854069136,0.4275397207510833,46,129,7.288869375652562
2009-10,201565,Derrick Rose,CHI,41,23,18,172.61833333333334,129,48,106,0,6,33,45,35,125.8,0.5127186009538951,0.4528301886792453,0.5609756097560976,26.90328373772581,0.5282030305770923,0.4093427348274994,41,129,-1.5484429623197182
2002-03,147,Jalen Rose,CHI,37,18,19,153.83,121,38,100,7,20,38,45,-7,119.8,0.505008347245409,0.38,0.4864864864864865,28.316973282194628,0.5250064296595248,0.40299060800790903,37,121,-1.9998082414115825
2020-21,203897,Zach LaVine,CHI,27,10,17,104.57666666666668,118,34,87,10,38,40,45,-25,106.8,0.552434456928839,0.39080459770114945,0.37037037037037035,40.620916074331426,0.5695894310973478,0.43826424097822847,27,118,-1.7154974168508863
2008-09,201565,Derrick Rose,CHI,43,21,22,189.63333333333333,118,47,107,1,3,23,31,19,120.64,0.4890583554376658,0.4392523364485981,0.4883720930232558,22.401124978027774,0.5516271854069136,0.4275397207510833,43,118,-6.256882996924778
2006-07,2732,Ben Gordon,CHI,41,22,19,125.57333333333334,116,32,88,6,26,46,49,39,109.56,0.529390288426433,0.36363636363636365,0.5365853658536586,33.25546825228286,0.5425283607902914,0.41917057009025477,41,116,-1.3138072363858444
2005-06,2550,Kirk Hinrich,CHI,50,27,23,202.54333333333332,112,30,82,6,19,46,55,69,106.2,0.527306967984934,0.36585365853658536,0.54,19.906851208794826,0.5369154078661076,0.41808363970588236,50,112,-0.9608439881173547
