threshold,rank,franchise,team,rate_per_100,point_games,meetings,relative_to_all,minimum_meetings,coverage_start,coverage_end
50,4,ATL,Hawks,1.0638297872340425,1,94,3.7039007092198584,40,2000-01,2025-26
50,5,TOR,Raptors,1.0638297872340425,1,94,3.7039007092198584,40,2000-01,2025-26
50,6,DET,Pistons,0.9708737864077669,1,103,3.3802588996763756,40,2000-01,2025-26
50,7,MIL,Bucks,0.0,0,103,0.0,40,2000-01,2025-26
50,8,CLE,Cavaliers,0.0,0,102,0.0,40,2000-01,2025-26
50,9,IND,Pacers,0.0,0,102,0.0,40,2000-01,2025-26
50,10,NYK,Knicks,0.0,0,93,0.0,40,2000-01,2025-26
50,11,MIA,Heat,0.0,0,92,0.0,40,2000-01,2025-26
50,12,WAS,Wizards,0.0,0,92,0.0,40,2000-01,2025-26
50,13,BOS,Celtics,0.0,0,91,0.0,40,2000-01,2025-26
50,14,ORL,Magic,0.0,0,91,0.0,40,2000-01,2025-26
50,15,BKN,Nets,0.0,0,91,0.0,40,2000-01,2025-26
50,16,NOP,Pelicans,0.0,0,53,0.0,40,2000-01,2025-26
50,17,MEM,Grizzlies,0.0,0,52,0.0,40,2000-01,2025-26
50,18,SAC,Kings,0.0,0,52,0.0,40,2000-01,2025-26
50,19,DAL,Mavericks,0.0,0,51,0.0,40,2000-01,2025-26
50,20,SAS,Spurs,0.0,0,51,0.0,40,2000-01,2025-26
50,21,OKC,Thunder,0.0,0,51,0.0,40,2000-01,2025-26
50,22,MIN,Timberwolves,0.0,0,51,0.0,40,2000-01,2025-26
50,23,POR,Trail Blazers,0.0,0,51,0.0,40,2000-01,2025-26
50,24,GSW,Warriors,0.0,0,51,0.0,40,2000-01,2025-26
50,25,UTA,Jazz,0.0,0,50,0.0,40,2000-01,2025-26
50,26,LAL,Lakers,0.0,0,50,0.0,40,2000-01,2025-26
50,27,HOU,Rockets,0.0,0,50,0.0,40,2000-01,2025-26
50,28,PHX,Suns,0.0,0,50,0.0,40,2000-01,2025-26
50,29,DEN,Nuggets,0.0,0,49,0.0,40,2000-01,2025-26
