season_end_year,game_id,game_date,matchup,result,team_points,team_plus_minus,team_source_url,franchise
2001,20000743,2001-02-17,CHI vs. MIA,W,89,7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2001,20000714,2001-02-13,CHI vs. ATL,W,96,4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2001,20000695,2001-02-06,CHI @ PHX,L,80,-17,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHX
2001,20000688,2001-02-05,CHI @ LAC,L,82,-20,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAC
2001,20000677,2001-02-03,CHI @ VAN,L,84,-7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MEM
2001,20000660,2001-02-01,CHI @ SEA,L,91,-6,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,OKC
2001,20000644,2001-01-30,CHI @ POR,L,81,-11,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,POR
2001,20000622,2001-01-27,CHI vs. TOR,L,80,-10,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2001,20000602,2001-01-24,CHI @ CLE,L,86,-8,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2001,20000591,2001-01-23,CHI vs. POR,L,100,-4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,POR
2001,20000574,2001-01-20,CHI @ NJN,L,103,-20,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2001,20000560,2001-01-18,CHI vs. DET,L,110,-6,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET
2001,20000552,2001-01-17,CHI @ PHI,L,88,-11,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2001,20000538,2001-01-15,CHI @ ORL,L,104,-9,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2001,20000531,2001-01-14,CHI @ MIA,L,81,-9,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2001,20000516,2001-01-12,CHI vs. CHH,L,85,-1,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2001,20000494,2001-01-09,CHI @ CHH,L,95,-7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2001,20000489,2001-01-08,CHI vs. DAL,L,91,-15,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DAL
2001,20000462,2001-01-04,CHI vs. WAS,W,98,2,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2001,20000446,2001-01-02,CHI vs. MIL,L,70,-34,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2001,20000439,2000-12-31,CHI vs. NJN,W,86,9,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2001,20000422,2000-12-29,CHI @ NYK,L,68,-27,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2001,20000415,2000-12-28,CHI vs. SAS,W,105,1,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAS
2001,20000388,2000-12-23,CHI @ DET,L,93,-13,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET
2001,20000371,2000-12-21,CHI @ ORL,L,88,-11,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2001,20000355,2000-12-19,CHI vs. IND,L,85,-5,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND
2001,20000340,2000-12-16,CHI vs. PHI,L,91,-8,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2001,20000331,2000-12-15,CHI vs. ATL,L,74,-11,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2001,20000312,2000-12-13,CHI @ BOS,W,104,18,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2001,20000300,2000-12-11,CHI vs. PHX,L,80,-6,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHX
2001,20000289,2000-12-09,CHI @ SAS,L,81,-24,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAS
2001,20000279,2000-12-08,CHI @ DAL,L,86,-19,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DAL
2001,20000265,2000-12-06,CHI vs. CLE,L,88,-4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CLE
