rank,franchise,team,metric,threshold,qualifying_player_games,meetings,rate_per_100,minimum_meetings,coverage_start,coverage_end
1,NYK,Knicks,points,25.0,67,93,72.04301075268818,40,2000-01,2025-26
2,DET,Pistons,points,25.0,61,103,59.22330097087378,40,2000-01,2025-26
3,WAS,Wizards,points,25.0,59,92,64.13043478260869,40,2000-01,2025-26
4,IND,Pacers,points,25.0,55,102,53.92156862745098,40,2000-01,2025-26
5,TOR,Raptors,points,25.0,54,94,57.446808510638306,40,2000-01,2025-26
6,MIL,Bucks,points,25.0,54,103,52.42718446601942,40,2000-01,2025-26
7,CHA,Hornets,points,25.0,50,88,56.81818181818182,40,2000-01,2025-26
8,MIA,Heat,points,25.0,50,92,54.347826086956516,40,2000-01,2025-26
9,ATL,Hawks,points,25.0,50,94,53.191489361702125,40,2000-01,2025-26
10,ORL,Magic,points,25.0,48,91,52.74725274725275,40,2000-01,2025-26
11,CLE,Cavaliers,points,25.0,47,102,46.07843137254902,40,2000-01,2025-26
12,PHI,76ers,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26
13,BOS,Celtics,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26
14,BKN,Nets,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26
15,UTA,Jazz,points,25.0,38,50,76.0,40,2000-01,2025-26
16,MEM,Grizzlies,points,25.0,36,52,69.23076923076923,40,2000-01,2025-26
17,OKC,Thunder,points,25.0,34,51,66.66666666666666,40,2000-01,2025-26
18,NOP,Pelicans,points,25.0,34,53,64.15094339622641,40,2000-01,2025-26
19,DEN,Nuggets,points,25.0,31,49,63.26530612244898,40,2000-01,2025-26
20,LAL,Lakers,points,25.0,31,50,62.0,40,2000-01,2025-26
21,PHX,Suns,points,25.0,31,50,62.0,40,2000-01,2025-26
22,DAL,Mavericks,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26
23,POR,Trail Blazers,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26
24,GSW,Warriors,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26
25,SAC,Kings,points,25.0,30,52,57.692307692307686,40,2000-01,2025-26
26,MIN,Timberwolves,points,25.0,29,51,56.86274509803921,40,2000-01,2025-26
27,HOU,Rockets,points,25.0,26,50,52.0,40,2000-01,2025-26
28,LAC,Clippers,points,25.0,23,50,46.0,40,2000-01,2025-26
29,SAS,Spurs,points,25.0,17,51,33.33333333333333,40,2000-01,2025-26
