FAMILY,ACTION_TYPE,FGA,FGM,FG_PCT,SHARE
Standard jumpers,Jump Shot,2554,939,36.76585747846515,34.434407442362144
Standard jumpers,Jump Bank Shot,8,4,50.0,0.10786032088445463
Layups,Driving Layup Shot,861,402,46.68989547038328,11.60846703518943
Layups,Running Layup Shot,372,233,62.634408602150536,5.015504921127141
Layups,Driving Finger Roll Layup Shot,303,211,69.63696369636963,4.085209653498719
Layups,Cutting Layup Shot,231,151,65.36796536796537,3.1144667655386273
Layups,Putback Layup Shot,107,76,71.02803738317756,1.4426317918295806
Layups,Driving Reverse Layup Shot,104,57,54.807692307692314,1.4021841714979102
Layups,Layup Shot,100,57,56.99999999999999,1.3482540110556829
Layups,Running Finger Roll Layup Shot,69,55,79.71014492753623,0.9302952676284213
Layups,Running Reverse Layup Shot,43,31,72.09302325581395,0.5797492247539436
Layups,Cutting Finger Roll Layup Shot,29,27,93.10344827586206,0.39099366320614803
Layups,Reverse Layup Shot,28,19,67.85714285714286,0.3775111230955912
Layups,Alley Oop Layup shot,18,10,55.55555555555556,0.24268572199002292
Layups,Running Alley Oop Layup Shot,7,4,57.14285714285714,0.0943777807738978
Layups,Finger Roll Layup Shot,6,4,66.66666666666666,0.08089524066334097
Floaters,Driving Floating Jump Shot,425,176,41.411764705882355,5.730079546986652
Floaters,Floating Jump shot,144,72,50.0,1.9414857759201833
Floaters,Driving Floating Bank Jump Shot,140,81,57.85714285714286,1.8875556154779558
Pull-ups,Pullup Jump shot,485,180,37.11340206185567,6.539031953620062
Pull-ups,Running Pull-Up Jump Shot,96,37,38.54166666666667,1.2943238506134556
Dunks,Cutting Dunk Shot,86,78,90.69767441860465,1.1594984495078873
Dunks,Running Dunk Shot,86,76,88.37209302325581,1.1594984495078873
Dunks,Driving Dunk Shot,45,37,82.22222222222221,0.6067143049750573
Dunks,Alley Oop Dunk Shot,24,22,91.66666666666666,0.3235809626533639
Dunks,Dunk Shot,20,17,85.0,0.2696508022111366
Dunks,Running Alley Oop Dunk Shot,16,15,93.75,0.21572064176890926
Dunks,Tip Dunk Shot,13,6,46.15384615384615,0.17527302143723877
Dunks,Putback Dunk Shot,11,10,90.9090909090909,0.14830794121612512
Dunks,Reverse Dunk Shot,2,2,100.0,0.026965080221113658
Dunks,Driving Reverse Dunk Shot,1,1,100.0,0.013482540110556829
Dunks,Running Reverse Dunk Shot,1,1,100.0,0.013482540110556829
Hooks,Turnaround Hook Shot,117,55,47.008547008547005,1.5774571929351489
Hooks,Driving Hook Shot,70,41,58.57142857142858,0.9437778077389779
Hooks,Hook Shot,35,18,51.42857142857142,0.47188890386948895
Hooks,Driving Bank Hook Shot,15,4,26.666666666666668,0.20223810165835243
Hooks,Turnaround Bank Hook Shot,8,6,75.0,0.10786032088445463
Hooks,Hook Bank Shot,2,0,0.0,0.026965080221113658
Running jumpers,Running Jump Shot,245,88,35.91836734693877,3.303222327086423
Step-backs,Step Back Jump shot,192,63,32.8125,2.588647701226911
Step-backs,Step Back Bank Jump Shot,2,0,0.0,0.026965080221113658
Turnarounds/fades,Turnaround Fadeaway shot,57,16,28.07017543859649,0.7685047863017392
Turnarounds/fades,Turnaround Jump Shot,46,19,41.30434782608695,0.6201968450856141
Turnarounds/fades,Fadeaway Jump Shot,41,10,24.390243902439025,0.55278414453283
Turnarounds/fades,Turnaround Bank shot,9,5,55.55555555555556,0.12134286099501146
Turnarounds/fades,Fadeaway Bank shot,4,1,25.0,0.053930160442227315
Turnarounds/fades,Turnaround Fadeaway Bank Jump Shot,1,0,0.0,0.013482540110556829
Tip-ins,Tip Layup Shot,138,59,42.7536231884058,1.8605905352568426
