PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,SHOT_ZONE_BASIC,ACTION_TYPE,SHOT_ATTEMPTED_FLAG
1642359,Pacôme Dadiet,1610612752,New York Knicks,Above the Break 3,Jump Shot,1
1630531,Jaden Springer,1610612742,Dallas Mavericks,Above the Break 3,Jump Shot,1
1643588,Tobi Lawal,1610612742,Dallas Mavericks,Above the Break 3,Pullup Jump shot,1
1642359,Pacôme Dadiet,1610612752,New York Knicks,In The Paint (Non-RA),Driving Layup Shot,1
1643585,Vsevolod Ishchenko,1610612742,Dallas Mavericks,Above the Break 3,Jump Shot,1
1643589,Tyler Nickel,1610612752,New York Knicks,Above the Break 3,Jump Shot,1
1641794,Dillon Jones,1610612752,New York Knicks,Restricted Area,Running Layup Shot,1
1643585,Vsevolod Ishchenko,1610612742,Dallas Mavericks,In The Paint (Non-RA),Running Layup Shot,1
1641857,Liam Robbins,1610612752,New York Knicks,Restricted Area,Cutting Dunk Shot,1
1642967,John Poulakidas,1610612742,Dallas Mavericks,Above the Break 3,Jump Shot,1
1641857,Liam Robbins,1610612752,New York Knicks,Restricted Area,Alley Oop Layup shot,1
1643585,Vsevolod Ishchenko,1610612742,Dallas Mavericks,In The Paint (Non-RA),Running Layup Shot,1
1641794,Dillon Jones,1610612752,New York Knicks,Restricted Area,Running Layup Shot,1
1643588,Tobi Lawal,1610612742,Dallas Mavericks,Above the Break 3,Jump Shot,1
1643585,Vsevolod Ishchenko,1610612742,Dallas Mavericks,In The Paint (Non-RA),Driving Dunk Shot,1
1643679,Jorge Diaz-Graham,1610612742,Dallas Mavericks,In The Paint (Non-RA),Driving Hook Shot,1
1642359,Pacôme Dadiet,1610612752,New York Knicks,Restricted Area,Running Layup Shot,1
1642359,Pacôme Dadiet,1610612752,New York Knicks,Restricted Area,Driving Layup Shot,1
1642359,Pacôme Dadiet,1610612752,New York Knicks,Restricted Area,Putback Layup Shot,1
1642967,John Poulakidas,1610612742,Dallas Mavericks,Above the Break 3,Jump Shot,1
1642359,Pacôme Dadiet,1610612752,New York Knicks,Above the Break 3,Jump Shot,1
