PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,SHOT_ZONE_BASIC,ACTION_TYPE,SHOT_ATTEMPTED_FLAG
1642928,Dylan Cardwell,1610612758,Sacramento Kings,Restricted Area,Dunk Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Restricted Area,Layup Shot,1
1642962,Drake Powell,1610612751,Brooklyn Nets,In The Paint (Non-RA),Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,In The Paint (Non-RA),Driving Layup Shot,1
1643567,Emanuel Sharp,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1642856,Egor Dëmin,1610612751,Brooklyn Nets,Above the Break 3,Jump Shot,1
1642879,Ben Saraf,1610612751,Brooklyn Nets,Restricted Area,Layup Shot,1
1642363,Nique Clifford,1610612758,Sacramento Kings,In The Paint (Non-RA),Pullup Jump shot,1
1643548,Tyler Bilodeau,1610612751,Brooklyn Nets,Mid-Range,Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Mid-Range,Pullup Jump shot,1
1642856,Egor Dëmin,1610612751,Brooklyn Nets,Mid-Range,Jump Shot,1
1643567,Emanuel Sharp,1610612758,Sacramento Kings,Mid-Range,Jump Shot,1
1642856,Egor Dëmin,1610612751,Brooklyn Nets,In The Paint (Non-RA),Driving Layup Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Mid-Range,Running Dunk Shot,1
1643548,Tyler Bilodeau,1610612751,Brooklyn Nets,Above the Break 3,Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1642856,Egor Dëmin,1610612751,Brooklyn Nets,Mid-Range,Floating Jump shot,1
1642879,Ben Saraf,1610612751,Brooklyn Nets,Restricted Area,Layup Shot,1
1642962,Drake Powell,1610612751,Brooklyn Nets,Above the Break 3,Jump Shot,1
1642367,Jonathan Mogbo,1610612758,Sacramento Kings,In The Paint (Non-RA),Layup Shot,1
1641745,Adam Flagler,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1642578,John Ukomadu,1610612751,Brooklyn Nets,In The Paint (Non-RA),Hook Shot,1
1643052,Chaney Johnson,1610612751,Brooklyn Nets,Restricted Area,Tip Layup Shot,1
1643567,Emanuel Sharp,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1643548,Tyler Bilodeau,1610612751,Brooklyn Nets,Above the Break 3,Jump Shot,1
1641745,Adam Flagler,1610612758,Sacramento Kings,Above the Break 3,Pullup Jump shot,1
1642282,Hunter Sallis,1610612751,Brooklyn Nets,Mid-Range,Pullup Jump shot,1
1642282,Hunter Sallis,1610612751,Brooklyn Nets,In The Paint (Non-RA),Layup Shot,1
1642282,Hunter Sallis,1610612751,Brooklyn Nets,Above the Break 3,Jump Shot,1
1643112,Mitch Mascari,1610612758,Sacramento Kings,Mid-Range,Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Restricted Area,Layup Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,In The Paint (Non-RA),Jump Shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Mid-Range,Driving Floating Bank Jump Shot,1
27892,Duke Brennan,1610612751,Brooklyn Nets,Mid-Range,Floating Jump shot,1
1643567,Emanuel Sharp,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
1642856,Egor Dëmin,1610612751,Brooklyn Nets,Mid-Range,Floating Jump shot,1
1643411,Darius Acuff Jr.,1610612758,Sacramento Kings,Above the Break 3,Jump Shot,1
27893,Ben Humrichous,1610612751,Brooklyn Nets,Above the Break 3,Running Pull-Up Jump Shot,1
1642363,Nique Clifford,1610612758,Sacramento Kings,Restricted Area,Driving Layup Shot,1
1642481,Jamarion Sharp,1610612758,Sacramento Kings,Restricted Area,Tip Layup Shot,1
