player_id,gp,deep_3pa,deep_3pm,expected_makes,player_name,rank,attempts_per_game,three_pct,league_three_pct,relative_pp
203897,416,613,232,204.4473629233413,Zach LaVine,1,1.4735576923076923,37.84665579119086,33.3519352240361,4.494720567154765
1629632,451,582,206,195.0457313669572,Coby White,2,1.2904656319290466,35.39518900343643,33.51301226236378,1.882176741072648
202696,378,259,81,86.29055931573409,Nikola Vučević,3,0.6851851851851852,31.27413127413127,33.3168182686232,-2.0426869944919304
1630172,348,198,62,66.09144414059985,Patrick Williams,4,0.5689655172413793,31.313131313131315,33.379517242727196,-2.0663859295958815
1628374,221,146,51,48.29232067083156,Lauri Markkanen,5,0.6606334841628959,34.93150684931507,33.07693196632299,1.8545748829920825
202703,243,110,41,33.5322722417766,Nikola Mirotic,6,0.45267489711934156,37.27272727272727,30.48388385616055,6.788843416566724
1627756,232,114,37,37.59246906421383,Denzel Valentine,7,0.49137931034482757,32.45614035087719,32.97585005632792,-0.5197097054507296
2550,748,111,35,28.86171101251108,Kirk Hinrich,8,0.1483957219251337,31.53153153153153,26.001541452712683,5.529990078818848
1628366,70,76,28,25.298105846128863,Lonzo Ball,9,1.0857142857142856,36.84210526315789,33.28698137648535,3.55512388667254
1630581,124,75,28,24.91291888155006,Josh Giddey,9,0.6048387096774194,37.333333333333336,33.21722517540008,4.116108157933255
2732,398,104,27,27.708681644014227,Ben Gordon,11,0.2613065326633166,25.961538461538463,26.64296311924445,-0.6814246577059855
1641824,157,66,25,21.84645914493823,Matas Buzelis,12,0.42038216560509556,37.878787878787875,33.10069567414883,4.778092204639044
1628989,70,67,24,22.323576168633203,Kevin Huerter,13,0.9571428571428572,35.82089552238806,33.31877040094508,2.5021251214429796
1630245,324,61,22,20.332744395976725,Ayo Dosunmu,14,0.1882716049382716,36.0655737704918,33.33236786225693,2.733205908234872
2768,300,75,20,19.382381871676223,Chris Duhon,15,0.25,26.666666666666668,25.843175828901632,0.8234908377650356
