player_id,gp,all_3pa,deep_3pa,deep_3pm,expected_makes,player_name,rank,deep_attempt_share_pct,three_pct,league_three_pct,relative_pp
203897,420,2922,622,234,207.41374947796317,Zach LaVine,1,21.286789869952088,37.62057877813505,33.34626197394906,4.274316804185986
1629632,456,2904,591,208,198.01211792157906,Coby White,2,20.351239669421485,35.19458544839256,33.504588480808636,1.689996967583923
202696,383,1724,267,84,88.92734736428685,Nikola Vučević,3,15.48723897911833,31.46067415730337,33.30612260834713,-1.8454484510437617
1630172,353,1159,199,63,66.42104264666894,Patrick Williams,4,17.169974115616913,31.65829145728643,33.37740836516027,-1.7191169078738398
1628374,221,1346,146,51,48.29232067083156,Lauri Markkanen,5,10.846953937592868,34.93150684931507,33.07693196632299,1.8545748829920825
202703,260,1262,113,41,34.59844871236484,Nikola Mirotic,6,8.9540412044374,36.283185840707965,30.618096205632604,5.665089635075361
2550,801,2980,119,37,30.69966883715037,Kirk Hinrich,7,3.993288590604027,31.092436974789916,25.79804103962216,5.294395935167756
1627756,236,961,114,37,37.59246906421383,Denzel Valentine,7,11.86264308012487,32.45614035087719,32.97585005632792,-0.5197097054507296
1628366,70,455,76,28,25.298105846128863,Lonzo Ball,9,16.7032967032967,36.84210526315789,33.28698137648535,3.55512388667254
1630581,124,561,75,28,24.91291888155006,Josh Giddey,9,13.368983957219251,37.333333333333336,33.21722517540008,4.116108157933255
2732,427,2020,107,27,28.51528541759913,Ben Gordon,11,5.297029702970297,25.233644859813083,26.649799455700123,-1.4161545958870398
1641824,157,761,66,25,21.84645914493823,Matas Buzelis,12,8.672798948751643,37.878787878787875,33.10069567414883,4.778092204639044
1628989,70,409,67,24,22.323576168633203,Kevin Huerter,13,16.381418092909534,35.82089552238806,33.31877040094508,2.5021251214429796
1630245,329,1065,61,22,20.332744395976725,Ayo Dosunmu,14,5.727699530516432,36.0655737704918,33.33236786225693,2.733205908234872
2768,321,1000,76,20,19.580495079223393,Chris Duhon,15,7.6,26.31578947368421,25.76380931476762,0.5519801589165887
