season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,rank
2023,2022–23,201942,DeMar DeRozan,22200007,2022-10-19,CHI @ MIA,MIA,W,36.13333333333333,37,14,22,2,3,7,11,1,5,6,9,2,1,1,3,13,34.6,68.92697466467959,https://www.nba.com/stats/players/boxscores-traditional?Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,2022-10-19,CHI @ MIA,W,116,8,2020s,1
2022,2021–22,203897,Zach LaVine,22100004,2021-10-20,CHI @ DET,DET,W,35.333333333333336,34,11,17,1,5,11,11,0,7,7,4,1,1,2,2,8,30.300000000000004,77.83882783882784,https://www.nba.com/stats/players/boxscores-traditional?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,2021-10-20,CHI @ DET,W,94,6,2020s,2
2020,2019–20,1628374,Lauri Markkanen,21900003,2019-10-23,CHI @ CHA,CHA,L,34.36666666666667,35,13,25,1,7,8,10,5,12,17,2,1,0,1,1,-8,30.0,59.523809523809526,https://www.nba.com/stats/players/boxscores-traditional?Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,2019-10-23,CHI @ CHA,L,125,-1,2010s,3
2013,2012–13,201149,Joakim Noah,21200007,2012-10-31,CHI vs. SAC,SAC,W,40.016666666666666,23,6,12,0,0,11,12,5,5,10,3,5,3,2,2,6,28.000000000000004,66.55092592592592,https://www.nba.com/stats/players/boxscores-traditional?Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,2012-10-31,CHI vs. SAC,W,93,6,2010s,4
2014,2013–14,2430,Carlos Boozer,21300002,2013-10-29,CHI @ MIA,MIA,L,32.39833333333333,31,13,18,0,0,5,5,3,4,7,2,1,1,2,4,-2,26.4,76.73267326732673,https://www.nba.com/stats/players/boxscores-traditional?Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,2013-10-29,CHI @ MIA,L,95,-12,2010s,5
2026,2025–26,202696,Nikola Vučević,22500084,2025-10-22,CHI vs. DET,DET,W,32.583333333333336,28,11,18,4,6,2,2,4,10,14,2,1,0,1,2,8,26.199999999999996,74.15254237288136,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-10-22,CHI vs. DET,W,115,4,2020s,6
2002,2001–02,1802,Brad Miller,20100016,2001-10-31,CHI vs. IND,IND,L,36.33833333333333,24,7,10,0,0,10,14,5,4,9,1,1,1,1,2,-9,23.499999999999996,74.25742574257426,https://www.nba.com/stats/players/boxscores-traditional?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,2001-10-31,CHI vs. IND,L,73,-27,2000s,7
2015,2014–15,201959,Taj Gibson,21400010,2014-10-29,CHI @ NYK,NYK,W,28.183333333333337,22,10,12,0,0,2,4,3,5,8,1,1,1,0,1,28,22.4,79.94186046511628,https://www.nba.com/stats/players/boxscores-traditional?Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,2014-10-29,CHI @ NYK,W,104,24,2010s,8
2006,2005–06,2768,Chris Duhon,20500012,2005-11-02,CHI vs. CHA,CHA,W,38.516666666666666,18,5,9,2,3,6,8,0,10,10,12,2,0,2,5,8,22.299999999999997,71.8849840255591,https://www.nba.com/stats/players/boxscores-traditional?Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,2005-11-02,CHI vs. CHA,W,109,4,2000s,9
2021,2020–21,1628374,Lauri Markkanen,22000015,2020-12-23,CHI vs. ATL,ATL,L,30.2,21,6,9,4,6,5,5,1,6,7,4,2,0,2,1,-34,22.0,93.75000000000001,https://www.nba.com/stats/players/boxscores-traditional?Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,2020-12-23,CHI vs. ATL,L,104,-20,2020s,10
