game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url,source_opponent,franchise
20000688,2001-02-05,CHI @ LAC,L,82,-20,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAC,LAC
20000677,2001-02-03,CHI @ VAN,L,84,-7,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,VAN,MEM
20000660,2001-02-01,CHI @ SEA,L,91,-6,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SEA,OKC
20000644,2001-01-30,CHI @ POR,L,81,-11,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,POR,POR
20000622,2001-01-27,CHI vs. TOR,L,80,-10,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20000602,2001-01-24,CHI @ CLE,L,86,-8,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20000591,2001-01-23,CHI vs. POR,L,100,-4,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,POR,POR
20000574,2001-01-20,CHI @ NJN,L,103,-20,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20000560,2001-01-18,CHI vs. DET,L,110,-6,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20000552,2001-01-17,CHI @ PHI,L,88,-11,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20000538,2001-01-15,CHI @ ORL,L,104,-9,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20000531,2001-01-14,CHI @ MIA,L,81,-9,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20000516,2001-01-12,CHI vs. CHH,L,85,-1,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20000494,2001-01-09,CHI @ CHH,L,95,-7,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20000489,2001-01-08,CHI vs. DAL,L,91,-15,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DAL,DAL
20000462,2001-01-04,CHI vs. WAS,W,98,2,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20000446,2001-01-02,CHI vs. MIL,L,70,-34,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIL,MIL
20000439,2000-12-31,CHI vs. NJN,W,86,9,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20000422,2000-12-29,CHI @ NYK,L,68,-27,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
20000415,2000-12-28,CHI vs. SAS,W,105,1,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAS,SAS
20000388,2000-12-23,CHI @ DET,L,93,-13,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20000371,2000-12-21,CHI @ ORL,L,88,-11,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20000355,2000-12-19,CHI vs. IND,L,85,-5,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20000340,2000-12-16,CHI vs. PHI,L,91,-8,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20000331,2000-12-15,CHI vs. ATL,L,74,-11,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20000312,2000-12-13,CHI @ BOS,W,104,18,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20000300,2000-12-11,CHI vs. PHX,L,80,-6,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHX,PHX
20000289,2000-12-09,CHI @ SAS,L,81,-24,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAS,SAS
20000279,2000-12-08,CHI @ DAL,L,86,-19,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DAL,DAL
20000265,2000-12-06,CHI vs. CLE,L,88,-4,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20000255,2000-12-05,CHI @ MIN,L,90,-10,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIN,MIN
20000229,2000-12-01,CHI vs. NYK,L,86,-5,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
20000217,2000-11-30,CHI @ ATL,W,91,9,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
