season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2010-11,2243,Brian Scalabrine,33.0,2,0.935,0,0,0,0,0,1,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201228,C.J. Watson,27.0,25,37.815,15,3,14,9,10,17,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,2430,Carlos Boozer,29.0,26,86.52666666666667,47,19,32,9,14,20,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201565,Derrick Rose,22.0,43,166.73166666666665,166,51,127,61,68,31,12,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201949,James Johnson,24.0,2,7.611666666666666,7,3,3,0,0,2,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201149,Joakim Noah,26.0,24,103.81166666666667,26,7,19,12,18,17,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,101249,John Lucas III,28.0,1,0.19,0,0,0,0,2,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,2586,Keith Bogans,31.0,7,5.09,1,0,0,1,1,5,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,703,Kurt Thomas,38.0,18,51.495,18,8,8,2,5,13,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,2594,Kyle Korver,30.0,43,148.605,61,16,36,17,21,30,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,2736,Luol Deng,26.0,42,159.755,39,13,37,11,16,29,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201600,Omer Asik,24.0,11,8.855,0,0,2,0,0,6,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,2446,Rasual Butler,32.0,1,4.72,5,2,2,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,200758,Ronnie Brewer,26.0,29,59.00833333333333,16,4,9,8,12,22,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2010-11,201959,Taj Gibson,26.0,23,56.9,17,6,8,4,6,17,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
