season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url,season_end_year,games,clutch_points_per_game,clutch_points_per_minute,clutch_points_per_5_minutes,qualified,selected,league_average_clutch_points,league_qualified_players,league_average_ratio
2011-12,1888,Richard Hamilton,34,4,12.803333333333333,6,2,7,2,2,1,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2012,4,1.5,0.46862796146836766,2.343139807341838,False,False,32.08203125,256,0.18702057713381226
2011-12,2243,Brian Scalabrine,34,2,0.745,0,0,1,0,0,0,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2012,2,0.0,0.0,0.0,False,False,32.08203125,256,0.0
2014-15,2200,Pau Gasol,34,44,153.185,98,33,53,32,38,28,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2015,44,2.227272727272727,0.639749322714365,3.198746613571825,True,False,32.867986798679866,303,2.9816246611105535
2014-15,2399,Mike Dunleavy,34,18,57.86,13,3,10,5,6,10,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2015,18,0.7222222222222222,0.2246802627030764,1.123401313515382,True,False,32.867986798679866,303,0.3955216387187469
2014-15,2550,Kirk Hinrich,34,28,77.92833333333333,29,9,23,6,8,18,10,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2015,28,1.0357142857142858,0.37213679235194735,1.8606839617597368,True,False,32.867986798679866,303,0.8823175017572046
2022-23,201976,Patrick Beverley,34,7,47.55833333333333,0,0,3,0,1,4,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2023,7,0.0,0.0,0.0,False,False,38.29710144927536,276,0.0
2023-24,201942,DeMar DeRozan,34,40,191.79333333333332,182,55,113,65,74,24,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2024,40,4.55,0.9489380930863083,4.744690465431542,True,True,34.96212121212121,264,5.205633802816902
2024-25,202696,Nikola Vučević,34,29,89.895,44,15,30,8,12,13,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2025,29,1.5172413793103448,0.4894599254686023,2.4472996273430114,True,False,32.86330935251799,278,1.338879159369527
2024-25,1628470,Torrey Craig,34,1,7.165,8,3,4,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2025,1,8.0,1.1165387299371947,5.582693649685973,False,False,32.86330935251799,278,0.2434325744308231
2003-04,213,Antonio Davis,35,31,132.92833333333334,31,10,22,11,14,11,20,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2004,31,1.0,0.23320837042516643,1.1660418521258322,True,False,37.690298507462686,268,0.8224928224928225
2003-04,916,Corie Blount,35,11,15.823333333333334,0,0,1,0,0,5,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2004,11,0.0,0.0,0.0,True,False,37.690298507462686,268,0.0
2005-06,15,Eric Piatkowski,35,1,5.568333333333333,0,0,1,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2006,1,0.0,0.0,0.0,False,False,39.93333333333333,285,0.0
2012-13,1737,Nazr Mohammed,35,6,12.533333333333331,6,2,3,2,2,3,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2013,6,1.0,0.47872340425531923,2.3936170212765964,False,False,36.305755395683455,278,0.16526305360150598
2012-13,1888,Richard Hamilton,35,9,41.11833333333333,24,5,21,14,16,7,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2013,9,2.6666666666666665,0.5836812451866564,2.918406225933282,False,False,36.305755395683455,278,0.6610522144060239
2015-16,2200,Pau Gasol,35,42,183.73833333333337,75,20,59,34,44,24,18,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2016,42,1.7857142857142858,0.4081891820795877,2.0409459103979386,True,True,37.104166666666664,288,2.0213363279056713
2015-16,2399,Mike Dunleavy,35,11,16.05,8,2,5,2,2,9,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2016,11,0.7272727272727273,0.4984423676012461,2.4922118380062304,True,False,37.104166666666664,288,0.21560920830993824
