season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2008-09,201189,Aaron Gray,24.0,10,10.511666666666667,0,0,1,0,0,4,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2804,Andres Nocioni,29.0,24,85.115,28,6,22,13,17,9,15,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2732,Ben Gordon,26.0,46,170.71166666666667,129,40,87,30,37,22,24,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,1802,Brad Miller,33.0,14,53.776666666666664,18,5,12,8,8,9,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,201565,Derrick Rose,20.0,43,189.63333333333333,118,47,107,23,31,21,22,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2400,Drew Gooden,27.0,13,63.31,24,6,14,12,14,7,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,201149,Joakim Noah,24.0,30,71.42166666666667,4,1,6,2,8,13,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2422,John Salmons,29.0,12,50.455,36,10,20,13,16,9,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2550,Kirk Hinrich,28.0,23,66.01666666666667,10,3,10,3,6,10,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,1716,Larry Hughes,30.0,17,42.35,15,3,11,7,10,9,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,283,Lindsey Hunter,38.0,2,0.7333333333333333,0,0,0,0,0,0,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,2736,Luol Deng,24.0,21,79.155,15,4,13,6,6,8,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,200757,Thabo Sefolosha,25.0,12,10.651666666666667,2,0,2,2,2,7,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,1501,Tim Thomas,32.0,1,3.6333333333333333,0,0,2,0,0,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2008-09,200748,Tyrus Thomas,22.0,29,93.95,41,10,26,20,23,13,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
