season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2005-06,2804,Andres Nocioni,26.0,40,137.59833333333333,59,16,42,24,31,20,20,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2732,Ben Gordon,23.0,46,184.16,159,56,118,30,37,24,22,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2768,Chris Duhon,23.0,40,92.98666666666666,25,5,22,12,13,19,21,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2443,Darius Songaila,28.0,25,96.585,45,14,24,16,20,12,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,101188,Eddie Basden,23.0,3,0.6383333333333333,0,0,0,0,0,1,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,15,Eric Piatkowski,35.0,1,5.568333333333333,0,0,1,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2457,Jannero Pargo,26.0,5,1.8116666666666668,3,1,1,0,0,2,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2550,Kirk Hinrich,25.0,50,202.54333333333332,112,30,82,46,55,27,23,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2736,Luol Deng,21.0,47,181.61333333333334,73,25,52,19,25,25,22,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2124,Malik Allen,28.0,5,12.533333333333333,9,4,7,1,3,4,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2552,Michael Sweetney,23.0,15,36.35333333333333,22,7,15,8,11,7,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,970,Othella Harrington,32.0,1,2.4383333333333335,0,0,0,0,0,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2005-06,2199,Tyson Chandler,23.0,41,134.47833333333332,15,5,9,5,9,24,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
