season,player_id,player,clutch_games,clutch_points
2025-26,1630639,A.J. Lawson,2,0
2025-26,1631260,AJ Green,28,24
2025-26,1642358,AJ Johnson,3,2
2025-26,203932,Aaron Gordon,14,48
2025-26,1628988,Aaron Holiday,18,9
2025-26,1630174,Aaron Nesmith,20,25
2025-26,1630598,Aaron Wiggins,17,10
2025-26,1642846,Ace Bailey,21,18
2025-26,1642380,Adama Bal,1,3
2025-26,1641737,Adem Bona,16,8
2025-26,1642349,Ajay Mitchell,20,32
2025-26,201143,Al Horford,16,11
2025-26,1627936,Alex Caruso,19,17
2025-26,1642259,Alex Sarr,14,27
2025-26,1642918,Alijah Martin,1,1
2025-26,1631214,Alondes Williams,2,2
2025-26,1630578,Alperen Sengun,38,92
2025-26,1642873,Amari Williams,3,3
2025-26,1641708,Amen Thompson,42,73
2025-26,1629599,Amir Coffey,4,1
2025-26,1643158,Andersson Garcia,2,0
2025-26,203083,Andre Drummond,13,10
2025-26,1641748,Andre Jackson Jr.,1,0
2025-26,1629614,Andrew Nembhard,22,34
2025-26,203952,Andrew Wiggins,25,48
2025-26,1629014,Anfernee Simons,20,15
2025-26,1641710,Anthony Black,26,39
2025-26,203076,Anthony Davis,12,15
2025-26,1630162,Anthony Edwards,24,135
2025-26,1630264,Anthony Gill,9,4
2025-26,1630574,Ariel Hukporti,7,0
2025-26,1642854,Asa Newell,2,0
2025-26,1641709,Ausar Thompson,36,25
2025-26,1630559,Austin Reaves,19,27
2025-26,1630245,Ayo Dosunmu,27,35
2025-26,1628389,Bam Adebayo,29,43
2025-26,1631248,Baylor Scheierman,14,8
2025-26,1642879,Ben Saraf,8,12
2025-26,1641767,Ben Sheppard,17,6
2025-26,1631097,Bennedict Mathurin,23,43
2025-26,1643016,Bez Mbeng,5,0
2025-26,1641731,Bilal Coulibaly,13,21
2025-26,1642396,Blake Hinson,1,6
2025-26,1626171,Bobby Portis Jr.,19,9
2025-26,203992,Bogdan Bogdanović,7,2
2025-26,1630538,Bones Hyland,12,5
2025-26,1641764,Brandin Podziemski,33,43
2025-26,1629634,Brandon Clarke,1,0
2025-26,1627742,Brandon Ingram,32,64
2025-26,1641706,Brandon Miller,20,25
2025-26,1630314,Brandon Williams,22,31
2025-26,1641729,Brice Sensabaugh,16,28
2025-26,1642355,Bronny James,1,0
2025-26,201572,Brook Lopez,11,13
2025-26,1628971,Bruce Brown,34,15
2025-26,1631121,Bryce McGowens,7,5
2025-26,1642267,Bub Carrington,18,22
2025-26,1627741,Buddy Hield,7,2
2025-26,203468,CJ McCollum,27,67
2025-26,1630595,Cade Cunningham,31,121
2025-26,1631126,Caleb Love,12,20
2025-26,1628997,Caleb Martin,13,0
2025-26,1642285,Cam Spencer,28,28
2025-26,1630560,Cam Thomas,6,10
2025-26,1641715,Cam Whitmore,4,4
2025-26,1629661,Cameron Johnson,23,22
2025-26,1626166,Cameron Payne,1,0
2025-26,1627747,Caris LeVert,15,16
2025-26,1642868,Carter Bryant,3,3
2025-26,1641717,Cason Wallace,27,21
2025-26,1642907,Cedric Coward,28,45
2025-26,1643052,Chaney Johnson,4,1
2025-26,1629646,Charles Bassey,3,6
2025-26,1642404,Chaz Lanier,2,0
2025-26,1631096,Chet Holmgren,27,54
2025-26,1628449,Chris Boucher,1,0
2025-26,1641753,Chris Livingston,1,0
2025-26,1631128,Christian Braun,21,11
2025-26,1631132,Christian Koloko,2,0
2025-26,203991,Clint Capela,6,1
2025-26,1629632,Coby White,16,60
2025-26,1642262,Cody Williams,14,10
2025-26,1630175,Cole Anthony,3,6
2025-26,1631221,Collin Gillespie,30,29
2025-26,1642867,Collin Murray-Boyles,13,10
2025-26,1629012,Collin Sexton,18,17
2025-26,1642843,Cooper Flagg,39,89
2025-26,1630557,Corey Kispert,6,0
2025-26,1642504,Cormac Ryan,2,0
2025-26,1641854,Craig Porter Jr.,5,2
2025-26,1626156,D'Angelo Russell,7,19
2025-26,1641747,DaRon Holmes II,2,0
2025-26,1631342,Daeqwon Plowden,10,23
2025-26,1630625,Dalano Banton,1,0
2025-26,1631207,Dalen Terry,1,0
2025-26,1642261,Dalton Knecht,3,0
2025-26,1629655,Daniel Gafford,27,35
2025-26,1642450,Daniss Jenkins,24,50
2025-26,1642874,Danny Wolf,13,8
2025-26,203967,Dario Saric,1,0
2025-26,1629636,Darius Garland,18,44
2025-26,1630558,Davion Mitchell,24,13
2025-26,1630549,Day'Ron Sharpe,7,4
2025-26,1628368,De'Aaron Fox,29,80
2025-26,1629631,De'Andre Hunter,18,26
2025-26,1629001,De'Anthony Melton,21,35
2025-26,1630610,DeJon Jarreau,2,0
2025-26,201942,DeMar DeRozan,29,86
2025-26,1629731,Dean Wade,15,6
2025-26,1629028,Deandre Ayton,18,22
2025-26,1627749,Dejounte Murray,7,11
2025-26,1630166,Deni Avdija,36,107
2025-26,203471,Dennis Schröder,22,45
2025-26,1641726,Dereck Lively II,3,0
2025-26,1642852,Derik Queen,26,31
2025-26,1627884,Derrick Jones Jr.,16,34
2025-26,1628401,Derrick White,28,62
2025-26,1630217,Desmond Bane,42,102
2025-26,1626164,Devin Booker,30,101
2025-26,1642269,Devin Carter,9,23
2025-26,1630170,Devin Vassell,27,31
2025-26,1628415,Dillon Brooks,27,46
2025-26,1627734,Domantas Sabonis,7,5
2025-26,1631230,Dominick Barlow,13,11
2025-26,1642270,Donovan Clingan,32,24
2025-26,1628378,Donovan Mitchell,34,88
2025-26,1628978,Donte DiVincenzo,29,32
2025-26,1627827,Dorian Finney-Smith,12,0
2025-26,203926,Doug McDermott,5,3
2025-26,1642962,Drake Powell,15,13
2025-26,203110,Draymond Green,28,28
2025-26,1629234,Drew Eubanks,4,0
2025-26,1641809,Drew Peterson,1,0
2025-26,1630696,Dru Smith,9,2
2025-26,1629130,Duncan Robinson,35,24
2025-26,1641871,Duop Reath,1,0
2025-26,203939,Dwight Powell,10,3
2025-26,1642928,Dylan Cardwell,16,13
2025-26,1642844,Dylan Harper,12,13
2025-26,1630700,Dyson Daniels,33,33
2025-26,1630604,E.J. Liddell,5,6
2025-26,1642856,Egor Dëmin,16,25
2025-26,1641989,Elijah Harkless,8,6
2025-26,1642402,Enrique Freeman,1,0
2025-26,1630679,Ethan Thompson,5,2
2025-26,1630596,Evan Mobley,35,48
2025-26,1630532,Franz Wagner,16,47
2025-26,1641713,GG Jackson,11,8
2025-26,1629216,Gabe Vincent,3,0
2025-26,1629726,Garrison Mathews,2,0
2025-26,203914,Gary Harris,5,0
2025-26,1627780,Gary Payton II,25,21
2025-26,1629018,Gary Trent Jr.,14,15
2025-26,203507,Giannis Antetokounmpo,20,51
2025-26,1629048,Goga Bitadze,15,2
2025-26,1641711,Gradey Dick,4,0
2025-26,1641761,Grant Nelson,1,0
2025-26,1629684,Grant Williams,7,1
2025-26,1628960,Grayson Allen,25,51
2025-26,1627824,Guerschon Yabusele,6,5
2025-26,1630611,Gui Santos,18,37
2025-26,203084,Harrison Barnes,28,31
2025-26,1629312,Haywood Highsmith,3,0
2025-26,1630529,Herbert Jones,27,11
2025-26,1642864,Hugo González,9,5
2025-26,1630193,Immanuel Quickley,29,50
2025-26,1630171,Isaac Okoro,26,12
2025-26,1642268,Isaiah Collier,15,21
2025-26,1628392,Isaiah Hartenstein,14,10
2025-26,1630543,Isaiah Jackson,11,8
2025-26,1630198,Isaiah Joe,18,20
2025-26,1630587,Isaiah Livers,1,0
2025-26,1641815,Isaiah Stevens,1,2
2025-26,1630191,Isaiah Stewart,18,3
2025-26,1627826,Ivica Zubac,18,35
2025-26,1631120,JD Davison,2,0
2025-26,1629630,Ja Morant,10,29
2025-26,1642266,Ja'Kobe Walter,12,6
2025-26,1631095,Jabari Smith Jr.,39,59
2025-26,1631133,Jabari Walker,5,2
2025-26,1630702,Jaden Hardy,6,1
2025-26,1631093,Jaden Ivey,3,0
2025-26,1630183,Jaden McDaniels,28,36
2025-26,1630256,Jae'Sean Tate,6,4
2025-26,1642942,Jahmai Mashack,5,4
2025-26,1631170,Jaime Jaquez Jr.,21,30
2025-26,1631222,Jake LaRavia,22,21
2025-26,1627751,Jakob Poeltl,14,18
2025-26,1628973,Jalen Brunson,32,116
2025-26,1631105,Jalen Duren,32,45
2025-26,1630224,Jalen Green,10,13
2025-26,1630552,Jalen Johnson,34,98
2025-26,1629618,Jalen Pickett,6,7
2025-26,1641771,Jalen Slawson,2,0
2025-26,1630188,Jalen Smith,15,13
2025-26,1630591,Jalen Suggs,24,39
2025-26,1631114,Jalen Williams,10,22
2025-26,1630592,Jalen Wilson,5,6
2025-26,1631288,Jamal Cain,8,0
2025-26,1627750,Jamal Murray,38,166
2025-26,1642347,Jamal Shead,31,21
2025-26,1631123,Jamaree Bouyea,1,0
2025-26,201935,James Harden,31,113
2025-26,1642364,Jamir Watkins,7,7
2025-26,1642419,Jamison Battle,4,5
2025-26,1641716,Jarace Walker,21,18
2025-26,1642272,Jared McCain,10,12
2025-26,1628991,Jaren Jackson Jr.,26,33
2025-26,1629020,Jarred Vanderbilt,7,5
2025-26,1628386,Jarrett Allen,22,25
2025-26,1642859,Jase Richardson,2,0
2025-26,1642914,Javon Small,8,6
2025-26,1629750,Javonte Green,30,15
2025-26,1629637,Jaxson Hayes,13,3
2025-26,1630643,Jay Huff,20,9
2025-26,1627759,Jaylen Brown,27,91
2025-26,1641740,Jaylen Clark,12,2
2025-26,1642377,Jaylen Wells,30,26
2025-26,1631119,Jaylin Williams,18,11
2025-26,1642281,Jaylon Tyson,20,28
2025-26,1628369,Jayson Tatum,5,9
2025-26,203924,Jerami Grant,29,71
2025-26,1642847,Jeremiah Fears,25,16
2025-26,1630526,Jeremiah Robinson-Earl,2,0
2025-26,1631110,Jeremy Sochan,7,2
2025-26,1630579,Jericho Sims,13,12
2025-26,1641724,Jett Howard,4,0
2025-26,1628975,Jevon Carter,7,3
2025-26,202710,Jimmy Butler III,16,25
2025-26,1642866,Joan Beringer,3,0
2025-26,1629111,Jock Landale,24,23
2025-26,204060,Joe Ingles,6,0
2025-26,203954,Joel Embiid,20,39
2025-26,1628381,John Collins,19,17
2025-26,1629723,John Konchar,14,2
2025-26,1642967,John Poulakidas,1,0
2025-26,1642910,John Tonje,1,0
2025-26,1642277,Johnny Furphy,7,2
2025-26,1630548,Johnny Juzang,1,0
2025-26,202685,Jonas Valanciunas,11,8
2025-26,1628371,Jonathan Isaac,12,4
2025-26,1630228,Jonathan Kuminga,9,4
2025-26,203903,Jordan Clarkson,10,0
2025-26,1630692,Jordan Goodwin,24,21
2025-26,1641722,Jordan Hawkins,7,0
2025-26,1641757,Jordan Miller,13,12
2025-26,1629673,Jordan Poole,12,12
2025-26,1641775,Jordan Walsh,13,8
2025-26,1630631,Jose Alvarado,18,15
2025-26,1630581,Josh Giddey,28,61
2025-26,1630182,Josh Green,8,0
2025-26,1628404,Josh Hart,21,18
2025-26,1631169,Josh Minott,9,0
2025-26,1642490,Josh Oduro,1,0
2025-26,1629006,Josh Okogie,28,6
2025-26,201950,Jrue Holiday,23,28
2025-26,1630577,Julian Champagnie,29,23
2025-26,1641763,Julian Phillips,1,0
2025-26,1642882,Julian Reese,2,0
2025-26,1631124,Julian Strawther,7,4
2025-26,203944,Julius Randle,31,48
2025-26,1630551,Justin Champagnie,12,0
