season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2013-14,2430,Carlos Boozer,32.0,15,39.086666666666666,14,6,17,2,4,7,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,201858,Cartier Martin,29.0,1,0.25333333333333335,1,0,0,1,2,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,201571,D.J. Augustin,26.0,22,73.70166666666667,56,16,40,15,16,18,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,201565,Derrick Rose,25.0,5,16.4,14,5,10,3,4,3,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,202710,Jimmy Butler III,24.0,28,102.85833333333333,27,7,24,12,16,20,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,201149,Joakim Noah,29.0,34,152.47,43,15,48,13,23,22,12,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,2550,Kirk Hinrich,33.0,29,117.525,35,9,28,14,19,18,11,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,2736,Luol Deng,29.0,11,59.41,29,7,30,14,17,4,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,203104,Marquis Teague,21.0,2,5.655,0,0,3,0,0,0,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,2399,Mike Dunleavy,33.0,29,82.16666666666667,39,12,26,8,10,18,11,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,1737,Nazr Mohammed,36.0,1,4.803333333333334,1,0,1,1,2,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,201959,Taj Gibson,29.0,35,130.31666666666666,44,15,38,14,17,22,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2013-14,203503,Tony Snell,22.0,14,42.086666666666666,11,5,15,0,0,9,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
