season,player_id,player,clutch_games,clutch_points
2008-09,201166,Aaron Brooks,30,44
2008-09,201189,Aaron Gray,10,0
2008-09,201151,Acie Law,2,0
2008-09,200747,Adam Morrison,15,11
2008-09,1733,Al Harrington,39,50
2008-09,201143,Al Horford,41,39
2008-09,2744,Al Jefferson,31,87
2008-09,201154,Al Thornton,28,48
2008-09,201169,Alando Tucker,1,0
2008-09,201582,Alexis Ajinca,1,0
2008-09,947,Allen Iverson,34,65
2008-09,2405,Amar'e Stoudemire,25,46
2008-09,101161,Amir Johnson,7,0
2008-09,2760,Anderson Varejao,30,28
2008-09,101154,Andray Blatche,17,17
2008-09,2738,Andre Iguodala,47,124
2008-09,1889,Andre Miller,47,127
2008-09,200745,Andrea Bargnani,37,34
2008-09,1905,Andrei Kirilenko,30,32
2008-09,2804,Andres Nocioni,32,35
2008-09,101106,Andrew Bogut,17,24
2008-09,101115,Andrew Bynum,15,11
2008-09,2740,Andris Biedrins,31,19
2008-09,1712,Antawn Jamison,38,54
2008-09,1853,Anthony Carter,27,10
2008-09,1533,Anthony Johnson,6,8
2008-09,201627,Anthony Morrow,22,22
2008-09,1515,Anthony Parker,42,45
2008-09,201576,Anthony Randolph,12,4
2008-09,101194,Anthony Roberson,2,0
2008-09,201229,Anthony Tolliver,1,0
2008-09,101120,Antoine Wright,21,4
2008-09,1498,Antonio Daniels,11,2
2008-09,686,Antonio McDyess,42,53
2008-09,201167,Arron Afflalo,35,25
2008-09,1506,Austin Croshere,1,0
2008-09,1884,Baron Davis,24,35
2008-09,2732,Ben Gordon,46,129
2008-09,1112,Ben Wallace,8,2
2008-09,2757,Beno Udrih,30,48
2008-09,201628,Bobby Brown,4,0
2008-09,1517,Bobby Jackson,20,22
2008-09,2250,Bobby Simmons,28,17
2008-09,2564,Boris Diaw,39,56
2008-09,1802,Brad Miller,33,58
2008-09,201148,Brandan Wright,6,0
2008-09,101138,Brandon Bass,28,21
2008-09,200750,Brandon Roy,39,149
2008-09,201575,Brandon Rush,31,29
2008-09,2217,Brendan Haywood,4,1
2008-09,699,Brent Barry,20,3
2008-09,1510,Brevin Knight,2,0
2008-09,2073,Brian Cardinal,9,0
2008-09,2243,Brian Scalabrine,5,3
2008-09,1730,Brian Skinner,8,0
2008-09,201572,Brook Lopez,39,42
2008-09,1477,Bruce Bowen,32,7
2008-09,201228,C.J. Watson,35,39
2008-09,101139,CJ Miles,10,9
2008-09,201171,Carl Landry,27,16
2008-09,2430,Carlos Boozer,15,31
2008-09,2546,Carmelo Anthony,24,93
2008-09,2406,Caron Butler,33,77
2008-09,201858,Cartier Martin,2,0
2008-09,101112,Channing Frye,7,2
2008-09,2294,Charlie Bell,29,28
2008-09,101111,Charlie Villanueva,28,45
2008-09,1497,Chauncey Billups,29,77
2008-09,200798,Cheikh Samb,1,0
2008-09,2365,Chris Andersen,16,2
2008-09,2547,Chris Bosh,38,97
2008-09,201604,Chris Douglas-Roberts,3,3
2008-09,2768,Chris Duhon,44,43
2008-09,2549,Chris Kaman,8,4
2008-09,101108,Chris Paul,44,137
2008-09,200809,Chris Quinn,12,23
2008-09,2404,Chris Wilcox,10,7
2008-09,101236,Chuck Hayes,12,0
2008-09,1088,Chucky Atkins,3,2
2008-09,201147,Corey Brewer,5,6
2008-09,1894,Corey Maggette,25,55
2008-09,201584,Courtney Lee,26,24
2008-09,200783,Craig Smith,12,12
2008-09,1749,Cuttino Mobley,3,5
2008-09,201571,D.J. Augustin,38,50
2008-09,2788,DJ Mbenga,1,0
