season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2017-18,1628469,Antonio Blakeney,21.0,2,9.441666666666666,2,0,3,2,3,1,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1626171,Bobby Portis Jr.,23.0,23,48.413333333333334,22,9,23,2,3,13,10,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1626166,Cameron Payne,23.0,2,9.431666666666667,5,2,5,0,0,1,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1626245,Cristiano Felicio,25.0,7,14.64,7,2,3,3,4,4,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1628021,David Nwaba,25.0,24,68.775,20,8,10,4,8,17,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1627756,Denzel Valentine,24.0,28,88.54666666666667,28,11,29,2,2,11,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1626170,Jerian Grant,25.0,17,61.33833333333333,21,4,9,12,14,6,11,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,203200,Justin Holiday,29.0,32,142.79,40,11,27,14,16,15,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1627770,Kay Felder,23.0,1,0.0,0,0,0,0,0,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1627739,Kris Dunn,24.0,27,109.14666666666666,76,28,58,17,20,15,12,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1628374,Lauri Markkanen,21.0,31,143.71833333333333,72,23,61,15,16,15,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,202703,Nikola Mirotic,27.0,15,39.306666666666665,28,7,18,11,15,10,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,203943,Noah Vonleh,22.0,3,6.25,0,0,0,0,0,2,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1627835,Paul Zipser,24.0,8,14.303333333333333,4,1,2,2,2,3,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,202347,Quincy Pondexter,30.0,1,0.175,0,0,0,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,201577,Robin Lopez,30.0,18,90.72,21,10,30,1,2,8,10,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,1627853,Ryan Arcidiacono,24.0,4,8.648333333333333,2,1,1,0,0,2,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,203930,Sean Kilpatrick,28.0,4,8.648333333333333,12,4,9,1,2,2,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2017-18,203897,Zach LaVine,23.0,9,33.25666666666667,27,6,22,13,17,5,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
