season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2023-24,1641766,Adama Sanogo,22.0,1,5.108333333333333,5,0,0,5,8,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1627936,Alex Caruso,30.0,35,167.975,53,16,33,11,14,20,15,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,203083,Andre Drummond,30.0,14,28.741666666666667,14,7,8,0,2,10,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1630245,Ayo Dosunmu,24.0,26,98.295,32,12,24,4,6,18,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1629632,Coby White,24.0,41,193.23,99,34,73,21,25,24,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1631207,Dalen Terry,21.0,3,5.616666666666666,5,2,2,1,3,2,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,201942,DeMar DeRozan,34.0,40,191.79333333333332,182,55,113,65,74,24,16,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1630929,Henri Drell,24.0,1,4.225,4,1,2,1,2,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1629750,Javonte Green,30.0,2,9.9,2,1,3,0,0,1,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1628975,Jevon Carter,28.0,4,8.441666666666666,2,1,2,0,0,2,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1641763,Julian Phillips,20.0,1,0.05,0,0,0,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,202696,Nikola Vučević,33.0,42,191.585,72,27,62,10,12,25,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1641931,Onuralp Bitim,25.0,4,15.626666666666667,2,0,2,2,2,4,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1630172,Patrick Williams,22.0,13,37.505,15,7,13,0,0,7,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,1628470,Torrey Craig,33.0,18,32.07333333333333,12,4,6,1,2,10,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2023-24,203897,Zach LaVine,29.0,12,59.4,26,9,21,5,6,6,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
