season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2001-02,2062,A.J. Guyton,24.0,10,18.12,10,3,11,2,2,4,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,1802,Brad Miller,26.0,23,70.115,16,3,19,10,13,9,14,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,891,Charles Oakley,38.0,18,59.425,7,2,3,2,4,5,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,1944,Eddie Robinson,26.0,9,16.041666666666668,1,0,0,1,2,0,9,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,2201,Eddy Curry,19.0,10,36.98,10,2,6,6,8,5,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,697,Fred Hoiberg,29.0,27,49.88333333333333,30,9,12,9,12,13,14,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,21,Greg Anthony,34.0,17,59.38166666666667,12,3,11,4,8,7,10,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,147,Jalen Rose,29.0,16,81.28333333333333,61,21,43,15,17,8,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,2037,Jamal Crawford,22.0,4,5.625,0,0,2,0,0,2,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,1563,Kevin Ollie,29.0,16,22.708333333333332,13,2,4,9,9,10,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,2033,Marcus Fizer,23.0,34,110.215,44,18,37,8,11,14,20,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,1897,Metta World Peace,22.0,14,40.605,20,6,15,7,14,7,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,1500,Ron Mercer,26.0,19,61.71333333333333,46,17,34,11,14,6,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,696,Travis Best,29.0,16,75.52833333333334,43,15,29,13,14,8,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,2239,Trenton Hassell,23.0,36,123.31333333333333,33,10,25,8,9,17,19,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2001-02,2199,Tyson Chandler,19.0,15,55.745,19,4,12,11,18,8,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
