season,player_id,player,clutch_games,clutch_points
2021-22,203932,Aaron Gordon,32,44
2021-22,1628988,Aaron Holiday,8,3
2021-22,1630174,Aaron Nesmith,3,3
2021-22,1630598,Aaron Wiggins,20,15
2021-22,1627846,Abdel Nader,1,0
2021-22,1629678,Admiral Schofield,2,0
2021-22,201143,Al Horford,22,15
2021-22,202692,Alec Burks,41,41
2021-22,1630197,Aleksej Pokusevski,7,7
2021-22,1627936,Alex Caruso,19,3
2021-22,203458,Alex Len,6,5
2021-22,1628035,Alfonzo McKinnie,3,0
2021-22,1630578,Alperen Sengun,8,2
2021-22,1629599,Amir Coffey,23,20
2021-22,203083,Andre Drummond,15,19
2021-22,2738,Andre Iguodala,11,3
2021-22,203952,Andrew Wiggins,35,40
2021-22,1629014,Anfernee Simons,19,37
2021-22,203076,Anthony Davis,23,69
2021-22,1630162,Anthony Edwards,33,46
2021-22,1630264,Anthony Gill,9,5
2021-22,1629717,Armoni Brooks,5,3
2021-22,1630559,Austin Reaves,25,35
2021-22,203085,Austin Rivers,25,15
2021-22,202340,Avery Bradley,26,18
2021-22,1630245,Ayo Dosunmu,24,22
2021-22,1628389,Bam Adebayo,28,38
2021-22,203463,Ben McLemore,10,10
2021-22,202687,Bismack Biyombo,10,12
2021-22,201933,Blake Griffin,15,7
2021-22,1626246,Boban Marjanovic,3,0
2021-22,1626171,Bobby Portis Jr.,28,20
2021-22,203992,Bogdan Bogdanović,22,52
2021-22,202711,Bojan Bogdanovic,34,55
2021-22,1630538,Bones Hyland,7,10
2021-22,202954,Brad Wanamaker,1,0
2021-22,203078,Bradley Beal,18,53
2021-22,1630527,Brandon Boston Jr.,5,5
2021-22,1629634,Brandon Clarke,17,19
2021-22,1629164,Brandon Goodwin,10,7
2021-22,1627742,Brandon Ingram,20,51
2021-22,202688,Brandon Knight,1,0
2021-22,1630314,Brandon Williams,4,12
2021-22,1630296,Braxton Key,2,1
2021-22,1630271,Brodric Thomas,1,0
2021-22,201572,Brook Lopez,3,0
2021-22,1628971,Bruce Brown,24,14
2021-22,1628981,Bruno Fernando,2,0
2021-22,1627854,Bryn Forbes,13,22
2021-22,1627741,Buddy Hield,39,63
2021-22,1629604,CJ Elleby,6,3
2021-22,203468,CJ McCollum,24,32
2021-22,1630595,Cade Cunningham,34,67
2021-22,1628997,Caleb Martin,20,4
2021-22,1629629,Cam Reddish,9,6
2021-22,1630560,Cam Thomas,10,15
2021-22,1629661,Cameron Johnson,25,23
2021-22,1628419,Cameron Oliver,1,0
2021-22,1626166,Cameron Payne,9,19
2021-22,1627747,Caris LeVert,28,51
2021-22,2546,Carmelo Anthony,32,45
2021-22,1629035,Carsen Edwards,1,0
2021-22,1630199,Cassius Stanley,1,2
2021-22,1626224,Cedi Osman,18,12
2021-22,1629718,Charlie Brown Jr.,2,0
2021-22,1629002,Chimezie Metu,14,9
2021-22,1628449,Chris Boucher,23,13
2021-22,1629185,Chris Chiozza,3,0
2021-22,1630537,Chris Duarte,19,25
2021-22,101108,Chris Paul,29,80
2021-22,1626174,Christian Wood,23,38
2021-22,1629643,Chuma Okeke,14,22
2021-22,203991,Clint Capela,28,23
2021-22,1629632,Coby White,24,7
2021-22,1628998,Cody Martin,26,18
2021-22,203469,Cody Zeller,1,0
2021-22,1630175,Cole Anthony,25,81
2021-22,1629012,Collin Sexton,5,5
2021-22,1630557,Corey Kispert,21,13
2021-22,202709,Cory Joseph,27,23
2021-22,1626156,D'Angelo Russell,28,92
2021-22,201571,D.J. Augustin,5,7
2021-22,1628391,D.J. Wilson,1,4
2021-22,1630227,Daishen Nix,1,0
2021-22,1630625,Dalano Banton,4,0
2021-22,1627745,Damian Jones,13,20
2021-22,203081,Damian Lillard,12,29
2021-22,1627814,Damion Lee,20,18
2021-22,1628422,Damyean Dotson,1,0
2021-22,1629655,Daniel Gafford,19,17
2021-22,1628464,Daniel Theis,6,10
2021-22,201568,Danilo Gallinari,23,12
2021-22,201980,Danny Green,21,18
2021-22,1627863,Danuel House Jr.,10,12
2021-22,1629647,Darius Bazley,28,29
2021-22,1629636,Darius Garland,34,84
2021-22,1630561,David Duke Jr.,6,5
2021-22,1628021,David Nwaba,6,0
2021-22,1630558,Davion Mitchell,32,34
2021-22,202722,Davis Bertans,5,5
2021-22,1628432,Davon Reed,7,0
2021-22,1630549,Day'Ron Sharpe,5,2
2021-22,1628368,De'Aaron Fox,30,80
2021-22,1629631,De'Andre Hunter,27,28
2021-22,1629001,De'Anthony Melton,20,16
2021-22,201599,DeAndre Jordan,1,0
2021-22,1627761,DeAndre' Bembry,9,5
2021-22,201942,DeMar DeRozan,38,157
2021-22,202326,DeMarcus Cousins,2,0
2021-22,1629731,Dean Wade,11,3
2021-22,1629028,Deandre Ayton,28,40
2021-22,1627749,Dejounte Murray,34,94
2021-22,1626153,Delon Wright,10,1
2021-22,1630166,Deni Avdija,25,21
2021-22,203471,Dennis Schröder,24,51
2021-22,1628372,Dennis Smith Jr.,8,3
2021-22,1627756,Denzel Valentine,4,0
2021-22,202324,Derrick Favors,7,8
2021-22,1627884,Derrick Jones Jr.,15,8
2021-22,201565,Derrick Rose,12,13
2021-22,1628476,Derrick Walton Jr.,2,2
2021-22,1628401,Derrick White,25,30
2021-22,1630217,Desmond Bane,29,61
2021-22,1626164,Devin Booker,32,94
2021-22,1629962,Devin Cannady,1,1
2021-22,1630170,Devin Vassell,26,6
2021-22,1629719,Devontae Cacok,2,0
2021-22,1628984,Devonte' Graham,26,51
2021-22,203473,Dewayne Dedmon,7,0
2021-22,1628415,Dillon Brooks,7,13
2021-22,1627734,Domantas Sabonis,33,54
2021-22,1628378,Donovan Mitchell,33,79
