season,player_id,player,clutch_games,clutch_points
2011-12,201985,AJ Price,4,0
2011-12,201189,Aaron Gray,8,1
2011-12,1733,Al Harrington,30,67
2011-12,201143,Al Horford,6,9
2011-12,2744,Al Jefferson,34,84
2011-12,202329,Al-Farouq Aminu,19,11
2011-12,101187,Alan Anderson,7,2
2011-12,202692,Alec Burks,17,17
2011-12,202087,Alonzo Gee,27,33
2011-12,2405,Amar'e Stoudemire,20,19
2011-12,101161,Amir Johnson,29,25
2011-12,2760,Anderson Varejao,13,16
2011-12,101154,Andray Blatche,7,2
2011-12,2738,Andre Iguodala,25,20
2011-12,1889,Andre Miller,28,54
2011-12,200745,Andrea Bargnani,14,48
2011-12,101106,Andrew Bogut,6,2
2011-12,101115,Andrew Bynum,33,87
2011-12,202726,Andrew Goudelock,3,1
2011-12,2740,Andris Biedrins,9,0
2011-12,1712,Antawn Jamison,31,23
2011-12,1853,Anthony Carter,8,4
2011-12,201627,Anthony Morrow,27,44
2011-12,1515,Anthony Parker,15,8
2011-12,201576,Anthony Randolph,6,7
2011-12,201229,Anthony Tolliver,19,20
2011-12,202356,Armon Johnson,2,0
2011-12,201167,Arron Afflalo,30,48
2011-12,201948,Austin Daye,5,6
2011-12,202340,Avery Bradley,16,3
2011-12,1884,Baron Davis,8,2
2011-12,2732,Ben Gordon,20,25
2011-12,202386,Ben Uzoh,4,3
2011-12,1112,Ben Wallace,10,8
2011-12,2757,Beno Udrih,15,18
2011-12,202687,Bismack Biyombo,14,9
2011-12,201336,Blake Ahearn,2,0
2011-12,201933,Blake Griffin,40,69
2011-12,2250,Bobby Simmons,6,3
2011-12,2564,Boris Diaw,16,6
2011-12,201148,Brandan Wright,13,7
2011-12,101138,Brandon Bass,26,35
2011-12,201943,Brandon Jennings,40,62
2011-12,202688,Brandon Knight,26,34
2011-12,201575,Brandon Rush,31,29
2011-12,2217,Brendan Haywood,16,4
2011-12,2073,Brian Cardinal,3,0
2011-12,2567,Brian Cook,7,0
2011-12,2243,Brian Scalabrine,2,0
2011-12,201572,Brook Lopez,1,2
2011-12,201957,Byron Mullens,19,16
2011-12,201228,C.J. Watson,17,29
2011-12,101139,CJ Miles,22,16
2011-12,201171,Carl Landry,13,25
2011-12,2430,Carlos Boozer,22,22
2011-12,2568,Carlos Delfino,20,10
2011-12,2546,Carmelo Anthony,24,91
2011-12,2406,Caron Butler,32,26
2011-12,201858,Cartier Martin,4,7
2011-12,202718,Chandler Parsons,34,38
2011-12,101112,Channing Frye,24,37
2011-12,202724,Charles Jenkins,11,18
2011-12,101111,Charlie Villanueva,4,2
2011-12,201978,Chase Budinger,24,19
2011-12,1497,Chauncey Billups,9,29
2011-12,2365,Chris Andersen,5,6
2011-12,2547,Chris Bosh,25,57
2011-12,2768,Chris Duhon,9,0
2011-12,202419,Chris Johnson,1,0
2011-12,2549,Chris Kaman,23,28
2011-12,101108,Chris Paul,36,143
2011-12,202698,Chris Singleton,16,3
2011-12,2404,Chris Wilcox,2,0
2011-12,202874,Chris Wright,2,2
2011-12,201963,Christian Eyenga,1,0
2011-12,101236,Chuck Hayes,20,8
2011-12,202332,Cole Aldrich,1,0
2011-12,201147,Corey Brewer,23,10
2011-12,1894,Corey Maggette,11,13
2011-12,202709,Cory Joseph,3,5
2011-12,202622,Courtney Fortson,1,0
2011-12,201584,Courtney Lee,32,50
2011-12,202342,Craig Brackins,1,0
2011-12,200783,Craig Smith,2,0
2011-12,201571,D.J. Augustin,15,32
2011-12,201591,DJ White,8,8
2011-12,201969,DaJuan Summers,2,0
2011-12,201161,Daequan Cook,14,10
2011-12,2563,Dahntay Jones,8,0
2011-12,2863,Damien Wilkins,15,1
2011-12,202345,Damion James,1,0
2011-12,2429,Dan Gadzuric,1,0
2011-12,200789,Daniel Gibson,16,16
2011-12,201568,Danilo Gallinari,16,36
2011-12,101122,Danny Granger,27,92
2011-12,201980,Danny Green,24,14
2011-12,201967,Dante Cunningham,23,13
2011-12,202721,Darius Morris,1,0
2011-12,2545,Darko Milicic,4,2
2011-12,201954,Darren Collison,22,42
2011-12,201208,Darryl Watkins,2,2
2011-12,101135,David Lee,33,49
2011-12,2561,David West,27,57
2011-12,201599,DeAndre Jordan,29,25
2011-12,201971,DeJuan Blair,6,7
2011-12,201942,DeMar DeRozan,29,35
2011-12,202326,DeMarcus Cousins,27,50
2011-12,201960,DeMarre Carroll,2,2
2011-12,2205,DeSagana Diop,2,0
2011-12,2052,DeShawn Stevenson,14,0
2011-12,2753,Delonte West,13,24
2011-12,965,Derek Fisher,27,35
2011-12,101114,Deron Williams,26,56
2011-12,201974,Derrick Brown,12,3
2011-12,201182,Derrick Byars,1,0
2011-12,202324,Derrick Favors,17,25
2011-12,201565,Derrick Rose,18,44
2011-12,202682,Derrick Williams,16,20
2011-12,202365,Devin Ebanks,2,3
2011-12,2734,Devin Harris,32,76
2011-12,202354,Dexter Pittman,2,0
2011-12,1717,Dirk Nowitzki,30,91
2011-12,201187,Dominic McGuire,28,6
2011-12,202346,Dominique Jones,1,0
2011-12,202388,Donald Sloan,4,3
2011-12,201590,Donte Greene,15,7
2011-12,2748,Dorell Wright,16,14
2011-12,2400,Drew Gooden,22,32
2011-12,2730,Dwight Howard,27,48
2011-12,2548,Dwyane Wade,20,55
2011-12,202734,E'Twaun Moore,3,2
2011-12,1863,Earl Boykins,2,3
2011-12,201947,Earl Clark,2,0
2011-12,2248,Earl Watson,20,3
2011-12,202334,Ed Davis,13,8
2011-12,2059,Eduardo Najera,5,0
2011-12,202775,Edwin Ubiles,1,0
2011-12,202327,Ekpe Udoh,20,12
2011-12,202343,Elliot Williams,1,0
2011-12,1882,Elton Brand,19,16
2011-12,2731,Emeka Okafor,11,6
2011-12,202683,Enes Freedom,4,0
2011-12,202339,Eric Bledsoe,6,2
2011-12,201569,Eric Gordon,7,14
2011-12,201953,Eric Maynor,1,0
2011-12,101141,Ersan Ilyasova,28,52
