season,player_id,player,clutch_games,clutch_points
2001-02,2062,A.J. Guyton,10,10
2001-02,243,Aaron McKie,24,33
2001-02,1425,Aaron Williams,13,14
2001-02,1502,Adonal Foyle,17,0
2001-02,1559,Adrian Griffin,19,18
2001-02,1733,Al Harrington,23,30
2001-02,673,Alan Henderson,2,2
2001-02,275,Allan Houston,47,107
2001-02,947,Allen Iverson,33,77
2001-02,297,Alonzo Mourning,47,68
2001-02,2228,Alton Ford,7,5
2001-02,2264,Alvin Jones,3,0
2001-02,1541,Alvin Williams,43,77
2001-02,1043,Amal McCaskill,1,0
2001-02,1889,Andre Miller,38,91
2001-02,1905,Andrei Kirilenko,28,26
2001-02,692,Andrew DeClercq,4,0
2001-02,358,Anfernee Hardaway,33,61
2001-02,1738,Ansu Sesay,3,8
2001-02,1712,Antawn Jamison,40,71
2001-02,1853,Anthony Carter,16,0
2001-02,1533,Anthony Johnson,4,2
2001-02,193,Anthony Mason,45,47
2001-02,324,Anthony Peeler,34,31
2001-02,952,Antoine Walker,51,125
2001-02,1498,Antonio Daniels,37,25
2001-02,213,Antonio Davis,40,52
2001-02,686,Antonio McDyess,2,4
2001-02,2238,Antonis Fotsis,3,6
2001-02,1609,Art Long,7,4
2001-02,1506,Austin Croshere,20,22
2001-02,422,Avery Johnson,23,13
2001-02,1884,Baron Davis,47,72
2001-02,1112,Ben Wallace,44,31
2001-02,902,Bimbo Coles,8,8
2001-02,448,Bo Outlaw,27,24
2001-02,682,Bob Sura,28,21
2001-02,1517,Bobby Jackson,26,25
2001-02,2250,Bobby Simmons,3,2
2001-02,1719,Bonzi Wells,31,82
2001-02,1802,Brad Miller,33,31
2001-02,2220,Brandon Armstrong,2,2
2001-02,2217,Brendan Haywood,13,4
2001-02,699,Brent Barry,41,42
2001-02,1510,Brevin Knight,15,18
2001-02,258,Brian Grant,38,28
2001-02,2243,Brian Scalabrine,2,1
2001-02,216,Brian Shaw,10,11
2001-02,1730,Brian Skinner,11,9
2001-02,1477,Bruce Bowen,22,14
2001-02,1743,Bruno Sundov,2,0
2001-02,179,Bryant Stith,3,8
2001-02,1724,Bryce Drew,11,7
2001-02,935,Bryon Russell,30,25
2001-02,1898,Cal Bowdler,6,0
2001-02,384,Calbert Cheaney,20,17
2001-02,1916,Calvin Booth,1,0
2001-02,2306,Carlos Arroyo,2,5
2001-02,435,Carlos Rogers,3,4
2001-02,891,Charles Oakley,18,7
2001-02,1520,Charles Smith,14,4
2001-02,369,Charlie Ward,20,11
2001-02,1497,Chauncey Billups,37,42
2001-02,685,Cherokee Parks,2,0
2001-02,164,Chris Childs,33,21
2001-02,1544,Chris Crawford,3,0
2001-02,423,Chris Gatling,9,6
2001-02,2036,Chris Mihm,13,14
2001-02,168,Chris Mills,20,12
2001-02,185,Chris Webber,18,39
2001-02,43,Chris Whitney,31,49
