season,player_id,player,clutch_games,clutch_points
2024-25,1630639,A.J. Lawson,3,8
2024-25,1631260,AJ Green,25,20
2024-25,1642358,AJ Johnson,5,7
2024-25,203932,Aaron Gordon,20,42
2024-25,1628988,Aaron Holiday,15,4
2024-25,1630174,Aaron Nesmith,20,32
2024-25,1630598,Aaron Wiggins,8,14
2024-25,1641737,Adem Bona,5,2
2024-25,1642349,Ajay Mitchell,2,0
2024-25,201143,Al Horford,24,25
2024-25,202692,Alec Burks,9,14
2024-25,1627936,Alex Caruso,7,11
2024-25,203458,Alex Len,5,0
2024-25,1642259,Alex Sarr,19,25
2024-25,1630578,Alperen Sengun,38,86
2024-25,1641708,Amen Thompson,40,49
2024-25,1629599,Amir Coffey,24,7
2024-25,203083,Andre Drummond,5,0
2024-25,1641748,Andre Jackson Jr.,13,0
2024-25,1629614,Andrew Nembhard,27,41
2024-25,203952,Andrew Wiggins,32,47
2024-25,1629014,Anfernee Simons,25,79
2024-25,1641710,Anthony Black,18,18
2024-25,203076,Anthony Davis,21,41
2024-25,1630162,Anthony Edwards,42,157
2024-25,1630264,Anthony Gill,1,0
2024-25,1641810,Antonio Reeves,6,3
2024-25,1630574,Ariel Hukporti,2,0
2024-25,1641709,Ausar Thompson,27,17
2024-25,1630559,Austin Reaves,34,62
2024-25,1630245,Ayo Dosunmu,16,11
2024-25,1628389,Bam Adebayo,40,87
2024-25,1631248,Baylor Scheierman,2,0
2024-25,1641767,Ben Sheppard,18,3
2024-25,1627732,Ben Simmons,8,4
2024-25,1631097,Bennedict Mathurin,26,71
2024-25,1641731,Bilal Coulibaly,22,15
2024-25,202687,Bismack Biyombo,4,0
2024-25,1631104,Blake Wesley,3,2
2024-25,1626171,Bobby Portis Jr.,15,14
2024-25,1641752,Bobi Klintman,1,3
2024-25,203992,Bogdan Bogdanović,22,11
2024-25,1629626,Bol Bol,5,8
2024-25,1630538,Bones Hyland,2,1
2024-25,203078,Bradley Beal,23,38
2024-25,1641764,Brandin Podziemski,28,25
2024-25,1630527,Brandon Boston Jr.,9,8
2024-25,1629634,Brandon Clarke,17,9
2024-25,1627742,Brandon Ingram,7,17
2024-25,1641706,Brandon Miller,15,43
2024-25,1630314,Brandon Williams,4,9
2024-25,1641729,Brice Sensabaugh,16,19
2024-25,201572,Brook Lopez,34,50
2024-25,1628971,Bruce Brown,13,9
2024-25,1628981,Bruno Fernando,2,2
2024-25,1642267,Bub Carrington,17,18
2024-25,1627741,Buddy Hield,31,21
2024-25,203468,CJ McCollum,24,74
2024-25,1630595,Cade Cunningham,37,87
2024-25,1631216,Caleb Houstan,6,6
2024-25,1628997,Caleb Martin,14,10
2024-25,1642353,Cam Christie,1,0
2024-25,1629629,Cam Reddish,6,0
2024-25,1642285,Cam Spencer,1,2
2024-25,1630560,Cam Thomas,15,36
2024-25,1641715,Cam Whitmore,6,0
2024-25,1629661,Cameron Johnson,28,61
2024-25,1626166,Cameron Payne,7,1
2024-25,1627747,Caris LeVert,20,23
2024-25,1641717,Cason Wallace,18,13
2024-25,1629646,Charles Bassey,4,0
2024-25,1631096,Chet Holmgren,4,2
2024-25,1628449,Chris Boucher,11,16
2024-25,101108,Chris Paul,30,50
2024-25,1631128,Christian Braun,32,35
2024-25,1631132,Christian Koloko,3,0
2024-25,1629643,Chuma Okeke,2,0
2024-25,203991,Clint Capela,17,17
2024-25,1629632,Coby White,31,75
2024-25,1628998,Cody Martin,26,21
2024-25,1642262,Cody Williams,12,2
2024-25,1641732,Colby Jones,4,4
2024-25,1630175,Cole Anthony,12,23
2024-25,1630658,Colin Castleton,4,0
2024-25,1631221,Collin Gillespie,3,5
2024-25,1629012,Collin Sexton,16,38
2024-25,1630557,Corey Kispert,17,4
2024-25,202709,Cory Joseph,6,0
2024-25,1641854,Craig Porter Jr.,3,5
2024-25,1626156,D'Angelo Russell,24,23
2024-25,1629610,DaQuan Jeffries,8,2
2024-25,1630625,Dalano Banton,10,16
2024-25,1631207,Dalen Terry,2,0
2024-25,1642261,Dalton Knecht,12,12
2024-25,203081,Damian Lillard,27,60
2024-25,1641878,Damion Baugh,4,4
2024-25,1629655,Daniel Gafford,18,19
2024-25,1628464,Daniel Theis,6,2
2024-25,1642450,Daniss Jenkins,1,0
2024-25,203957,Dante Exum,6,4
2024-25,203967,Dario Saric,2,3
2024-25,1641727,Dariq Whitehead,1,0
2024-25,1629636,Darius Garland,34,103
2024-25,1630561,David Duke Jr.,1,0
2024-25,1631223,David Roddy,1,0
2024-25,1630558,Davion Mitchell,29,32
2024-25,1630549,Day'Ron Sharpe,3,0
2024-25,1628368,De'Aaron Fox,32,100
2024-25,1629631,De'Andre Hunter,29,70
2024-25,1629001,De'Anthony Melton,1,0
2024-25,201599,DeAndre Jordan,3,0
2024-25,201942,DeMar DeRozan,37,132
2024-25,1629731,Dean Wade,14,5
2024-25,1629028,Deandre Ayton,13,20
2024-25,1627749,Dejounte Murray,11,30
2024-25,1626153,Delon Wright,4,2
2024-25,1630166,Deni Avdija,24,42
2024-25,203471,Dennis Schröder,40,61
2024-25,1641726,Dereck Lively II,13,8
2024-25,1627884,Derrick Jones Jr.,25,31
2024-25,1628401,Derrick White,29,61
2024-25,1630217,Desmond Bane,34,63
2024-25,1626164,Devin Booker,37,70
2024-25,1642269,Devin Carter,3,2
2024-25,1630170,Devin Vassell,30,46
2024-25,1628415,Dillon Brooks,40,40
2024-25,1641794,Dillon Jones,1,0
2024-25,1627734,Domantas Sabonis,35,64
2024-25,1631230,Dominick Barlow,3,0
2024-25,1642270,Donovan Clingan,14,5
2024-25,1628378,Donovan Mitchell,31,88
2024-25,1628978,Donte DiVincenzo,24,24
2024-25,1627827,Dorian Finney-Smith,29,17
2024-25,203926,Doug McDermott,4,0
2024-25,203110,Draymond Green,33,23
2024-25,1629234,Drew Eubanks,6,0
2024-25,1641809,Drew Peterson,1,0
2024-25,1631166,Drew Timme,3,2
2024-25,1630696,Dru Smith,4,0
2024-25,1629130,Duncan Robinson,25,21
2024-25,1641871,Duop Reath,3,0
2024-25,203939,Dwight Powell,3,0
2024-25,1630700,Dyson Daniels,39,54
2024-25,203901,Elfrid Payton,4,2
2024-25,1641989,Elijah Harkless,2,0
2024-25,1641734,Emoni Bates,1,3
2024-25,1642402,Enrique Freeman,2,2
