season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
1984,1983–84,76497,Quintin Dailey,0028300871,1984-04-03,CHI vs. NYK,NYK,L,34.0,14,6,18.0,0.0,1.0,2,4.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,,5.999999999999999,35.425101214574894,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-03,CHI vs. NYK,L,96,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300871,1984-04-03,CHI vs. NYK,NYK,L,36.0,12,5,12.0,0.0,0.0,2,4.0,3.0,2.0,5.0,8.0,0.0,0.0,0.0,3.0,,11.900000000000002,43.604651162790695,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-03,CHI vs. NYK,L,96,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300863,1984-04-02,CHI @ NYK,NYK,L,40.0,44,17,26.0,1.0,1.0,9,9.0,5.0,3.0,8.0,5.0,0.0,0.0,3.0,4.0,,35.89999999999999,73.43124165554073,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-02,CHI @ NYK,L,113,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300863,1984-04-02,CHI @ NYK,NYK,L,23.0,5,1,8.0,0.0,1.0,3,4.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,,-1.6999999999999993,25.614754098360653,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-02,CHI @ NYK,L,113,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300858,1984-03-31,CHI vs. PHL,PHL,L,33.0,8,3,8.0,0.0,0.0,2,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,,6.299999999999999,45.04504504504504,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-31,CHI vs. PHL,L,104,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300858,1984-03-31,CHI vs. PHL,PHL,L,40.0,25,9,21.0,0.0,1.0,7,7.0,2.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,,15.7,51.91029900332226,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-31,CHI vs. PHL,L,104,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300843,1984-03-30,CHI @ MIL,MIL,L,35.0,11,3,11.0,0.0,1.0,5,6.0,0.0,1.0,1.0,5.0,3.0,0.0,1.0,5.0,,7.899999999999999,40.32258064516129,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-30,CHI @ MIL,L,86,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300843,1984-03-30,CHI @ MIL,MIL,L,27.0,9,4,12.0,0.0,0.0,1,2.0,0.0,4.0,4.0,2.0,1.0,0.0,6.0,4.0,,-2.1999999999999997,34.93788819875776,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-30,CHI @ MIL,L,86,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300831,1984-03-28,CHI @ DET,DET,L,41.0,30,12,17.0,0.0,0.0,6,8.0,2.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,,23.199999999999996,73.09941520467837,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-28,CHI @ DET,L,101,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300831,1984-03-28,CHI @ DET,DET,L,25.0,3,1,4.0,0.0,0.0,1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,-1.2,30.737704918032787,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-28,CHI @ DET,L,101,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300827,1984-03-27,CHI vs. DET,DET,L,27.0,12,5,15.0,0.0,0.0,2,2.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,,8.999999999999998,37.78337531486146,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-27,CHI vs. DET,L,83,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300827,1984-03-27,CHI vs. DET,DET,L,20.0,8,4,9.0,0.0,0.0,0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,5.0,,6.799999999999999,44.44444444444444,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-27,CHI vs. DET,L,83,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300816,1984-03-25,CHI vs. IND,IND,L,16.0,4,2,4.0,0.0,0.0,0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,,5.8999999999999995,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-25,CHI vs. IND,L,99,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300816,1984-03-25,CHI vs. IND,IND,L,36.0,21,9,19.0,0.0,1.0,3,7.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,2.0,,3.0000000000000018,47.55434782608696,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-25,CHI vs. IND,L,99,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300799,1984-03-23,CHI @ IND,IND,L,37.0,22,10,17.0,0.0,2.0,2,3.0,0.0,2.0,2.0,4.0,2.0,0.0,5.0,4.0,,12.5,60.043668122270745,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-23,CHI @ IND,L,112,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300799,1984-03-23,CHI @ IND,IND,L,21.0,11,4,7.0,0.0,0.0,3,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,,8.5,62.78538812785388,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-23,CHI @ IND,L,112,,1980s,Regular season,,0
