PLAYER_ID,PLAYER_NAME,GP,MIN,REB
1904,Devean George,60,1283.05,213
2484,Devin Brown,58,1661.945,251
2734,Devin Harris,80,2081.365,196
101159,Dijon Thompson,6,50.17166666666667,8
87,Dikembe Mutombo,75,1288.7616666666668,488
1717,Dirk Nowitzki,78,2820.3,693
101182,Donell Taylor,47,368.61,53
923,Donyell Marshall,81,1359.9633333333334,323
2748,Dorell Wright,66,1292.4216666666666,272
57,Doug Christie,7,81.95333333333333,11
2400,Drew Gooden,80,2237.9583333333335,681
101204,Dwayne Jones,4,18.285,6
2730,Dwight Howard,82,3023.42,1008
2548,Dwyane Wade,51,1930.6216666666667,239
2853,Earl Barron,28,202.61166666666668,41
1863,Earl Boykins,66,2031.16,139
2248,Earl Watson,77,2151.8966666666665,185
2204,Eddie Griffin,13,91.58833333333334,25
2067,Eddie House,56,945.5266666666666,92
224,Eddie Jones,64,1593.9116666666666,190
2201,Eddy Curry,81,2848.595,571
2059,Eduardo Najera,75,1657.93,310
1882,Elton Brand,80,3077.45,744
2731,Emeka Okafor,67,2328.891666666667,757
15,Eric Piatkowski,11,72.8,9
727,Eric Snow,82,1929.015,188
677,Eric Williams,21,121.21666666666667,17
956,Erick Dampier,76,1915.3366666666666,566
101141,Ersan Ilyasova,66,972.9733333333334,189
101212,Esteban Batista,13,81.21333333333334,30
2041,Etan Thomas,65,1245.6866666666667,377
101177,Fabricio Oberto,79,1365.01,368
2436,Flip Murray,69,1476.7966666666666,113
1922,Francisco Elson,70,1332.7066666666667,336
101128,Francisco Garcia,79,1409.5083333333334,205
2410,Fred Jones,63,1319.445,115
56,Gary Payton,68,1502.7916666666667,132
101123,Gerald Green,81,1779.7366666666667,208
2222,Gerald Wallace,72,2640.3016666666667,518
2240,Gilbert Arenas,74,2941.701666666667,338
1921,Gordan Giricek,61,1188.3583333333333,129
255,Grant Hill,65,2008.52,237
1761,Greg Buckner,76,1371.715,158
101124,Hakim Warrick,82,2152.451666666667,420
200801,Hassan Adams,61,495.45166666666665,77
2045,Hedo Turkoglu,73,2268.045,293
200756,Hilton Armstrong,56,634.2066666666667,149
101113,Ike Diogu,59,759.7683333333333,203
2137,Ime Udoka,75,2143.5516666666667,279
1956,Ira Newble,15,129.08166666666668,30
200829,Ivan McFarlin,11,41.305,11
200826,J.J. Barea,33,191.295,25
200755,JJ Redick,42,622.32,52
2747,JR Smith,63,1471.3533333333332,143
2866,Jackie Butler,11,102.95833333333333,22
1521,Jacque Vaughn,64,759.995,68
2054,Jake Tsakalidis,36,389.47,104
2063,Jake Voskuhl,73,1043.19,256
147,Jalen Rose,29,245.81666666666666,23
2048,Jamaal Magloire,81,1703.2616666666668,492
2224,Jamaal Tinsley,72,2242.7616666666668,240
2037,Jamal Crawford,59,2197.87,189
2441,Jamal Sampson,22,124.52,48
2749,Jameer Nelson,77,2330.6033333333335,236
200788,James Augustine,2,7.316666666666666,3
2592,James Jones,76,1375.8883333333333,176
2591,James Lang,11,54.61833333333333,11
1899,James Posey,71,1918.92,357
101189,James Singleton,53,376.4116666666667,106
200778,James White,6,136.55833333333334,20
2457,Jannero Pargo,82,1710.1016666666667,180
2407,Jared Jeffries,55,1306.6583333333333,238
2876,Jared Reiner,27,243.49666666666667,71
101127,Jarrett Jack,79,2650.74,208
2260,Jarron Collins,82,913.28,171
2553,Jarvis Hayes,81,1626.2883333333334,210
2215,Jason Collins,80,1843.725,316
2078,Jason Hart,36,845.245,98
2574,Jason Kapono,67,1767.4616666666666,180
467,Jason Kidd,80,2932.93,655
101131,Jason Maxiell,67,942.71,186
2202,Jason Richardson,51,1674.9633333333334,259
1891,Jason Terry,81,2846.116666666667,231
1715,Jason Williams,61,1865.1166666666666,141
1902,Jeff Foster,75,1739.7533333333333,609
976,Jeff McInnis,38,702.4583333333334,62
200978,Jeremy Richardson,6,19.85,2
979,Jermaine O'Neal,69,2458.7933333333335,661
1744,Jerome James,41,272.96,66
711,Jerry Stackhouse,67,1614.5316666666668,145
2207,Joe Johnson,57,2359.425,239
693,Joe Smith,65,1503.2816666666668,400
2038,Joel Przybilla,43,700.68,168
101121,Joey Graham,79,1319.2233333333334,248
101130,Johan Petro,81,1510.0133333333333,335
101249,John Lucas III,47,383.4633333333333,36
2422,John Salmons,79,2134.4733333333334,264
200770,Jordan Farmar,72,1089.73,119
200816,Jorge Garbajosa,67,1909.3083333333334,330
