player_id,player_name,season,gp,fgm,fga,fg3m,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game
201942,DeMar DeRozan,2021-22,76,458,929,7.0,923,49.67707212055974,44.56810631229236,5.108965808267385,12.223684210526315,12.144736842105264
201942,DeMar DeRozan,2022-23,74,352,745,8.0,712,47.785234899328856,46.29966991937375,1.4855649799551074,10.067567567567568,9.621621621621621
201942,DeMar DeRozan,2023-24,79,291,643,14.0,596,46.3452566096423,46.340288329689066,0.004968279953232013,8.139240506329115,7.544303797468355
203897,Zach LaVine,2022-23,77,228,589,102.0,558,47.36842105263158,46.29966991937375,1.0687511332578339,7.64935064935065,7.246753246753247
203897,Zach LaVine,2020-21,58,209,496,123.0,541,54.53629032258065,45.71173913914315,8.8245511834375,8.551724137931034,9.327586206896552
203897,Zach LaVine,2021-22,67,208,568,96.0,512,45.070422535211264,44.56810631229236,0.5023162229189069,8.477611940298507,7.641791044776119
202710,Jimmy Butler,2016-17,76,202,560,36.0,440,39.285714285714285,43.65074776441566,-4.365033478701378,7.368421052631579,5.7894736842105265
203897,Zach LaVine,2019-20,60,158,451,103.0,419,46.45232815964523,44.60663139185683,1.8456967677884037,7.516666666666667,6.983333333333333
2548,Dwyane Wade,2016-17,60,187,488,27.0,401,41.08606557377049,43.65074776441566,-2.564682190645172,8.133333333333333,6.683333333333334
1629632,Coby White,2024-25,74,138,362,86.0,362,50.0,45.88246943809301,4.117530561906989,4.891891891891892,4.891891891891892
203897,Zach LaVine,2018-19,63,144,403,72.0,360,44.66501240694789,43.77332130793853,0.891691099009357,6.396825396825397,5.714285714285714
201565,Derrick Rose,2015-16,66,172,440,9.0,353,40.11363636363637,42.290779302729135,-2.177142939092768,6.666666666666667,5.348484848484849
203897,Zach LaVine,2024-25,42,134,318,80.0,348,54.716981132075475,45.88246943809301,8.834511693982463,7.571428571428571,8.285714285714286
1629632,Coby White,2023-24,79,130,321,59.0,319,49.68847352024922,46.340288329689066,3.3481851905601516,4.063291139240507,4.037974683544304
202710,Jimmy Butler,2015-16,67,140,386,22.0,302,39.119170984455955,42.290779302729135,-3.1716083182731793,5.7611940298507465,4.507462686567164
1627756,Denzel Valentine,2017-18,77,124,312,54.0,302,48.3974358974359,43.87359587559035,4.523840021845551,4.0519480519480515,3.9220779220779223
201571,D.J. Augustin,2013-14,61,119,298,59.0,297,49.83221476510067,41.826373905317936,8.005840859782737,4.885245901639344,4.868852459016393
201166,Aaron Brooks,2014-15,82,115,298,53.0,283,47.48322147651007,41.804554985778644,5.678666490731423,3.6341463414634148,3.451219512195122
201565,Derrick Rose,2014-15,51,122,356,37.0,281,39.46629213483146,41.804554985778644,-2.3382628509471814,6.980392156862745,5.509803921568627
