Season,LeagueORTG
2000-01,102.714
2001-02,104.247
2002-03,103.277
2003-04,102.538
2004-05,105.698
2005-06,106.084
2006-07,106.508
2007-08,107.43
2008-09,108.182
2009-10,107.776
2010-11,107.479
2011-12,104.634
2012-13,105.904
2013-14,106.808
2014-15,105.873
2015-16,106.659
2016-17,109.282
2017-18,109.276
2018-19,110.97
2019-20,111.204
2020-21,112.881
2021-22,112.55
2022-23,115.329
2023-24,115.727
2024-25,114.835
2025-26,115.986
