window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2011-12,Right Mid-Range,42,13,0.3095,0.3795,-7.0012,6.0432,7.2144,5,304,0,5,0.6190,0.7591,2,True
2011-12,Right Baseline,35,15,0.4286,0.3919,3.6696,5.0360,5.0085,5,304,0,5,0.8571,0.7838,2,True
2011-12,Left Corner 3,2,1,0.5000,0.3762,12.3850,0.2878,3.1004,5,304,0,5,1.5000,1.1285,3,False
2011-12,Left Wing 3,65,21,0.3231,0.3421,-1.9015,9.3525,5.9024,5,304,0,5,0.9692,1.0263,3,True
2011-12,Top of Key 3,53,19,0.3585,0.3255,3.3011,7.6259,4.5284,5,304,0,5,1.0755,0.9764,3,True
2011-12,Right Wing 3,47,13,0.2766,0.3550,-7.8451,6.7626,5.8757,5,304,0,5,0.8298,1.0651,3,True
2011-12,Right Corner 3,1,0,0.0000,0.3755,-37.5496,0.1439,2.9720,5,304,0,5,0.0000,1.1263,3,False
2013-14,Restricted Area,60,28,0.4667,0.6083,-14.1656,36.5854,32.3408,0,444,0,11,0.9333,1.2166,2,True
2013-14,In The Paint (Non-RA),25,6,0.2400,0.3932,-15.3189,15.2439,14.9177,0,444,0,11,0.4800,0.7864,2,True
2013-14,Left Baseline,5,1,0.2000,0.3940,-19.3952,3.0488,4.5687,0,444,0,11,0.4000,0.7879,2,False
2013-14,Left Mid-Range,8,0,0.0000,0.3960,-39.6042,4.8780,6.2628,0,444,0,11,0.0000,0.7921,2,False
2013-14,Center Mid-Range,5,1,0.2000,0.3978,-19.7763,3.0488,5.5632,0,444,0,11,0.4000,0.7955,2,False
2013-14,Right Mid-Range,7,2,0.2857,0.3925,-10.6834,4.2683,6.4034,0,444,0,11,0.5714,0.7851,2,False
2013-14,Right Baseline,7,4,0.5714,0.3920,17.9396,4.2683,4.0088,0,444,0,11,1.1429,0.7841,2,False
2013-14,Left Corner 3,6,2,0.3333,0.3913,-5.7922,3.6585,3.4959,0,444,0,11,1.0000,1.1738,3,False
2013-14,Left Wing 3,14,4,0.2857,0.3587,-7.2983,8.5366,6.6635,0,444,0,11,0.8571,1.0761,3,False
2013-14,Top of Key 3,12,5,0.4167,0.3505,6.6152,7.3171,5.8547,0,444,0,11,1.2500,1.0515,3,False
2013-14,Right Wing 3,15,5,0.3333,0.3487,-1.5393,9.1463,6.5773,0,444,0,11,1.0000,1.0462,3,False
2013-14,Right Corner 3,0,0,,0.3892,,0.0000,3.1255,0,444,0,11,,1.1676,3,False
2014-15,Restricted Area,242,129,0.5331,0.6008,-6.7768,28.9820,32.1742,6,427,0,10,1.0661,1.2017,2,True
2014-15,In The Paint (Non-RA),121,62,0.5124,0.3924,11.9960,14.4910,14.8465,6,427,0,10,1.0248,0.7849,2,True
2014-15,Left Baseline,39,9,0.2308,0.3966,-16.5796,4.6707,4.4189,6,427,0,10,0.4615,0.7931,2,True
2014-15,Left Mid-Range,67,30,0.4478,0.3891,5.8703,8.0240,5.9222,6,427,0,10,0.8955,0.7781,2,True
2014-15,Center Mid-Range,28,15,0.5357,0.4028,13.2951,3.3533,5.6337,6,427,0,10,1.0714,0.8055,2,True
2014-15,Right Mid-Range,42,9,0.2143,0.3899,-17.5618,5.0299,6.2350,6,427,0,10,0.4286,0.7798,2,True
2014-15,Right Baseline,25,8,0.3200,0.4031,-8.3127,2.9940,3.9523,6,427,0,10,0.6400,0.8063,2,True
