season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2020-21,1629690,Adam Mokoka,CHI,14,56.178333333333335,7,19,0.368
2020-21,202329,Al-Farouq Aminu,CHI,6,67.41666666666667,2,10,0.2
2020-21,1628990,Chandler Hutchison,WAS,7,63.58,5,18,0.278
2020-21,1629632,Coby White,CHI,69,2155.82,375,902,0.416
2020-21,1626245,Cristiano Felicio,CHI,18,83.55,7,13,0.538
2020-21,1629655,Daniel Gafford,WAS,31,383.13166666666666,60,87,0.69
2020-21,1628464,Daniel Theis,CHI,23,573.825,93,178,0.522
2020-21,1627756,Denzel Valentine,CHI,62,1035.775,155,416,0.373
2020-21,1629653,Devon Dotson,CHI,11,50.21333333333333,11,21,0.524
2020-21,202066,Garrett Temple,CHI,56,1528.24,158,381,0.415
2020-21,1629750,Javonte Green,CHI,16,128.39666666666668,14,31,0.452
2020-21,1628374,Lauri Markkanen,CHI,51,1317.4466666666667,250,521,0.48
2020-21,1628436,Luke Kornet,BOS,13,93.81166666666667,9,27,0.333
2020-21,202696,Nikola Vučević,CHI,26,847.7166666666667,230,488,0.471
2020-21,203490,Otto Porter Jr.,ORL,25,540.3033333333333,89,202,0.441
2020-21,1630172,Patrick Williams,CHI,71,1983.3566666666666,255,528,0.483
2020-21,1627853,Ryan Arcidiacono,CHI,44,450.42333333333335,49,117,0.419
2020-21,201152,Thaddeus Young,CHI,68,1652.195,370,662,0.559
2020-21,203107,Tomas Satoransky,CHI,58,1306.555,169,329,0.514
2020-21,1628972,Troy Brown Jr.,CHI,13,236.605,29,55,0.527
2020-21,1628976,Wendell Carter Jr.,ORL,32,791.8333333333334,129,252,0.512
2020-21,203897,Zach LaVine,CHI,58,2033.6266666666668,569,1123,0.507
