season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2022-23,1627936,Alex Caruso,CHI,67,1575.3766666666668,130,286,0.455
2022-23,203083,Andre Drummond,CHI,67,849.1383333333333,166,274,0.606
2022-23,1630245,Ayo Dosunmu,CHI,80,2097.616666666667,281,570,0.493
2022-23,1630637,Carlik Jones,CHI,7,55.97,6,15,0.4
2022-23,1629632,Coby White,CHI,74,1730.2283333333332,263,594,0.443
2022-23,1631207,Dalen Terry,CHI,38,213.945,32,72,0.444
2022-23,201942,DeMar DeRozan,CHI,74,2681.61,657,1303,0.504
2022-23,1627884,Derrick Jones Jr.,CHI,64,893.4083333333333,115,230,0.5
2022-23,201609,Goran Dragic,MIL,51,787.09,127,299,0.425
2022-23,1629750,Javonte Green,CHI,32,480.25666666666666,61,108,0.565
2022-23,1630792,Malcolm Hill,CHI,5,9.15,2,4,0.5
2022-23,1630250,Marko Simonovic,CHI,7,19.596666666666668,2,7,0.286
2022-23,202696,Nikola Vučević,CHI,82,2746.355,597,1148,0.52
2022-23,201976,Patrick Beverley,CHI,22,605.385,47,119,0.395
2022-23,1630172,Patrick Williams,CHI,82,2322.8416666666667,314,677,0.464
2022-23,1630678,Terry Taylor,CHI,5,35.71666666666667,9,10,0.9
2022-23,1628396,Tony Bradley,CHI,12,33.365,6,12,0.5
2022-23,203897,Zach LaVine,CHI,77,2767.95,673,1388,0.485
