season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2025-26,1629014,Anfernee Simons,CHI,6,170.135,35,80,0.438
2025-26,1630245,Ayo Dosunmu,MIN,45,1187.21,250,486,0.514
2025-26,1629632,Coby White,CHA,29,843.4266666666666,172,393,0.438
2025-26,1629012,Collin Sexton,CHI,26,675.6766666666666,158,328,0.482
2025-26,1631207,Dalen Terry,PHI,34,377.35,45,102,0.441
2025-26,1641801,Emanuel Miller,SAS,5,33.05,6,13,0.462
2025-26,1627824,Guerschon Yabusele,CHI,26,641.3866666666667,83,205,0.405
2025-26,1630171,Isaac Okoro,CHI,63,1694.89,211,459,0.46
2025-26,1631093,Jaden Ivey,CHI,4,115.45,15,36,0.417
2025-26,1630188,Jalen Smith,CHI,53,1095.3883333333333,195,404,0.483
2025-26,1628975,Jevon Carter,ORL,23,254.23,41,103,0.398
2025-26,1630581,Josh Giddey,CHI,54,1731.3566666666666,321,717,0.448
2025-26,1641763,Julian Phillips,MIN,35,333.4916666666667,37,88,0.42
2025-26,1628989,Kevin Huerter,DET,44,1036.985,184,404,0.455
2025-26,1642950,Lachlan Olbrich,CHI,37,344.2216666666667,36,77,0.468
2025-26,1631159,Leonard Miller,CHI,27,623.76,127,229,0.555
2025-26,1630644,Mac McClung,CHI,8,101.285,16,41,0.39
2025-26,1641824,Matas Buzelis,CHI,77,2248.2483333333334,446,963,0.463
2025-26,1631338,Mouhamadou Gueye,CHI,2,45.44166666666667,6,11,0.545
2025-26,1630208,Nick Richards,CHI,20,447.16833333333335,68,130,0.523
2025-26,202696,Nikola Vučević,BOS,48,1480.3066666666666,333,660,0.505
2025-26,1642855,Noa Essengue,CHI,2,6.033333333333333,0,3,0.0
2025-26,1630172,Patrick Williams,CHI,72,1473.78,178,478,0.372
2025-26,1642265,Rob Dillingham,CHI,30,644.0483333333333,116,271,0.428
2025-26,1630200,Tre Jones,CHI,65,1752.3733333333332,341,617,0.553
2025-26,1642280,Trentyn Flowers,CHI,2,5.55,2,3,0.667
2025-26,1642530,Yuki Kawamura,CHI,18,209.02,17,52,0.327
2025-26,1628380,Zach Collins,CHI,10,183.73666666666668,37,64,0.578
