season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2024-25,1641766,Adama Sanogo,CHI,4,21.498333333333335,4,7,0.571
2024-25,1630245,Ayo Dosunmu,CHI,46,1393.8833333333334,221,449,0.492
2024-25,1630537,Chris Duarte,CHI,17,74.46833333333333,12,26,0.462
2024-25,1629632,Coby White,CHI,74,2450.2566666666667,508,1121,0.453
2024-25,1631207,Dalen Terry,CHI,73,987.1783333333333,120,268,0.448
2024-25,1630604,E.J. Liddell,CHI,12,52.85666666666667,8,15,0.533
2024-25,1641801,Emanuel Miller,CHI,6,24.733333333333334,4,8,0.5
2024-25,1642443,Jahmir Young,CHI,6,29.666666666666668,4,5,0.8
2024-25,1630188,Jalen Smith,CHI,64,962.3833333333333,190,408,0.466
2024-25,1628975,Jevon Carter,CHI,36,320.5733333333333,55,146,0.377
2024-25,1630581,Josh Giddey,CHI,70,2116.641666666667,371,798,0.465
2024-25,1641763,Julian Phillips,CHI,79,1122.905,128,287,0.446
2024-25,1628989,Kevin Huerter,CHI,26,779.645,129,294,0.439
2024-25,1628366,Lonzo Ball,CHI,35,777.03,89,243,0.366
2024-25,1641824,Matas Buzelis,CHI,80,1511.295,252,555,0.454
2024-25,202696,Nikola Vučević,CHI,73,2278.25,550,1038,0.53
2024-25,1630172,Patrick Williams,CHI,63,1576.3266666666666,205,516,0.397
2024-25,1629659,Talen Horton-Tucker,CHI,58,723.695,133,291,0.457
2024-25,1628470,Torrey Craig,BOS,9,112.855,22,45,0.489
2024-25,1630200,Tre Jones,CHI,18,454.8,83,145,0.572
2024-25,1628380,Zach Collins,CHI,28,552.0366666666666,92,170,0.541
2024-25,203897,Zach LaVine,SAC,42,1432.0216666666668,363,710,0.511
