season,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
2023-24,201942,DeMar DeRozan,Top of Key 3,73,22,0.3014,0.3495,-4.8100,5.3875,9.6246,0.9041,1.0484,3,True
2023-24,201942,DeMar DeRozan,Right Wing 3,28,9,0.3214,0.3620,-4.0568,2.0664,9.3800,0.9643,1.0860,3,True
2023-24,201942,DeMar DeRozan,Right Corner 3,26,8,0.3077,0.3939,-8.6224,1.9188,4.9008,0.9231,1.1818,3,True
2024-25,1629632,Coby White,Restricted Area,289,185,0.6401,0.6634,-2.3310,25.7806,27.8863,1.2803,1.3269,2,True
2024-25,1629632,Coby White,In The Paint (Non-RA),159,73,0.4591,0.4437,1.5386,14.1838,20.4339,0.9182,0.8875,2,True
2024-25,1629632,Coby White,Left Baseline,14,7,0.5000,0.4295,7.0468,1.2489,1.4221,1.0000,0.8591,2,False
2024-25,1629632,Coby White,Left Mid-Range,33,14,0.4242,0.4077,1.6544,2.9438,2.2603,0.8485,0.8154,2,True
2024-25,1629632,Coby White,Center Mid-Range,14,3,0.2143,0.4188,-20.4468,1.2489,2.2006,0.4286,0.8375,2,False
2024-25,1629632,Coby White,Right Mid-Range,21,7,0.3333,0.4143,-8.1007,1.8733,2.2681,0.6667,0.8287,2,True
2024-25,1629632,Coby White,Right Baseline,7,3,0.4286,0.4172,1.1394,0.6244,1.4108,0.8571,0.8344,2,False
2024-25,1629632,Coby White,Left Corner 3,55,24,0.4364,0.3860,5.0324,4.9063,5.5861,1.3091,1.1581,3,True
2024-25,1629632,Coby White,Left Wing 3,210,80,0.3810,0.3568,2.4184,18.7333,10.9499,1.1429,1.0703,3,True
2024-25,1629632,Coby White,Top of Key 3,184,59,0.3207,0.3418,-2.1162,16.4139,10.4201,0.9620,1.0254,3,True
2024-25,1629632,Coby White,Right Wing 3,108,45,0.4167,0.3533,6.3366,9.6343,9.9241,1.2500,1.0599,3,True
2024-25,1629632,Coby White,Right Corner 3,27,8,0.2963,0.3895,-9.3163,2.4086,5.2376,0.8889,1.1684,3,True
2025-26,1641824,Matas Buzelis,Restricted Area,349,225,0.6447,0.6709,-2.6228,36.2409,28.4167,1.2894,1.3419,2,True
2025-26,1641824,Matas Buzelis,In The Paint (Non-RA),100,40,0.4000,0.4452,-4.5160,10.3842,20.2058,0.8000,0.8903,2,True
2025-26,1641824,Matas Buzelis,Left Baseline,1,0,0.0000,0.4261,-42.6133,0.1038,1.4702,0.0000,0.8523,2,False
2025-26,1641824,Matas Buzelis,Left Mid-Range,4,2,0.5000,0.3942,10.5818,0.4154,2.3371,1.0000,0.7884,2,False
2025-26,1641824,Matas Buzelis,Center Mid-Range,7,3,0.4286,0.4260,0.2530,0.7269,2.2673,0.8571,0.8521,2,False
2025-26,1641824,Matas Buzelis,Right Mid-Range,1,0,0.0000,0.4184,-41.8377,0.1038,2.3786,0.0000,0.8368,2,False
2025-26,1641824,Matas Buzelis,Right Baseline,6,3,0.5000,0.4276,7.2443,0.6231,1.4140,1.0000,0.8551,2,False
2025-26,1641824,Matas Buzelis,Left Corner 3,80,30,0.3750,0.3866,-1.1578,8.3074,5.6160,1.1250,1.1597,3,True
2025-26,1641824,Matas Buzelis,Left Wing 3,158,59,0.3734,0.3543,1.9164,16.4071,10.9199,1.1203,1.0628,3,True
2025-26,1641824,Matas Buzelis,Top of Key 3,112,39,0.3482,0.3478,0.0390,11.6303,10.2441,1.0446,1.0435,3,True
2025-26,1641824,Matas Buzelis,Right Wing 3,91,26,0.2857,0.3482,-6.2458,9.4496,9.5013,0.8571,1.0445,3,True
2025-26,1641824,Matas Buzelis,Right Corner 3,54,19,0.3519,0.3857,-3.3838,5.6075,5.2291,1.0556,1.1571,3,True
