PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1629014,Anfernee Simons,Anfernee,1610612741,CHI,27.0,1,0,1,0.0,12.95,2,6,0.333,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,1,1,0,4,3,5.4,0,0,6.0,6.0,24,21,1,21,24,24,24,24,24,25,24,23,23,23,23,22,23,25,21,24,19,5,2,23,24,9,25,7,1,24,25,1
1630245,Ayo Dosunmu,Ayo,1610612750,MIN,26.0,35,19,16,0.543,867.26,190,365,0.521,63,146,0.432,66,76,0.868,29,68,97,123,40,26,9,29,64,51,509,10,874.9,0,0,862.0,957.0,2,3,21,4,2,1,2,7,2,3,4,1,1,5,5,6,5,1,3,4,6,26,24,3,1,6,2,7,1,2,2,1
1629632,Coby White,Coby,1610612766,CHA,26.0,3,1,2,0.333,83.13666666666667,16,38,0.421,9,22,0.409,16,17,0.941,0,11,11,18,10,3,0,1,9,15,57,8,96.2,0,0,101.0,113.0,19,18,6,11,18,17,18,20,14,14,9,10,13,3,23,18,18,13,14,17,19,5,9,13,17,7,18,7,1,17,18,1
1629012,Collin Sexton,Collin,1610612741,CHI,27.0,16,2,14,0.125,393.21,91,183,0.497,42,87,0.483,57,69,0.826,8,28,36,36,28,20,2,11,37,56,281,-45,416.2,0,0,439.0,455.0,12,14,18,20,7,7,7,10,5,6,3,2,2,8,14,12,13,9,7,7,13,20,19,2,6,22,7,7,1,7,7,1
1631207,Dalen Terry,Dalen,1610612755,PHI,23.0,34,14,20,0.412,377.35,45,102,0.441,19,46,0.413,9,17,0.529,19,45,64,43,21,22,11,5,33,22,118,-35,337.3,0,0,310.0,367.0,4,5,23,9,8,10,10,16,8,8,7,18,13,20,7,8,8,8,9,6,5,16,18,10,11,20,8,7,1,9,8,1
1641801,Emanuel Miller,Emanuel,1610612759,SAS,26.0,5,0,5,0.0,33.05,6,13,0.462,2,6,0.333,1,2,0.5,1,2,3,4,0,2,0,0,2,1,15,-19,30.6,0,0,28.0,32.0,18,21,10,21,21,20,20,11,19,20,13,21,21,21,20,22,21,21,23,18,19,1,6,22,21,17,21,7,1,21,21,1
1627824,Guerschon Yabusele,Guerschon,1610612741,CHI,30.0,7,1,6,0.143,153.43833333333333,23,45,0.511,14,26,0.538,13,15,0.867,9,27,36,8,5,7,2,2,9,9,73,-44,150.2,2,0,149.0,152.0,17,18,11,18,16,15,16,8,10,13,1,12,15,6,13,13,13,17,19,13,13,10,9,16,14,21,16,4,1,16,16,1
1630171,Isaac Okoro,Isaac,1610612741,CHI,25.0,1,0,1,0.0,23.283333333333335,5,10,0.5,3,6,0.5,0,0,0.0,1,1,2,1,0,1,0,1,2,0,13,-22,19.9,0,0,21.0,20.0,24,21,1,21,23,22,22,9,17,20,2,23,23,23,20,24,23,23,23,22,19,5,6,23,22,18,23,7,1,22,23,1
1631093,Jaden Ivey,Jaden,1610612741,CHI,24.0,1,0,1,0.0,28.583333333333332,4,9,0.444,1,5,0.2,1,1,1.0,0,3,3,4,0,0,1,0,1,2,10,-14,22.6,0,0,20.0,24.0,24,21,1,21,22,23,23,15,22,22,20,21,22,1,23,21,21,21,23,24,17,1,2,20,23,14,22,7,1,23,22,1
1630188,Jalen Smith,Jalen,1610612741,CHI,26.0,32,17,15,0.531,578.4233333333333,102,226,0.451,48,130,0.369,35,51,0.686,58,147,205,44,29,10,26,12,58,51,287,20,678.0,5,0,656.0,688.0,7,4,19,5,6,6,5,14,4,4,10,6,6,18,1,1,1,7,6,10,1,22,22,3,5,4,4,1,1,4,4,1
1628975,Jevon Carter,Jevon,1610612753,ORL,30.0,23,8,15,0.348,254.23,41,103,0.398,32,78,0.41,10,10,1.0,5,21,26,19,11,13,2,4,19,7,124,-70,217.7,0,0,231.0,233.0,10,9,19,10,12,11,9,21,6,7,8,17,19,1,16,15,16,12,13,8,13,14,14,19,10,23,12,7,1,11,12,1
1630581,Josh Giddey,Josh,1610612741,CHI,23.0,3,2,1,0.667,77.69166666666666,14,33,0.424,3,13,0.231,13,15,0.867,4,16,20,22,10,2,0,3,0,8,44,-26,97.0,0,0,93.0,114.0,19,14,1,1,19,19,19,18,17,18,19,12,15,6,17,17,17,11,14,18,19,13,1,17,19,19,17,7,1,18,17,1
1641763,Julian Phillips,Julian,1610612750,MIN,22.0,33,14,19,0.424,282.5083333333333,33,78,0.423,14,44,0.318,9,11,0.818,20,19,39,5,7,13,6,6,29,13,89,-13,193.3,0,0,185.0,195.0,5,5,22,8,10,13,12,19,10,9,14,18,18,9,6,16,12,20,17,8,9,17,17,15,13,12,14,7,1,14,15,1
1628989,Kevin Huerter,Kevin,1610612765,DET,27.0,33,20,13,0.606,763.075,134,291,0.46,57,166,0.343,32,44,0.727,18,114,132,90,35,28,21,11,61,44,357,58,762.4,1,0,734.0,816.0,5,2,15,2,3,3,3,12,3,2,11,7,7,14,9,3,3,3,4,2,3,20,23,7,3,1,3,5,1,3,3,1
1642950,Lachlan Olbrich,Lachlan,1610612741,CHI,22.0,35,9,26,0.257,281.9916666666667,29,63,0.46,2,16,0.125,13,34,0.382,35,53,88,27,13,9,7,6,46,26,73,39,254.1,0,0,222.0,263.0,2,8,25,14,11,14,14,13,19,17,23,12,9,22,3,7,7,10,12,11,7,17,21,9,14,3,11,7,1,12,11,1
1631159,Leonard Miller,Leonard,1610612741,CHI,22.0,15,2,13,0.133,253.77333333333334,58,104,0.558,18,43,0.419,13,18,0.722,19,42,61,16,14,4,7,4,23,14,147,8,263.2,0,0,264.0,273.0,14,14,15,19,13,8,8,3,9,10,6,12,12,15,7,10,9,14,10,16,7,14,15,14,9,7,10,7,1,10,10,1
1630644,Mac McClung,Mac,1610612741,CHI,27.0,8,2,6,0.25,101.285,16,41,0.39,5,20,0.25,11,14,0.786,2,4,6,9,7,6,2,1,13,8,48,-13,85.7,0,0,84.0,96.0,16,14,11,15,17,17,17,22,16,16,17,16,17,10,18,19,19,16,17,14,13,5,11,17,18,12,19,7,1,19,19,1
1631338,Mouhamadou Gueye,Mouhamadou,1610612741,CHI,27.0,2,0,2,0.0,45.44166666666667,6,11,0.545,1,5,0.2,3,4,0.75,2,4,6,6,3,2,1,0,4,2,16,-16,38.2,0,0,35.0,43.0,21,21,6,21,20,20,21,5,22,22,20,20,20,12,18,19,19,19,20,18,17,1,8,20,20,16,20,7,1,20,20,1
1630208,Nick Richards,Nick,1610612741,CHI,28.0,16,4,12,0.25,352.035,54,99,0.545,2,11,0.182,38,59,0.644,34,89,123,7,30,6,14,16,40,46,148,-79,336.1,4,0,320.0,345.0,12,13,13,15,9,9,11,5,19,19,22,5,5,19,4,4,4,18,5,14,4,23,20,6,8,24,9,2,1,8,9,1
1642855,Noa Essengue,Noa,1610612741,CHI,19.0,2,1,1,0.5,6.033333333333333,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,0,-15,3.0,0,0,2.0,3.0,21,18,1,6,25,26,25,26,24,24,24,23,23,23,23,25,26,25,23,22,19,5,2,23,26,15,26,7,1,26,26,1
1630172,Patrick Williams,Patrick,1610612741,CHI,24.0,66,22,44,0.333,1277.125,153,415,0.369,80,236,0.339,47,68,0.691,43,147,190,85,64,42,23,26,83,57,433,-314,919.5,0,0,918.0,988.0,1,1,26,11,1,2,1,23,1,1,12,4,4,17,2,1,2,4,1,1,2,25,26,1,2,26,1,7,1,1,1,1
