PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1629690,Adam Mokoka,Adam,1610612741,CHI,22.0,14,3,11,0.214,56.178333333333335,7,19,0.368,1,10,0.1,0,1,0.0,1,4,5,5,5,2,1,1,5,1,15,-8,32.5,0,0,32.0,39.0,12,15,11,18,18,16,16,15,13,12,17,18,18,18,17,18,18,16,12,15,14,2,3,19,17,17,19,4,1,19,18,1
202329,Al-Farouq Aminu,Al-Farouq,1610612741,CHI,30.0,6,0,6,0.0,67.41666666666667,2,10,0.2,1,6,0.167,4,5,0.8,2,17,19,2,3,2,0,0,7,4,9,23,37.8,0,0,35.0,38.0,19,19,3,19,16,19,19,19,13,15,15,15,15,8,15,14,15,19,17,15,15,1,4,15,19,10,18,4,1,18,19,1
1628990,Chandler Hutchison,Chandler,1610612764,WAS,25.0,7,2,5,0.286,63.58,5,18,0.278,1,3,0.333,2,2,1.0,1,19,20,4,5,1,0,1,9,2,13,11,41.0,0,0,40.0,44.0,17,17,2,16,17,18,17,18,13,16,7,16,17,1,17,13,14,17,12,19,15,2,5,17,18,12,17,4,1,17,17,1
1629632,Coby White,Coby,1610612741,CHI,21.0,15,5,10,0.333,368.62166666666667,55,142,0.387,18,66,0.273,18,19,0.947,4,33,37,42,32,13,3,13,40,18,146,-5,269.4,0,0,275.0,315.0,11,12,9,14,8,7,6,13,7,6,11,6,9,3,14,10,12,6,4,5,11,18,14,11,7,16,8,4,1,8,8,1
1626245,Cristiano Felicio,Cristiano,1610612741,CHI,28.0,18,6,12,0.333,83.55,7,13,0.538,0,2,0.0,9,16,0.563,10,16,26,9,4,4,0,1,10,12,23,22,75.7,0,0,66.0,79.0,9,10,12,14,15,16,18,4,18,17,18,13,12,16,10,15,13,12,15,13,15,2,6,12,15,11,15,4,1,15,14,1
1629655,Daniel Gafford,Daniel,1610612764,WAS,22.0,20,10,10,0.5,221.68166666666667,35,49,0.714,0,0,0.0,19,29,0.655,22,33,55,8,10,8,20,3,30,28,89,42,241.0,0,0,208.0,244.0,7,7,9,1,10,10,11,1,18,19,18,5,3,12,2,10,8,13,8,9,2,8,13,6,10,7,9,4,1,9,9,1
1628464,Daniel Theis,Daniel,1610612741,CHI,29.0,9,2,7,0.222,207.3,37,66,0.561,5,21,0.238,11,19,0.579,12,33,45,17,9,5,6,6,13,20,90,-22,193.5,1,0,179.0,202.0,16,17,4,17,11,9,9,3,11,11,14,11,9,14,9,10,10,9,10,12,7,13,7,9,9,19,10,2,1,10,10,1
1627756,Denzel Valentine,Denzel,1610612741,CHI,27.0,59,24,35,0.407,948.9116666666666,137,375,0.365,69,216,0.319,16,17,0.941,21,164,185,98,41,29,7,12,62,28,359,25,795.0,0,0,783.0,848.0,1,1,19,10,2,2,2,16,1,1,9,8,11,4,3,1,2,3,3,2,4,17,17,6,2,9,2,4,1,2,2,1
1629653,Devon Dotson,Devon,1610612741,CHI,21.0,11,4,7,0.364,50.21333333333333,11,21,0.524,1,7,0.143,0,0,0.0,2,3,5,7,0,4,0,2,3,2,23,32,51.5,0,0,44.0,54.0,15,14,4,13,19,14,15,6,13,14,16,18,19,18,15,19,18,14,19,13,15,6,2,17,15,8,16,4,1,16,16,1
202066,Garrett Temple,Garrett,1610612741,CHI,35.0,31,13,18,0.419,758.995,73,197,0.371,33,109,0.303,22,29,0.759,17,71,88,63,28,28,15,6,70,30,201,78,502.1,0,0,471.0,544.0,5,5,15,9,4,5,4,14,3,3,10,3,3,10,5,6,6,4,5,3,3,13,18,4,5,2,4,4,1,4,4,1
