loc_x,loc_y,shot_distance,shot_made,shot_type
-131,247,27,False,3PT
223,71,23,True,3PT
-16,10,1,True,2PT
-49,252,25,True,3PT
-82,296,30,False,3PT
-67,29,7,False,2PT
-146,278,31,False,3PT
-23,89,9,True,2PT
12,-1,1,True,2PT
12,-2,1,True,2PT
55,10,5,True,2PT
-87,241,25,False,3PT
136,51,14,False,2PT
-228,-16,22,True,3PT
4,147,14,True,2PT
-11,94,9,True,2PT
13,15,1,False,2PT
-38,259,26,False,3PT
-4,13,1,True,2PT
29,8,3,False,2PT
-168,179,24,False,3PT
-158,207,26,True,3PT
-208,10,20,True,2PT
-40,188,19,True,2PT
-107,232,25,True,3PT
32,77,8,True,2PT
-58,251,25,False,3PT
-12,11,1,False,2PT
-130,219,25,True,3PT
178,197,26,False,3PT
233,-3,23,False,3PT
100,52,11,True,2PT
11,8,1,True,2PT
-129,217,25,True,3PT
5,6,0,False,2PT
13,11,1,True,2PT
17,14,2,False,2PT
235,85,24,False,3PT
-21,11,2,False,2PT
2,27,2,True,2PT
92,253,26,False,3PT
15,29,3,True,2PT
221,65,23,False,3PT
-109,247,26,False,3PT
20,29,3,True,2PT
-29,18,3,True,2PT
-7,20,2,True,2PT
13,18,2,False,2PT
-2,17,1,True,2PT
-152,215,26,False,3PT
-2,6,0,True,2PT
-5,13,1,False,2PT
-229,11,22,True,3PT
-227,39,23,False,3PT
-184,178,25,True,3PT
-71,235,24,False,3PT
7,12,1,False,2PT
-36,254,25,False,3PT
2,5,0,False,2PT
2,138,13,False,2PT
-6,4,0,True,2PT
227,42,23,False,3PT
7,9,1,True,2PT
62,26,6,False,2PT
-208,132,24,False,3PT
-39,79,8,True,2PT
131,224,25,False,3PT
-1,91,9,False,2PT
-67,159,17,True,2PT
25,10,2,False,2PT
-82,283,29,True,3PT
96,236,25,True,3PT
-5,17,1,False,2PT
-176,191,25,False,3PT
7,18,1,False,2PT
-6,150,15,False,2PT
-9,103,10,False,2PT
12,9,1,True,2PT
-2,9,0,True,2PT
-5,8,0,True,2PT
-86,231,24,False,3PT
-89,149,17,False,2PT
-69,277,28,False,3PT
-2,28,2,True,2PT
-1,15,1,False,2PT
-4,13,1,True,2PT
180,208,27,False,3PT
12,8,1,True,2PT
88,235,25,False,3PT
4,13,1,False,2PT
20,256,25,False,3PT
9,1,0,True,2PT
120,220,25,True,3PT
-47,130,13,False,2PT
-207,83,22,True,2PT
1,132,13,True,2PT
-163,253,30,True,3PT
225,-10,22,False,3PT
-59,85,10,True,2PT
-240,4,24,True,3PT
5,30,3,False,2PT
36,8,3,False,2PT
7,8,1,True,2PT
-213,174,27,True,3PT
-199,137,24,True,3PT
192,178,26,False,3PT
-206,137,24,False,3PT
183,201,27,True,3PT
-137,226,26,False,3PT
-237,-11,23,True,3PT
12,17,2,False,2PT
61,22,6,False,2PT
230,-19,23,False,3PT
109,44,11,False,2PT
55,126,13,False,2PT
54,29,6,False,2PT
167,209,26,False,3PT
9,53,5,True,2PT
21,251,25,False,3PT
65,220,22,False,2PT
-169,190,25,False,3PT
-234,-22,23,True,3PT
11,6,1,True,2PT
56,246,25,False,3PT
238,57,24,False,3PT
7,11,1,True,2PT
-40,178,18,False,2PT
17,13,2,False,2PT
-9,21,2,True,2PT
18,5,1,False,2PT
