PLAYER_ID,PLAYER_NAME,season,old_nba_rank,nba_rank,league_players,games_in_season,games_inspected,unresolved_comparisons
201565,Derrick Rose,2010-11,1,1,452,1230,205,0
893,Michael Jordan,1996-97,2,2,441,1189,458,0
937,Scottie Pippen,1996-97,15,15,441,1189,458,0
201942,DeMar DeRozan,2021-22,4,4,605,1230,198,0
893,Michael Jordan,1997-98,4,4,439,1189,254,0
201942,DeMar DeRozan,2023-24,14,14,572,1230,520,0
1629632,Coby White,2023-24,26,26,572,1230,520,0
202710,Jimmy Butler III,2016-17,11,11,486,1230,283,0
201942,DeMar DeRozan,2022-23,15,15,539,1230,491,0
203897,Zach LaVine,2022-23,17,17,539,1230,491,0
147,Jalen Rose,2002-03,13,13,428,1189,231,0
201565,Derrick Rose,2009-10,9,9,442,1230,137,0
201565,Derrick Rose,2008-09,14,14,445,1230,323,0
2550,Kirk Hinrich,2005-06,22,22,458,1230,223,0
2550,Kirk Hinrich,2006-07,15,15,458,1230,431,0
