season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
1996-97,893,Michael Jordan,3222,363,Christian Laettner,1958,2106,154,not_above
1996-97,893,Michael Jordan,3222,359,Chucky Brown,263,280,18,not_above
1996-97,893,Michael Jordan,3222,221,Clar. Weatherspoon,1301,1383,91,not_above
1996-97,893,Michael Jordan,3222,361,Clifford Robinson,1762,1892,159,not_above
1996-97,893,Michael Jordan,3222,32,Clifford Rozier,260,262,2,not_above
1996-97,893,Michael Jordan,3222,17,Clyde Drexler,1837,2069,301,not_above
1996-97,893,Michael Jordan,3222,916,Corie Blount,319,321,2,not_above
1996-97,893,Michael Jordan,3222,722,Corliss Williamson,1166,1265,102,not_above
1996-97,893,Michael Jordan,3222,724,Cory Alexander,1088,1199,210,not_above
1996-97,893,Michael Jordan,3222,378,Craig Ehlo,354,393,40,not_above
1996-97,893,Michael Jordan,3222,733,Cuonzo Martin,3,3,0,not_above
1996-97,893,Michael Jordan,3222,905,Dale Davis,954,999,45,not_above
1996-97,893,Michael Jordan,3222,107,Dale Ellis,1702,1798,104,not_above
1996-97,893,Michael Jordan,3222,757,Damon Stoudamire,3223,3250,33,above
1996-97,893,Michael Jordan,3222,105,Dan Majerle,646,659,14,not_above
1996-97,893,Michael Jordan,3222,7,Dan Schayes,161,171,11,not_above
1996-97,893,Michael Jordan,3222,344,Dana Barros,473,503,51,not_above
1996-97,893,Michael Jordan,3222,198,Danny Ferry,1190,1236,51,not_above
1996-97,893,Michael Jordan,3222,330,Danny Manning,1396,1520,130,not_above
1996-97,893,Michael Jordan,3222,353,Darrell Armstrong,771,891,144,not_above
1996-97,893,Michael Jordan,3222,239,Darrick Martin,1577,1808,302,not_above
1996-97,893,Michael Jordan,3222,241,Darrin Hancock,66,78,12,not_above
1996-97,893,Michael Jordan,3222,1032,Darvin Ham,114,119,5,not_above
1996-97,893,Michael Jordan,3222,764,David Robinson,123,130,7,not_above
1996-97,893,Michael Jordan,3222,710,David Vaughn,96,101,5,not_above
1996-97,893,Michael Jordan,3222,133,David Wesley,2366,2540,316,not_above
1996-97,893,Michael Jordan,3222,766,David Wingate,405,445,41,not_above
1996-97,893,Michael Jordan,3222,116,David Wood,83,87,4,not_above
1996-97,893,Michael Jordan,3222,1051,Dean Garrett,619,650,33,not_above
1996-97,893,Michael Jordan,3222,244,Dee Brown,296,327,45,not_above
1996-97,893,Michael Jordan,3222,209,Dell Curry,1251,1333,82,not_above
1996-97,893,Michael Jordan,3222,725,Dell Demps,2,2,0,not_above
1996-97,893,Michael Jordan,3222,23,Dennis Rodman,678,678,0,not_above
1996-97,893,Michael Jordan,3222,192,Dennis Scott,1113,1212,109,not_above
1996-97,893,Michael Jordan,3222,965,Derek Fisher,564,581,17,not_above
1996-97,893,Michael Jordan,3222,157,Derek Harper,1402,1607,286,not_above
1996-97,893,Michael Jordan,3222,400,Derek Strong,848,906,59,not_above
1996-97,893,Michael Jordan,3222,308,Derrick Alston,0,0,0,not_above
1996-97,893,Michael Jordan,3222,934,Derrick Coleman,1430,1538,140,not_above
1996-97,893,Michael Jordan,3222,365,Derrick McKey,670,778,125,not_above
1996-97,893,Michael Jordan,3222,96,Detlef Schrempf,1589,1709,140,not_above
1996-97,893,Michael Jordan,3222,1070,Devin Gray,22,23,1,not_above
1996-97,893,Michael Jordan,3222,1121,Dexter Boney,19,19,0,not_above
1996-97,893,Michael Jordan,3222,54,Dickey Simpkins,159,159,0,not_above
1996-97,893,Michael Jordan,3222,87,Dikembe Mutombo,1294,1377,83,not_above
1996-97,893,Michael Jordan,3222,129,Dino Radja,447,472,27,not_above
