PLAYER_ID,PLAYER_NAME,PTS,AST,known_ast,known_assist_points,remaining_ast,minimum_created,maximum_created
243,Aaron McKie,22,13,2,5,11,49,60
1425,Aaron Williams,76,7,4,9,3,91,94
200747,Adam Morrison,917,163,52,114,111,1253,1343
1502,Adonal Foyle,107,19,13,27,6,146,152
1559,Adrian Griffin,137,59,59,138,0,275,275
1733,Al Harrington,1285,149,54,117,95,1592,1687
2744,Al Jefferson,1107,88,12,28,76,1287,1356
101187,Alan Anderson,98,21,6,13,15,141,156
673,Alan Henderson,119,10,3,7,7,140,147
200792,Alexander Johnson,260,17,6,13,11,295,306
200810,Allan Ray,290,43,6,13,37,377,410
947,Allen Iverson,1709,468,172,384,296,2685,2844
297,Alonzo Mourning,661,18,4,10,14,699,713
1541,Alvin Williams,2,3,0,0,3,8,9
2405,Amar'e Stoudemire,1671,84,9,19,75,1840,1915
101161,Amir Johnson,47,3,3,8,0,55,55
2760,Anderson Varejao,547,75,17,37,58,700,753
101154,Andray Blatche,206,39,10,21,29,285,313
2857,Andre Barrett,8,7,7,14,0,22,22
2810,Andre Brown,93,2,0,0,2,97,99
2738,Andre Iguodala,1386,432,277,583,155,2279,2370
1889,Andre Miller,1075,625,580,1251,45,2416,2451
200745,Andrea Bargnani,751,50,30,66,20,857,877
2601,Andreas Glyniadakis,17,1,0,0,1,19,20
1905,Andrei Kirilenko,584,202,41,90,161,996,1124
2804,Andres Nocioni,749,57,57,127,0,876,876
101106,Andrew Bogut,809,198,60,130,138,1215,1340
101115,Andrew Bynum,637,94,26,60,68,833,901
2740,Andris Biedrins,783,88,63,142,25,975,1000
1712,Antawn Jamison,1388,136,17,36,119,1662,1773
1853,Anthony Carter,6,11,0,0,11,28,39
1533,Anthony Johnson,355,201,34,75,167,764,873
1515,Anthony Parker,903,153,102,229,51,1234,1279
101194,Anthony Roberson,111,10,10,22,0,133,133
952,Antoine Walker,660,130,29,66,101,928,1025
101120,Antoine Wright,283,55,12,27,43,396,436
1498,Antonio Daniels,571,290,32,73,258,1160,1386
686,Antonio McDyess,664,72,13,31,59,813,871
1506,Austin Croshere,227,44,7,16,37,317,354
1884,Baron Davis,1264,509,462,1059,47,2417,2463
2732,Ben Gordon,1753,296,296,647,0,2400,2400
1112,Ben Wallace,494,186,186,407,0,901,901
2757,Beno Udrih,340,122,80,185,42,609,648
2774,Bernard Robinson,61,19,7,15,12,100,112
448,Bo Outlaw,81,16,2,5,14,114,127
1517,Bobby Jackson,592,141,88,194,53,892,936
200784,Bobby Jones,110,16,9,23,7,147,153
1719,Bonzi Wells,217,31,4,9,27,280,305
2564,Boris Diaw,709,352,46,110,306,1431,1732
2411,Bostjan Nachbar,696,61,13,30,48,822,870
101152,Bracey Wright,67,15,9,21,6,100,106
1802,Brad Miller,568,224,55,120,169,1026,1173
101138,Brandon Bass,42,3,2,5,1,49,50
200750,Brandon Roy,955,230,36,87,194,1430,1579
2217,Brendan Haywood,511,47,8,18,39,607,646
699,Brent Barry,635,138,102,223,36,930,966
1510,Brevin Knight,408,296,80,175,216,1015,1170
2073,Brian Cardinal,127,31,14,30,17,191,208
2567,Brian Cook,450,65,13,30,52,584,636
2243,Brian Scalabrine,216,59,13,32,46,340,384
1730,Brian Skinner,294,58,15,30,43,410,451
1477,Bruce Bowen,510,117,96,223,21,775,796
101139,CJ Miles,101,25,4,8,21,151,171
1916,Calvin Booth,69,18,2,4,16,105,120
2306,Carlos Arroyo,552,202,43,97,159,967,1097
2430,Carlos Boozer,1549,221,29,62,192,1995,2149
2568,Carlos Delfino,428,88,31,67,57,609,660
2546,Carmelo Anthony,1881,249,202,441,47,2416,2459
2406,Caron Butler,1203,233,39,85,194,1676,1851
200841,Cedric Bozeman,26,9,0,0,9,44,51
200759,Cedric Simmons,126,12,6,13,6,151,157
101112,Channing Frye,684,67,10,21,57,819,875
2294,Charlie Bell,1110,247,55,124,192,1618,1787
101111,Charlie Villanueva,462,36,11,24,25,536,558
1497,Chauncey Billups,1191,502,157,354,345,2235,2412
2547,Chris Bosh,1561,175,118,266,57,1941,1989
2768,Chris Duhon,558,310,310,673,0,1231,1231
2549,Chris Kaman,754,79,18,39,61,915,970
200840,Chris McCray,0,0,0,0,0,0,0
101108,Chris Paul,1104,569,495,1117,74,2369,2415
200809,Chris Quinn,141,65,16,36,49,275,324
185,Chris Webber,684,188,49,107,139,1069,1176
2404,Chris Wilcox,1106,82,20,45,62,1275,1337
101236,Chuck Hayes,439,47,9,26,38,541,579
1088,Chucky Atkins,988,346,73,156,273,1690,1876
361,Clifford Robinson,203,51,13,29,38,308,346
1894,Corey Maggette,1266,208,56,119,152,1689,1807
722,Corliss Williamson,620,39,5,10,34,698,732
200783,Craig Smith,608,49,33,76,16,716,732
1749,Cuttino Mobley,1077,198,41,84,157,1475,1561
2788,DJ Mbenga,17,6,3,6,3,29,32
2563,Dahntay Jones,583,68,9,23,59,724,780
2402,Dajuan Wagner,4,1,1,2,0,6,6
905,Dale Davis,83,12,2,4,10,107,117
2863,Damien Wilkins,724,156,31,70,125,1044,1153
200806,Damir Markota,51,6,2,5,4,64,68
1800,Damon Jones,393,94,19,43,75,586,655
