season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
2023-24,201942,DeMar DeRozan,2941,1630639,A.J. Lawson,178,196,18,not_above
2023-24,201942,DeMar DeRozan,2941,1631260,AJ Green,316,336,20,not_above
2023-24,201942,DeMar DeRozan,2941,1631100,AJ Griffin,60,62,2,not_above
2023-24,201942,DeMar DeRozan,2941,203932,Aaron Gordon,1554,1757,205,not_above
2023-24,201942,DeMar DeRozan,2941,1628988,Aaron Holiday,808,912,104,not_above
2023-24,201942,DeMar DeRozan,2941,1630174,Aaron Nesmith,1104,1174,70,not_above
2023-24,201942,DeMar DeRozan,2941,1630598,Aaron Wiggins,721,790,70,not_above
2023-24,201942,DeMar DeRozan,2941,1641745,Adam Flagler,11,15,4,not_above
2023-24,201942,DeMar DeRozan,2941,1641766,Adama Sanogo,36,36,0,not_above
2023-24,201942,DeMar DeRozan,2941,1629678,Admiral Schofield,43,46,3,not_above
2023-24,201942,DeMar DeRozan,2941,201143,Al Horford,958,1012,54,not_above
2023-24,201942,DeMar DeRozan,2941,202692,Alec Burks,892,921,29,not_above
2023-24,201942,DeMar DeRozan,2941,1630197,Aleksej Pokusevski,220,244,24,not_above
2023-24,201942,DeMar DeRozan,2941,1627936,Alex Caruso,1273,1273,0,not_above
2023-24,201942,DeMar DeRozan,2941,1641788,Alex Fudge,15,15,0,not_above
2023-24,201942,DeMar DeRozan,2941,203458,Alex Len,231,261,30,not_above
2023-24,201942,DeMar DeRozan,2941,1631214,Alondes Williams,5,5,0,not_above
2023-24,201942,DeMar DeRozan,2941,1630578,Alperen Sengun,1993,2224,231,not_above
2023-24,201942,DeMar DeRozan,2941,1641735,Amari Bailey,37,43,6,not_above
2023-24,201942,DeMar DeRozan,2941,1641708,Amen Thompson,939,1058,119,not_above
2023-24,201942,DeMar DeRozan,2941,1629599,Amir Coffey,626,681,55,not_above
2023-24,201942,DeMar DeRozan,2941,203083,Andre Drummond,750,750,0,not_above
2023-24,201942,DeMar DeRozan,2941,1641748,Andre Jackson Jr.,239,265,26,not_above
2023-24,201942,DeMar DeRozan,2941,1641847,Andrew Funk,0,0,0,not_above
2023-24,201942,DeMar DeRozan,2941,1629614,Andrew Nembhard,1215,1417,205,not_above
2023-24,201942,DeMar DeRozan,2941,203952,Andrew Wiggins,1205,1279,74,not_above
2023-24,201942,DeMar DeRozan,2941,1629014,Anfernee Simons,1567,1754,208,not_above
2023-24,201942,DeMar DeRozan,2941,1641710,Anthony Black,515,563,48,not_above
2023-24,201942,DeMar DeRozan,2941,203076,Anthony Davis,2493,2518,27,not_above
2023-24,201942,DeMar DeRozan,2941,1630162,Anthony Edwards,2942,3184,242,above
2023-24,201942,DeMar DeRozan,2941,1630264,Anthony Gill,261,285,24,not_above
2023-24,201942,DeMar DeRozan,2941,1629717,Armoni Brooks,52,56,4,not_above
2023-24,201942,DeMar DeRozan,2941,1630204,Ashton Hagans,191,235,44,not_above
