PLAYER_ID,PLAYER_NAME,PTS,AST,known_ast,known_assist_points,remaining_ast,minimum_created,maximum_created
1630639,A.J. Lawson,136,20,2,6,18,178,196
1631260,AJ Green,252,30,10,24,20,316,336
1631100,AJ Griffin,48,5,3,8,2,60,62
203932,Aaron Gordon,1013,259,54,131,205,1554,1757
1628988,Aaron Holiday,514,140,36,86,104,808,912
1630174,Aaron Nesmith,877,108,38,87,70,1104,1174
1630598,Aaron Wiggins,542,86,16,39,70,721,790
1641745,Adam Flagler,3,4,0,0,4,11,15
1641766,Adama Sanogo,36,0,0,0,0,36,36
1629678,Admiral Schofield,26,7,4,11,3,43,46
201143,Al Horford,562,168,114,288,54,958,1012
202692,Alec Burks,689,88,59,145,29,892,921
1630197,Aleksej Pokusevski,146,35,11,26,24,220,244
1627936,Alex Caruso,715,247,247,558,0,1273,1273
1641788,Alex Fudge,15,0,0,0,0,15,15
203458,Alex Len,120,50,20,51,30,231,261
1631214,Alondes Williams,5,0,0,0,0,5,5
1630578,Alperen Sengun,1331,312,81,200,231,1993,2224
1641735,Amari Bailey,23,7,1,2,6,37,43
1641708,Amen Thompson,592,163,44,109,119,939,1058
1629599,Amir Coffey,463,76,21,53,55,626,681
203083,Andre Drummond,663,37,37,87,0,750,750
1641748,Andre Jackson Jr.,125,50,24,62,26,239,265
1641847,Andrew Funk,0,0,0,0,0,0,0
1629614,Andrew Nembhard,626,280,75,179,205,1215,1417
203952,Andrew Wiggins,939,119,45,118,74,1205,1279
1629014,Anfernee Simons,1039,255,47,112,208,1567,1754
1641710,Anthony Black,316,91,43,103,48,515,563
203076,Anthony Davis,1876,266,239,563,27,2493,2518
1630162,Anthony Edwards,2049,405,163,409,242,2942,3184
1630264,Anthony Gill,189,34,10,24,24,261,285
1629717,Armoni Brooks,42,5,1,2,4,52,56
1630204,Ashton Hagans,80,54,10,23,44,191,235
1641709,Ausar Thompson,556,120,108,260,12,840,852
1630559,Austin Reaves,1300,450,366,867,84,2335,2402
1630245,Ayo Dosunmu,924,242,242,573,0,1497,1497
1628389,Bam Adebayo,1367,278,77,187,201,1956,2157
1641767,Ben Sheppard,252,53,23,55,30,367,397
1627732,Ben Simmons,92,86,29,71,57,277,334
1631097,Bennedict Mathurin,856,119,30,74,89,1108,1197
1641731,Bilal Coulibaly,532,110,25,60,85,762,847
202687,Bismack Biyombo,174,53,11,29,42,287,329
1631104,Blake Wesley,268,166,40,100,126,620,746
1626246,Boban Marjanovic,45,6,1,2,5,57,62
1626171,Bobby Portis Jr.,1130,104,45,113,59,1361,1420
203992,Bogdan Bogdanović,1333,247,187,444,60,1897,1957
202711,Bojan Bogdanovic,868,97,57,136,40,1084,1124
1629626,Bol Bol,223,17,12,28,5,261,266
1630538,Bones Hyland,256,93,28,66,65,452,514
203078,Bradley Beal,964,265,203,488,62,1576,1638
1641764,Brandin Podziemski,682,273,93,230,180,1272,1449
1630527,Brandon Boston Jr.,167,13,1,2,12,193,205
1629634,Brandon Clarke,68,9,0,0,9,86,95
1627742,Brandon Ingram,1332,363,222,533,141,2147,2285
1641706,Brandon Miller,1279,175,58,140,117,1653,1770
1630314,Brandon Williams,54,17,2,5,15,89,104
1630296,Braxton Key,22,9,1,2,8,40,48
1641729,Brice Sensabaugh,241,55,19,42,36,355,390
201572,Brook Lopez,990,127,62,152,65,1272,1337
1628971,Bruce Brown,726,192,39,91,153,1123,1276
1628981,Bruno Fernando,282,46,37,94,9,394,403
1631121,Bryce McGowens,302,51,14,36,37,412,449
1631205,Buddy Boeheim,34,3,3,7,0,41,41
1627741,Buddy Hield,1013,236,58,136,178,1505,1675
203468,CJ McCollum,1322,305,210,487,95,1999,2093
1630595,Cade Cunningham,1405,464,450,1045,14,2478,2492
1631216,Caleb Houstan,253,29,11,31,18,320,338
1628997,Caleb Martin,640,143,33,81,110,941,1051
1629629,Cam Reddish,260,48,47,109,1,371,372
1630560,Cam Thomas,1482,192,58,140,134,1890,2024
1641715,Cam Whitmore,579,33,4,8,29,645,674
1629661,Cameron Johnson,776,138,50,130,88,1082,1170
1626166,Cameron Payne,578,205,86,201,119,1017,1136
1627747,Caris LeVert,952,346,79,193,267,1679,1945
1641717,Cason Wallace,561,120,27,65,93,812,905
1626224,Cedi Osman,489,119,40,96,79,743,822
1629646,Charles Bassey,63,21,5,12,16,107,123
1629718,Charlie Brown Jr.,6,0,0,0,0,6,6
1631096,Chet Holmgren,1357,200,50,116,150,1773,1923
1629002,Chimezie Metu,332,46,28,65,18,433,451
1628449,Chris Boucher,322,23,8,18,15,370,385
1630537,Chris Duarte,230,44,23,53,21,325,346
1641753,Chris Livingston,26,5,1,2,4,36,40
101108,Chris Paul,533,393,144,341,249,1372,1619
1631128,Christian Braun,600,132,26,63,106,875,981
1626174,Christian Wood,347,49,42,92,7,453,460
1629643,Chuma Okeke,107,20,10,26,10,153,163
203991,Clint Capela,836,91,71,176,20,1052,1072
1629632,Coby White,1509,405,405,983,0,2492,2492
1628998,Cody Martin,211,104,29,71,75,432,503
203469,Cody Zeller,76,39,19,48,20,164,184
1641732,Colby Jones,64,20,5,11,15,105,120
1630175,Cole Anthony,937,236,120,287,116,1456,1571
1631306,Cole Swider,42,5,0,0,5,52,57
1630658,Colin Castleton,24,3,2,4,1,30,31
1631221,Collin Gillespie,87,27,5,13,22,144,166
1629012,Collin Sexton,1458,383,197,477,186,2307,2492
1630557,Corey Kispert,1070,157,46,110,111,1402,1512
202709,Cory Joseph,63,42,23,60,19,161,180
1641854,Craig Porter Jr.,285,118,26,66,92,535,627
1626156,D'Angelo Russell,1369,482,468,1080,14,2477,2491
1641793,D'Moi Hodge,14,5,2,4,3,24,27
1630618,D.J. Carton,11,3,0,0,3,17,20
1628391,D.J. Wilson,10,2,0,0,2,14,16
1629610,DaQuan Jeffries,14,5,0,0,5,24,29
1630227,Daishen Nix,27,6,0,0,6,39,45
1630625,Dalano Banton,557,127,19,47,108,820,927
1631207,Dalen Terry,180,81,81,188,0,368,368
1627745,Damian Jones,107,15,2,6,13,139,152
203081,Damian Lillard,1775,508,367,887,141,2944,3084
1629655,Daniel Gafford,814,115,26,55,89,1047,1136
1628464,Daniel Theis,376,61,28,71,33,513,546
201568,Danilo Gallinari,280,55,25,60,30,400,430
201980,Danny Green,0,1,1,2,0,2,2
203957,Dante Exum,428,157,32,77,125,755,879
1627863,Danuel House Jr.,144,28,16,37,12,205,217
203967,Dario Saric,515,144,60,143,84,826,910
1641727,Dariq Whitehead,3,3,0,0,3,9,12
1629647,Darius Bazley,48,7,2,5,5,63,68
1629636,Darius Garland,1028,373,84,194,289,1800,2077
1630561,David Duke Jr.,26,5,0,0,5,36,41
1631223,David Roddy,425,80,16,43,64,596,660
1630558,Davion Mitchell,379,134,65,160,69,677,746
202722,Davis Bertans,290,35,6,14,29,362,391
1630549,Day'Ron Sharpe,415,85,20,47,65,592,657
1628368,De'Aaron Fox,1966,418,303,746,115,2942,3056
1629631,De'Andre Hunter,891,87,71,175,16,1098,1114
