SEASON,TEAM_ID,TEAM_NAME,GP,FGA,FGM,shot_fga,shot_fgm,shot_gp,fga_delta,fgm_delta,gp_delta
2022-23,1610612752,New York Knicks,82,7328,3444,7328,3444,82,0,0,0
2022-23,1610612753,Orlando Magic,82,7074,3323,7074,3323,82,0,0,0
2022-23,1610612754,Indiana Pacers,82,7345,3444,7345,3444,82,0,0,0
2022-23,1610612755,Philadelphia 76ers,82,6870,3347,6870,3347,82,0,0,0
2022-23,1610612756,Phoenix Suns,82,7388,3453,7388,3453,82,0,0,0
2022-23,1610612757,Portland Trail Blazers,82,7001,3317,7001,3317,82,0,0,0
2022-23,1610612758,Sacramento Kings,82,7232,3573,7232,3573,82,0,0,0
2022-23,1610612759,San Antonio Spurs,82,7593,3533,7593,3533,82,0,0,0
2022-23,1610612760,Oklahoma City Thunder,82,7590,3533,7590,3533,82,0,0,0
2022-23,1610612761,Toronto Raptors,82,7489,3434,7489,3434,82,0,0,0
2022-23,1610612762,Utah Jazz,82,7365,3485,7365,3485,82,0,0,0
2022-23,1610612763,Memphis Grizzlies,82,7551,3585,7551,3585,82,0,0,0
2022-23,1610612764,Washington Wizards,82,7127,3456,7127,3456,82,0,0,0
2022-23,1610612765,Detroit Pistons,82,7140,3244,7140,3244,82,0,0,0
2022-23,1610612766,Charlotte Hornets,82,7413,3385,7413,3385,82,0,0,0
2018-19,1610612737,Atlanta Hawks,82,7524,3392,7524,3392,82,0,0,0
2018-19,1610612738,Boston Celtics,82,7423,3451,7423,3451,82,0,0,0
2018-19,1610612739,Cleveland Cavaliers,82,7184,3189,7184,3189,82,0,0,0
2018-19,1610612740,New Orleans Pelicans,82,7563,3581,7563,3581,82,0,0,0
2018-19,1610612741,Chicago Bulls,82,7205,3266,7205,3266,82,0,0,0
2018-19,1610612742,Dallas Mavericks,82,7122,3182,7122,3182,82,0,0,0
2018-19,1610612743,Denver Nuggets,82,7384,3439,7384,3439,82,0,0,0
2018-19,1610612744,Golden State Warriors,82,7361,3612,7361,3612,82,0,0,0
2018-19,1610612745,Houston Rockets,82,7163,3218,7163,3218,82,0,0,0
2018-19,1610612746,LA Clippers,82,7178,3384,7178,3384,82,0,0,0
2018-19,1610612747,Los Angeles Lakers,82,7425,3491,7425,3491,82,0,0,0
2018-19,1610612748,Miami Heat,82,7218,3251,7218,3251,82,0,0,0
2018-19,1610612749,Milwaukee Bucks,82,7471,3555,7471,3555,82,0,0,0
2018-19,1610612750,Minnesota Timberwolves,82,7483,3413,7483,3413,82,0,0,0
2018-19,1610612751,Brooklyn Nets,82,7358,3301,7358,3301,82,0,0,0
2018-19,1610612752,New York Knicks,82,7241,3134,7241,3134,82,0,0,0
2018-19,1610612753,Orlando Magic,82,7307,3316,7307,3316,82,0,0,0
2018-19,1610612754,Indiana Pacers,82,7135,3390,7135,3390,82,0,0,0
2018-19,1610612755,Philadelphia 76ers,82,7233,3407,7233,3407,82,0,0,0
2018-19,1610612756,Phoenix Suns,82,7164,3289,7164,3289,82,0,0,0
2018-19,1610612757,Portland Trail Blazers,82,7427,3470,7427,3470,82,0,0,0
2018-19,1610612758,Sacramento Kings,82,7637,3541,7637,3541,82,0,0,0
2018-19,1610612759,San Antonio Spurs,82,7248,3468,7248,3468,82,0,0,0
2018-19,1610612760,Oklahoma City Thunder,82,7706,3497,7706,3497,82,0,0,0
2018-19,1610612761,Toronto Raptors,82,7305,3460,7305,3460,82,0,0,0
2018-19,1610612762,Utah Jazz,82,7082,3314,7082,3314,82,0,0,0
2018-19,1610612763,Memphis Grizzlies,82,6924,3113,6924,3113,82,0,0,0
2018-19,1610612764,Washington Wizards,82,7387,3456,7387,3456,82,0,0,0
2018-19,1610612765,Detroit Pistons,82,7238,3185,7238,3185,82,0,0,0
2018-19,1610612766,Charlotte Hornets,82,7362,3297,7362,3297,82,0,0,0
2025-26,1610612737,Atlanta Hawks,82,7541,3575,7541,3575,82,0,0,0
2025-26,1610612738,Boston Celtics,82,7398,3456,7398,3456,82,0,0,0
2025-26,1610612739,Cleveland Cavaliers,82,7381,3554,7381,3554,82,0,0,0
2025-26,1610612740,New Orleans Pelicans,82,7420,3455,7420,3455,82,0,0,0
2025-26,1610612741,Chicago Bulls,82,7417,3476,7417,3476,82,0,0,0
2025-26,1610612742,Dallas Mavericks,82,7366,3432,7366,3432,82,0,0,0
2025-26,1610612743,Denver Nuggets,82,7196,3570,7196,3570,82,0,0,0
2025-26,1610612744,Golden State Warriors,82,7280,3357,7280,3357,82,0,0,0
2025-26,1610612745,Houston Rockets,82,7362,3523,7362,3523,82,0,0,0
2025-26,1610612746,LA Clippers,82,6857,3322,6857,3322,82,0,0,0
2025-26,1610612747,Los Angeles Lakers,82,6863,3448,6863,3448,82,0,0,0
2025-26,1610612748,Miami Heat,82,7648,3582,7648,3582,82,0,0,0
2025-26,1610612749,Milwaukee Bucks,82,7012,3345,7012,3345,82,0,0,0
2025-26,1610612750,Minnesota Timberwolves,82,7260,3495,7260,3495,82,0,0,0
2025-26,1610612751,Brooklyn Nets,82,6933,3071,6933,3071,82,0,0,0
2025-26,1610612752,New York Knicks,82,7328,3500,7328,3500,82,0,0,0
2025-26,1610612753,Orlando Magic,82,7244,3363,7244,3363,82,0,0,0
2025-26,1610612754,Indiana Pacers,82,7304,3346,7304,3346,82,0,0,0
2025-26,1610612755,Philadelphia 76ers,82,7404,3422,7404,3422,82,0,0,0
2025-26,1610612756,Phoenix Suns,82,7389,3362,7389,3362,82,0,0,0
2025-26,1610612757,Portland Trail Blazers,82,7389,3350,7389,3350,82,0,0,0
2025-26,1610612758,Sacramento Kings,82,7299,3408,7299,3408,82,0,0,0
2025-26,1610612759,San Antonio Spurs,82,7371,3562,7371,3562,82,0,0,0
2025-26,1610612760,Oklahoma City Thunder,82,7307,3534,7307,3534,82,0,0,0
2025-26,1610612761,Toronto Raptors,82,7250,3495,7250,3495,82,0,0,0
2025-26,1610612762,Utah Jazz,82,7469,3489,7469,3489,82,0,0,0
2025-26,1610612763,Memphis Grizzlies,82,7431,3390,7431,3390,82,0,0,0
2025-26,1610612764,Washington Wizards,82,7409,3428,7409,3428,82,0,0,0
2025-26,1610612765,Detroit Pistons,82,7340,3560,7340,3560,82,0,0,0
2025-26,1610612766,Charlotte Hornets,82,7292,3357,7292,3357,82,0,0,0
2012-13,1610612737,Atlanta Hawks,82,6644,3084,6644,3084,82,0,0,0
2012-13,1610612738,Boston Celtics,81,6459,3001,6459,3001,81,0,0,0
2012-13,1610612739,Cleveland Cavaliers,82,6901,2993,6901,2993,82,0,0,0
2012-13,1610612740,New Orleans Hornets,82,6589,2955,6589,2955,82,0,0,0
2012-13,1610612741,Chicago Bulls,82,6698,2926,6698,2926,82,0,0,0
2012-13,1610612742,Dallas Mavericks,82,6892,3182,6892,3182,82,0,0,0
2012-13,1610612743,Denver Nuggets,82,6983,3339,6983,3339,82,0,0,0
2012-13,1610612744,Golden State Warriors,82,6840,3130,6840,3130,82,0,0,0
2012-13,1610612745,Houston Rockets,82,6782,3124,6782,3124,82,0,0,0
2012-13,1610612746,Los Angeles Clippers,82,6608,3160,6608,3160,82,0,0,0
