PLAYER_ID,PLAYER_NAME,season,GP,PTS,AST,pbp_ast,assist_pts,created,start,nba_rank,team_points,team_pct,created_per_game
201942,DeMar DeRozan,2021-22,76,2118,374,374,948,3066,2021,4.0,9152.0,33.50087412587413,40.3421052631579
201942,DeMar DeRozan,2023-24,79,1897,421,421,1044,2941,2023,14.0,9206.0,31.94655659352596,37.22784810126582
201942,DeMar DeRozan,2022-23,74,1816,377,377,923,2739,2022,15.0,9276.0,29.527813712807244,37.013513513513516
203897,Zach LaVine,2022-23,77,1913,327,327,769,2682,2022,17.0,9276.0,28.913324708926265,34.83116883116883
1629632,Coby White,2023-24,79,1509,405,405,983,2492,2023,26.0,9206.0,27.069302628720397,31.544303797468356
203897,Zach LaVine,2021-22,67,1635,303,303,702,2337,2021,26.0,9152.0,25.5354020979021,34.88059701492537
1629632,Coby White,2024-25,74,1509,330,330,827,2336,2024,27.0,9660.0,24.182194616977227,31.56756756756757
203897,Zach LaVine,2020-21,58,1591,282,282,677,2268,2020,17.0,7969.0,28.460283598945917,39.10344827586207
1630581,Josh Giddey,2024-25,70,1022,503,503,1223,2245,2024,32.0,9660.0,23.24016563146998,32.07142857142857
1630581,Josh Giddey,2025-26,54,919,494,494,1209,2128,2025,36.0,9537.0,22.313096361539266,39.407407407407405
