EntityId,Name,Points,AssistPoints,created,rank
2544,LeBron James,2258.0,1496.0,3754.0,1
959,Steve Nash,1333.0,2001.0,3334.0,2
2548,Dwyane Wade,2045.0,1148.0,3193.0,3
101114,Deron Williams,1419.0,1750.0,3169.0,4
201142,Kevin Durant,2472.0,513.0,2985.0,5
200765,Rajon Rondo,1110.0,1773.0,2883.0,6
977,Kobe Bryant,1970.0,831.0,2801.0,7
201566,Russell Westbrook,1322.0,1442.0,2764.0,8
201565,Derrick Rose,1619.0,1043.0,2662.0,9
201166,Aaron Brooks,1604.0,985.0,2589.0,10
1717,Dirk Nowitzki,2027.0,521.0,2548.0,11
2207,Joe Johnson,1619.0,847.0,2466.0,12
201939,Stephen Curry,1399.0,1054.0,2453.0,13
1884,Baron Davis,1145.0,1306.0,2451.0,14
2546,Carmelo Anthony,1943.0,504.0,2447.0,15
2738,Andre Iguodala,1401.0,1031.0,2432.0,16
201936,Tyreke Evans,1450.0,960.0,2410.0,17
101145,Monta Ellis,1631.0,777.0,2408.0,18
467,Jason Kidd,824.0,1567.0,2391.0,19
101135,David Lee,1640.0,738.0,2378.0,20
201943,Brandon Jennings,1270.0,1075.0,2345.0,21
1497,Chauncey Billups,1427.0,912.0,2339.0,22
1536,Stephen Jackson,1667.0,647.0,2314.0,23
1889,Andre Miller,1146.0,1003.0,2149.0,24
200750,Brandon Roy,1398.0,706.0,2104.0,25
2561,David West,1541.0,562.0,2103.0,26
2405,Amar'e Stoudemire,1896.0,201.0,2097.0,27
2547,Chris Bosh,1678.0,388.0,2066.0,28
2746,Josh Smith,1269.0,790.0,2059.0,29
1938,Manu Ginobili,1237.0,817.0,2054.0,30
2430,Carlos Boozer,1519.0,535.0,2054.0,30
2216,Zach Randolph,1681.0,341.0,2022.0,32
2734,Devin Harris,1080.0,921.0,2001.0,33
201155,Rodney Stuckey,1215.0,767.0,1982.0,34
101109,Raymond Felton,968.0,1010.0,1978.0,35
201564,O.J. Mayo,1432.0,531.0,1963.0,36
1891,Jason Terry,1280.0,672.0,1952.0,37
201572,Brook Lopez,1542.0,409.0,1951.0,38
2037,Jamal Crawford,1425.0,519.0,1944.0,39
1495,Tim Duncan,1395.0,541.0,1936.0,40
101108,Chris Paul,841.0,1092.0,1933.0,41
201954,Darren Collison,946.0,971.0,1917.0,42
101122,Danny Granger,1497.0,407.0,1904.0,43
200752,Rudy Gay,1567.0,336.0,1903.0,44
201938,Jonny Flynn,1094.0,808.0,1902.0,45
2590,Mo Williams,1092.0,799.0,1891.0,46
201144,Mike Conley,959.0,925.0,1884.0,47
2730,Dwight Howard,1503.0,362.0,1865.0,48
2757,Beno Udrih,1023.0,824.0,1847.0,49
101127,Jarrett Jack,931.0,911.0,1842.0,50
1713,Vince Carter,1244.0,585.0,1829.0,51
1894,Corey Maggette,1387.0,401.0,1788.0,52
1718,Paul Pierce,1296.0,471.0,1767.0,53
200746,LaMarcus Aldridge,1393.0,370.0,1763.0,54
951,Ray Allen,1304.0,452.0,1756.0,55
2422,John Salmons,1245.0,510.0,1755.0,56
2222,Gerald Wallace,1386.0,363.0,1749.0,57
2449,Luis Scola,1329.0,415.0,1744.0,58
2200,Pau Gasol,1190.0,500.0,1690.0,59
2772,Trevor Ariza,1072.0,614.0,1686.0,60
2549,Chris Kaman,1408.0,274.0,1682.0,61
2749,Jameer Nelson,818.0,850.0,1668.0,62
2564,Boris Diaw,925.0,738.0,1663.0,63
2225,Tony Parker,894.0,741.0,1635.0,64
2744,Al Jefferson,1301.0,306.0,1607.0,65
2403,Nene,1135.0,467.0,1602.0,66
101181,Jose Calderon,699.0,899.0,1598.0,67
2557,Luke Ridnour,852.0,744.0,1596.0,68
200745,Andrea Bargnani,1376.0,214.0,1590.0,69
201143,Al Horford,1148.0,434.0,1582.0,70
2202,Jason Richardson,1239.0,330.0,1569.0,71
2248,Earl Watson,619.0,949.0,1568.0,72
2406,Caron Butler,1206.0,357.0,1563.0,73
2747,JR Smith,1156.0,403.0,1559.0,74
2736,Luol Deng,1230.0,316.0,1546.0,75
201145,Jeff Green,1239.0,306.0,1545.0,76
2045,Hedo Turkoglu,835.0,696.0,1531.0,77
101154,Andray Blatche,1143.0,386.0,1529.0,78
1733,Al Harrington,1276.0,251.0,1527.0,79
201568,Danilo Gallinari,1221.0,306.0,1527.0,79
201171,Carl Landry,1343.0,161.0,1504.0,81
2550,Kirk Hinrich,805.0,698.0,1503.0,82
101150,Lou Williams,898.0,595.0,1493.0,83
201147,Corey Brewer,1066.0,419.0,1485.0,84
201588,George Hill,964.0,517.0,1481.0,85
1885,Lamar Odom,882.0,594.0,1476.0,86
2581,Steve Blake,586.0,862.0,1448.0,87
201569,Eric Gordon,1045.0,401.0,1446.0,88
1712,Antawn Jamison,1235.0,193.0,1428.0,89
2211,Troy Murphy,1050.0,354.0,1404.0,90
708,Kevin Garnett,990.0,409.0,1399.0,91
101106,Andrew Bogut,1095.0,302.0,1397.0,92
1710,Mike Bibby,730.0,663.0,1393.0,93
201563,Michael Beasley,1156.0,231.0,1387.0,94
201188,Marc Gasol,1008.0,378.0,1386.0,95
2768,Chris Duhon,494.0,878.0,1372.0,96
1897,Metta World Peace,845.0,515.0,1360.0,97
255,Grant Hill,912.0,446.0,1358.0,98
2210,Richard Jefferson,994.0,356.0,1350.0,99
200768,Kyle Lowry,620.0,713.0,1333.0,100
