EntityId,Name,Points,AssistPoints,created,rank
2548,Dwyane Wade,2386.0,1341.0,3727.0,1
101108,Chris Paul,1781.0,1945.0,3726.0,2
2544,LeBron James,2304.0,1406.0,3710.0,3
977,Kobe Bryant,2201.0,914.0,3115.0,4
101114,Deron Williams,1322.0,1606.0,2928.0,5
2225,Tony Parker,1581.0,1179.0,2760.0,6
2207,Joe Johnson,1688.0,1071.0,2759.0,7
959,Steve Nash,1160.0,1583.0,2743.0,8
200750,Brandon Roy,1765.0,940.0,2705.0,9
2734,Devin Harris,1470.0,1111.0,2581.0,10
1717,Dirk Nowitzki,2094.0,473.0,2567.0,11
1713,Vince Carter,1662.0,891.0,2553.0,12
1497,Chauncey Billups,1400.0,1129.0,2529.0,13
201565,Derrick Rose,1361.0,1160.0,2521.0,14
1889,Andre Miller,1337.0,1126.0,2463.0,15
2738,Andre Iguodala,1541.0,921.0,2462.0,16
200765,Rajon Rondo,953.0,1495.0,2448.0,17
101109,Raymond Felton,1162.0,1266.0,2428.0,18
1718,Paul Pierce,1659.0,667.0,2326.0,19
201142,Kevin Durant,1871.0,454.0,2325.0,20
2732,Ben Gordon,1699.0,611.0,2310.0,21
467,Jason Kidd,731.0,1551.0,2282.0,22
101181,Jose Calderon,873.0,1359.0,2232.0,23
2768,Chris Duhon,880.0,1340.0,2220.0,24
2045,Hedo Turkoglu,1294.0,909.0,2203.0,25
201566,Russell Westbrook,1256.0,943.0,2199.0,26
2590,Mo Williams,1443.0,744.0,2187.0,27
2200,Pau Gasol,1528.0,654.0,2182.0,28
2547,Chris Bosh,1746.0,436.0,2182.0,28
101122,Danny Granger,1728.0,412.0,2140.0,30
1712,Antawn Jamison,1801.0,338.0,2139.0,31
201564,O.J. Mayo,1516.0,576.0,2092.0,32
1536,Stephen Jackson,1223.0,841.0,2064.0,33
1884,Baron Davis,968.0,1095.0,2063.0,34
2210,Richard Jefferson,1607.0,448.0,2055.0,35
1495,Tim Duncan,1450.0,600.0,2050.0,36
1710,Mike Bibby,1176.0,869.0,2045.0,37
