PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
3,Grant Long,72,72.0,25,25.0,0.0,0.0,both
15,Eric Piatkowski,601,601.0,70,70.0,0.0,0.0,both
42,Monty Williams,92,92.0,26,26.0,0.0,0.0,both
43,Chris Whitney,355,355.0,145,145.0,0.0,0.0,both
56,Gary Payton,1634,1634.0,663,663.0,0.0,0.0,both
57,Doug Christie,748,748.0,376,376.0,0.0,0.0,both
70,Steve Kerr,299,299.0,70,70.0,0.0,0.0,both
72,Kenny Anderson,372,372.0,198,198.0,0.0,0.0,both
84,Latrell Sprewell,1215,1215.0,332,332.0,0.0,0.0,both
87,Dikembe Mutombo,138,138.0,19,19.0,0.0,0.0,both
89,Nick Van Exel,910,910.0,312,312.0,0.0,0.0,both
93,Hubert Davis,79,79.0,29,29.0,0.0,0.0,both
95,Mark Bryant,13,13.0,4,4.0,0.0,0.0,both
109,Robert Horry,522,522.0,233,233.0,0.0,0.0,both
111,LaPhonso Ellis,277,277.0,15,15.0,0.0,0.0,both
120,Steven Smith,360,360.0,70,70.0,0.0,0.0,both
123,Robert Pack,145,145.0,81,81.0,0.0,0.0,both
124,Vlade Divac,795,795.0,274,274.0,0.0,0.0,both
133,David Wesley,1217,1217.0,251,251.0,0.0,0.0,both
136,P.J. Brown,832,832.0,147,147.0,0.0,0.0,both
145,Tracy Murray,61,61.0,12,12.0,0.0,0.0,both
147,Jalen Rose,1816,1816.0,395,395.0,0.0,0.0,both
164,Chris Childs,15,15.0,16,16.0,0.0,0.0,both
168,Chris Mills,101,101.0,22,22.0,0.0,0.0,both
176,Antonio Harvey,4,4.0,0,,0.0,0.0,both
180,John Crotty,41,41.0,29,29.0,0.0,0.0,both
185,Chris Webber,1542,1542.0,364,364.0,0.0,0.0,both
193,Anthony Mason,466,466.0,209,209.0,0.0,0.0,both
198,Danny Ferry,119,119.0,21,21.0,0.0,0.0,both
201,Chris Dudley,0,,0,,0.0,0.0,both
208,Sam Cassell,1536,1536.0,450,450.0,0.0,0.0,both
213,Antonio Davis,738,738.0,131,131.0,0.0,0.0,both
216,Brian Shaw,250,250.0,103,103.0,0.0,0.0,both
221,Clar. Weatherspoon,521,521.0,68,68.0,0.0,0.0,both
224,Eddie Jones,869,869.0,173,173.0,0.0,0.0,both
238,Tyrone Hill,312,312.0,41,41.0,0.0,0.0,both
243,Aaron McKie,721,721.0,278,278.0,0.0,0.0,both
248,George Lynch,363,363.0,104,104.0,0.0,0.0,both
252,Karl Malone,1667,1667.0,379,379.0,0.0,0.0,both
255,Grant Hill,421,421.0,122,122.0,0.0,0.0,both
258,Brian Grant,846,846.0,104,104.0,0.0,0.0,both
270,Horace Grant,26,26.0,7,7.0,0.0,0.0,both
275,Allan Houston,1845,1845.0,220,220.0,0.0,0.0,both
278,Stacey Augmon,212,212.0,69,69.0,0.0,0.0,both
