EntityId,Name,Points,AssistPoints,created,rank
201166,Aaron Brooks,645.0,546.0,1191.0,118
202324,Derrick Favors,970.0,217.0,1187.0,119
202714,Shelvin Mack,544.0,638.0,1182.0,120
201988,Patty Mills,826.0,354.0,1180.0,121
203083,Andre Drummond,1095.0,79.0,1174.0,122
202683,Enes Kanter,987.0,181.0,1168.0,123
202341,James Anderson,810.0,353.0,1163.0,124
202695,Kawhi Leonard,844.0,317.0,1161.0,125
101112,Channing Frye,910.0,240.0,1150.0,126
202684,Tristan Thompson,961.0,170.0,1131.0,127
201960,DeMarre Carroll,810.0,320.0,1130.0,128
203093,Terrence Jones,921.0,208.0,1129.0,129
2210,Richard Jefferson,831.0,294.0,1125.0,130
201163,Wilson Chandler,846.0,266.0,1112.0,131
101138,Brandon Bass,911.0,201.0,1112.0,131
201573,Jerryd Bayless,666.0,444.0,1110.0,133
101154,Andray Blatche,821.0,279.0,1100.0,134
101150,Lou Williams,625.0,473.0,1098.0,135
200782,PJ Tucker,760.0,336.0,1096.0,136
2403,Nene,754.0,341.0,1095.0,137
1890,Shawn Marion,791.0,300.0,1091.0,138
201950,Jrue Holiday,487.0,604.0,1091.0,138
202699,Tobias Harris,893.0,191.0,1084.0,140
201577,Robin Lopez,908.0,176.0,1084.0,140
2581,Steve Blake,378.0,704.0,1082.0,142
202708,Norris Cole,527.0,553.0,1080.0,143
202340,Avery Bradley,891.0,188.0,1079.0,144
201579,Roy Hibbert,871.0,206.0,1077.0,145
201593,Nikola Pekovic,944.0,121.0,1065.0,146
101161,Amir Johnson,799.0,259.0,1058.0,147
202696,Nikola Vucevic,811.0,245.0,1056.0,148
203082,Terrence Ross,879.0,174.0,1053.0,149
202685,Jonas Valanciunas,916.0,131.0,1047.0,150
201581,JJ Hickson,814.0,232.0,1046.0,151
951,Ray Allen,701.0,343.0,1044.0,152
203089,John Henson,779.0,263.0,1042.0,153
201599,DeAndre Jordan,856.0,166.0,1022.0,154
200765,Rajon Rondo,350.0,668.0,1018.0,155
203084,Harrison Barnes,738.0,275.0,1013.0,156
201584,Courtney Lee,761.0,252.0,1013.0,156
202325,Wesley Johnson,715.0,283.0,998.0,158
202694,Marcus Morris,796.0,199.0,995.0,159
203501,Tim Hardaway Jr.,824.0,155.0,979.0,160
101110,Martell Webster,759.0,218.0,977.0,161
101198,Will Bynum,485.0,479.0,964.0,162
202713,Kyle Singler,784.0,172.0,956.0,163
203118,Mike Scott,767.0,180.0,947.0,164
201976,Patrick Beverley,573.0,361.0,934.0,165
203087,Jeremy Lamb,665.0,265.0,930.0,166
202389,Timofey Mozgov,770.0,150.0,920.0,167
2440,Matt Barnes,625.0,281.0,906.0,168
203463,Ben McLemore,720.0,180.0,900.0,169
203085,Austin Rivers,530.0,366.0,896.0,170
200770,Jordan Farmar,416.0,478.0,894.0,171
203095,Evan Fournier,638.0,254.0,892.0,172
201977,Marcus Thornton,703.0,173.0,876.0,173
2760,Anderson Varejao,546.0,324.0,870.0,174
203110,Draymond Green,511.0,358.0,869.0,175
2034,Mike Miller,579.0,286.0,865.0,176
203507,Giannis Antetokounmpo,525.0,337.0,862.0,177
2405,Amar'e Stoudemire,772.0,85.0,857.0,178
203489,Nate Wolters,417.0,439.0,856.0,179
201564,O.J. Mayo,608.0,248.0,856.0,179
203482,Kelly Olynyk,607.0,249.0,856.0,179
201980,Danny Green,618.0,225.0,843.0,182
201941,Jordan Hill,696.0,138.0,834.0,183
2449,Luis Scola,626.0,193.0,819.0,184
202329,Al-Farouq Aminu,572.0,246.0,818.0,185
201175,Glen Davis,641.0,173.0,814.0,186
201979,Nick Calathes,347.0,466.0,813.0,187
202697,Iman Shumpert,495.0,308.0,803.0,188
203143,Pablo Prigioni,252.0,539.0,791.0,189
101107,Marvin Williams,603.0,185.0,788.0,190
101141,Ersan Ilyasova,618.0,168.0,786.0,191
2406,Caron Butler,587.0,192.0,779.0,192
203090,Maurice Harkless,592.0,179.0,771.0,193
201627,Anthony Morrow,636.0,131.0,767.0,194
203521,Matthew Dellavedova,339.0,422.0,761.0,195
203141,Mirza Teletovic,622.0,134.0,756.0,196
201162,Jared Dudley,511.0,245.0,756.0,196
101106,Andrew Bogut,492.0,263.0,755.0,198
101187,Alan Anderson,564.0,191.0,755.0,198
202682,Derrick Williams,624.0,128.0,752.0,200
2422,John Salmons,403.0,349.0,752.0,200
203515,Phil Pressey,213.0,537.0,750.0,202
203101,Miles Plumlee,646.0,104.0,750.0,202
202335,Patrick Patterson,555.0,193.0,748.0,204
202734,E'Twaun Moore,499.0,245.0,744.0,205
2743,Kris Humphries,579.0,158.0,737.0,206
202390,Gary Neal,548.0,188.0,736.0,207
2734,Devin Harris,315.0,418.0,733.0,208
1889,Andre Miller,283.0,449.0,732.0,209
201143,Al Horford,538.0,181.0,719.0,210
200755,JJ Redick,532.0,180.0,712.0,211
2419,Tayshaun Prince,454.0,257.0,711.0,212
203527,Ryan Kelly,472.0,237.0,709.0,213
201967,Dante Cunningham,510.0,198.0,708.0,214
201574,Jason Thompson,586.0,121.0,707.0,215
2557,Luke Ridnour,306.0,398.0,704.0,216
101126,Nate Robinson,457.0,246.0,703.0,217
201956,Omri Casspi,490.0,210.0,700.0,218
2585,Zaza Pachulia,408.0,292.0,700.0,218
203469,Cody Zeller,490.0,208.0,698.0,220
2754,Tony Allen,495.0,202.0,697.0,221
202397,Ish Smith,261.0,429.0,690.0,222
201168,Tiago Splitter,483.0,203.0,686.0,223
965,Derek Fisher,425.0,255.0,680.0,224
201971,DeJuan Blair,497.0,168.0,665.0,225
200745,Andrea Bargnani,558.0,105.0,663.0,226
203486,Mason Plumlee,520.0,141.0,661.0,227
201228,C.J. Watson,414.0,246.0,660.0,228
202344,Trevor Booker,491.0,157.0,648.0,229
203138,Hollis Thompson,461.0,175.0,636.0,230
2222,Gerald Wallace,298.0,330.0,628.0,231
201949,James Johnson,384.0,242.0,626.0,232
101139,CJ Miles,503.0,121.0,624.0,233
2223,Samuel Dalembert,529.0,91.0,620.0,234
2199,Tyson Chandler,480.0,140.0,620.0,234
203145,Kent Bazemore,403.0,206.0,609.0,236
202709,Cory Joseph,343.0,262.0,605.0,237
201148,Brandan Wright,525.0,78.0,603.0,238
201585,Kosta Koufos,514.0,85.0,599.0,239
203124,Kyle O'Quinn,429.0,170.0,599.0,239
1882,Elton Brand,419.0,178.0,597.0,241
203484,Kentavious Caldwell-Pope,470.0,126.0,596.0,242
200757,Thabo Sefolosha,383.0,204.0,587.0,243
201578,Marreese Speights,508.0,76.0,584.0,244
2555,Nick Collison,338.0,240.0,578.0,245
202343,Elliot Williams,404.0,169.0,573.0,246
203077,Michael Kidd-Gilchrist,448.0,115.0,563.0,247
202333,Xavier Henry,432.0,115.0,547.0,248
203492,Ray McCallum,280.0,266.0,546.0,249
2549,Chris Kaman,404.0,139.0,543.0,250
708,Kevin Garnett,352.0,191.0,543.0,250
201589,Darrell Arthur,401.0,139.0,540.0,252
201563,Michael Beasley,436.0,100.0,536.0,253
202706,Jordan Hamilton,404.0,125.0,529.0,254
203197,Diante Garrett,248.0,277.0,525.0,255
2365,Chris Andersen,477.0,44.0,521.0,256
202379,Jeremy Evans,401.0,100.0,501.0,257
203094,Andrew Nicholson,435.0,63.0,498.0,258
2748,Dorell Wright,343.0,154.0,497.0,259
203109,Jae Crowder,356.0,140.0,496.0,260
201229,Anthony Tolliver,393.0,100.0,493.0,261
203503,Tony Snell,346.0,146.0,492.0,262
203544,Pero Antic,352.0,136.0,488.0,263
203135,Robert Sacre,350.0,135.0,485.0,264
203092,Tyler Zeller,399.0,84.0,483.0,265
201583,Ryan Anderson,436.0,38.0,474.0,266
202730,Lavoy Allen,303.0,168.0,471.0,267
203156,Henry Sims,350.0,119.0,469.0,268
101128,Francisco Garcia,315.0,149.0,464.0,269
2757,Beno Udrih,200.0,263.0,463.0,270
201604,Chris Douglas-Roberts,339.0,118.0,457.0,271
2203,Shane Battier,298.0,156.0,454.0,272
2566,Travis Outlaw,343.0,108.0,451.0,273
202399,Jeff Adrien,362.0,82.0,444.0,274
101122,Danny Granger,338.0,97.0,435.0,275
202700,Donatas Motiejunas,341.0,93.0,434.0,276
203080,Thomas Robinson,339.0,80.0,419.0,277
202334,Ed Davis,357.0,59.0,416.0,278
201582,Alexis Ajinca,328.0,88.0,416.0,278
202690,Jimmer Fredette,273.0,140.0,413.0,280
201858,Cartier Martin,329.0,79.0,408.0,281
979,Jermaine O'Neal,349.0,59.0,408.0,281
1740,Rashard Lewis,268.0,139.0,407.0,283
203144,Alexey Shved,250.0,153.0,403.0,284
2584,Willie Green,273.0,125.0,398.0,285
203471,Dennis Schroder,183.0,210.0,393.0,286
201572,Brook Lopez,352.0,41.0,393.0,286
1905,Andrei Kirilenko,226.0,156.0,382.0,288
201965,Jeff Ayres,240.0,141.0,381.0,289
203476,Gorgui Dieng,286.0,89.0,375.0,290
201160,Jason Smith,301.0,65.0,366.0,291
202087,Alonzo Gee,258.0,107.0,365.0,292
203500,Steven Adams,265.0,97.0,362.0,293
201962,Toney Douglas,202.0,159.0,361.0,294
201973,Jonas Jerebko,270.0,89.0,359.0,295
2570,Kendrick Perkins,211.0,148.0,359.0,295
201946,Tyler Hansbrough,312.0,44.0,356.0,297
202720,Jon Leuer,302.0,44.0,346.0,298
201978,Chase Budinger,274.0,70.0,344.0,299
201600,Omer Asik,280.0,62.0,342.0,300
101133,Ian Mahinmi,272.0,58.0,330.0,301
201986,Nando De Colo,177.0,152.0,329.0,302
203187,Chris Johnson,250.0,72.0,322.0,303
203113,Quincy Miller,257.0,62.0,319.0,304
202066,Garrett Temple,138.0,173.0,311.0,305
201601,Luc Mbah a Moute,224.0,82.0,306.0,306
959,Steve Nash,102.0,200.0,302.0,307
203499,Shane Larkin,132.0,165.0,297.0,308
203121,Darius Miller,200.0,95.0,295.0,309
201947,Earl Clark,257.0,38.0,295.0,309
203117,Doron Lamb,191.0,103.0,294.0,311
202338,Kevin Seraphin,249.0,42.0,291.0,312
101115,Andrew Bynum,225.0,64.0,289.0,313
1733,Al Harrington,225.0,64.0,289.0,313
201576,Anthony Randolph,206.0,81.0,287.0,315
1891,Jason Terry,159.0,128.0,287.0,315
200761,Shawne Williams,202.0,78.0,280.0,317
203103,Perry Jones III,216.0,59.0,275.0,318
2588,Matt Bonner,197.0,77.0,274.0,319
200777,Joel Freeland,174.0,94.0,268.0,320
203468,CJ McCollum,201.0,64.0,265.0,321
2501,Reggie Evans,214.0,50.0,264.0,322
2457,Jannero Pargo,136.0,127.0,263.0,323
203106,Jeffery Taylor,208.0,49.0,257.0,324
201565,Derrick Rose,159.0,95.0,254.0,325
203461,Anthony Bennett,217.0,37.0,254.0,325
101249,John Lucas III,159.0,95.0,254.0,325
203315,Toure' Murry,140.0,110.0,250.0,328
203481,Jeff Withey,190.0,58.0,248.0,329
203104,Marquis Teague,107.0,140.0,247.0,330
2030,Kenyon Martin,137.0,110.0,247.0,330
202686,Jan Vesely,197.0,47.0,244.0,332
203115,Will Barton,166.0,77.0,243.0,333
203462,Archie Goodwin,194.0,47.0,241.0,334
202687,Bismack Biyombo,222.0,18.0,240.0,335
203382,Aron Baynes,161.0,77.0,238.0,336
202337,Luke Babbitt,170.0,68.0,238.0,336
201880,Greg Stiemsma,159.0,79.0,238.0,336
203112,Quincy Acy,171.0,64.0,235.0,339
203133,Robbie Hummel,181.0,52.0,233.0,340
2571,Leandro Barbosa,150.0,80.0,230.0,341
203545,Miroslav Raduljica,181.0,49.0,230.0,341
202388,Donald Sloan,110.0,117.0,227.0,343
201957,Byron Mullens,189.0,36.0,225.0,344
203539,Gal Mekel,73.0,151.0,224.0,345
101179,Ronnie Price,74.0,143.0,217.0,346
202327,Ekpe Udoh,144.0,73.0,217.0,346
202705,MarShon Brooks,159.0,58.0,217.0,346
2400,Drew Gooden,183.0,33.0,216.0,349
202336,Larry Sanders,178.0,38.0,216.0,349
101236,Chuck Hayes,132.0,83.0,215.0,351
200779,Steve Novak,178.0,32.0,210.0,352
101142,Ronny Turiaf,149.0,59.0,208.0,353
203561,Brandon Davies,144.0,64.0,208.0,353
202721,Darius Morris,107.0,100.0,207.0,355
201953,Eric Maynor,82.0,124.0,206.0,356
2617,Udonis Haslem,173.0,32.0,205.0,357
203543,Vitor Faverani,164.0,36.0,200.0,358
203142,Chris Copeland,153.0,43.0,196.0,359
201961,Wayne Ellington,145.0,45.0,190.0,360
2045,Hedo Turkoglu,115.0,74.0,189.0,361
1897,Metta World Peace,139.0,43.0,182.0,362
202970,Gustavo Ayon,112.0,65.0,177.0,363
2446,Rasual Butler,136.0,39.0,175.0,364
203116,Tyshawn Taylor,89.0,86.0,175.0,364
1737,Nazr Mohammed,124.0,46.0,170.0,366
202719,Jeremy Tyler,146.0,21.0,167.0,367
977,Kobe Bryant,83.0,83.0,166.0,368
1497,Chauncey Billups,72.0,94.0,166.0,368
203485,Lorenzo Brown,64.0,96.0,160.0,370
200797,Ryan Hollins,141.0,18.0,159.0,371
203498,Shabazz Muhammad,143.0,15.0,158.0,372
203477,Isaiah Canaan,101.0,53.0,154.0,373
203111,Orlando Johnson,100.0,51.0,151.0,374
2732,Ben Gordon,99.0,47.0,146.0,375
203493,Reggie Bullock,115.0,27.0,142.0,376
203086,Meyers Leonard,98.0,43.0,141.0,377
202347,Quincy Pondexter,94.0,43.0,137.0,378
203491,Peyton Siva,54.0,83.0,137.0,378
201575,Brandon Rush,79.0,56.0,135.0,380
202363,Jarvis Varnado,99.0,34.0,133.0,381
203268,Jorge Gutierrez,62.0,70.0,132.0,382
101131,Jason Maxiell,109.0,20.0,129.0,383
202725,Josh Harrellson,93.0,33.0,126.0,384
202332,Cole Aldrich,92.0,33.0,125.0,385
