PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
203922,Glenn Robinson III,171,171.0,26,26.0,0.0,0.0,both
203923,James Young,29,29.0,9,9.0,0.0,0.0,both
203924,Jerami Grant,749,749.0,135,135.0,0.0,0.0,both
203925,Joe Harris,3,3.0,2,2.0,0.0,0.0,both
203926,Doug McDermott,764,764.0,59,59.0,0.0,0.0,both
203928,Cory Jefferson,22,22.0,0,,0.0,0.0,both
203930,Sean Kilpatrick,345,345.0,29,29.0,0.0,0.0,both
203932,Aaron Gordon,719,719.0,128,128.0,0.0,0.0,both
203933,T.J. Warren,515,515.0,44,44.0,0.0,0.0,both
203934,Lamar Patterson,84,84.0,39,39.0,0.0,0.0,both
203935,Marcus Smart,558,558.0,185,185.0,0.0,0.0,both
203937,Kyle Anderson,350,350.0,123,123.0,0.0,0.0,both
203939,Dwight Powell,399,399.0,44,44.0,0.0,0.0,both
203940,Adreian Payne,132,132.0,29,29.0,0.0,0.0,both
203943,Noah Vonleh,283,283.0,30,30.0,0.0,0.0,both
203944,Julius Randle,919,919.0,144,144.0,0.0,0.0,both
203946,Cameron Bairstow,34,34.0,6,6.0,0.0,0.0,both
203948,Johnny O'Bryant III,200,200.0,32,32.0,0.0,0.0,both
203949,James Michael McAdoo,117,117.0,17,17.0,0.0,0.0,both
203950,Jarnell Stokes,7,7.0,1,1.0,0.0,0.0,both
203951,Keith Appling,6,6.0,1,1.0,0.0,0.0,both
203952,Andrew Wiggins,1675,1675.0,164,164.0,0.0,0.0,both
203953,Jabari Parker,1070,1070.0,130,130.0,0.0,0.0,both
203955,Bryce Cotton,8,8.0,3,3.0,0.0,0.0,both
203956,Mitch McGary,26,26.0,3,3.0,0.0,0.0,both
203960,JaKarr Sampson,374,374.0,46,46.0,0.0,0.0,both
203961,Eric Moreland,8,8.0,1,1.0,0.0,0.0,both
203962,Josh Huestis,14,14.0,0,,0.0,0.0,both
203963,Shayne Whittington,11,11.0,3,3.0,0.0,0.0,both
203991,Clint Capela,542,542.0,47,47.0,0.0,0.0,both
203994,Jusuf Nurkić,263,263.0,40,40.0,0.0,0.0,both
203996,Damien Inglis,36,36.0,10,10.0,0.0,0.0,both
203998,Bruno Caboclo,3,3.0,1,1.0,0.0,0.0,both
203999,Nikola Jokić,796,796.0,189,189.0,0.0,0.0,both
204001,Kristaps Porziņģis,1028,1028.0,94,94.0,0.0,0.0,both
204002,Edy Tavares,25,25.0,3,3.0,0.0,0.0,both
204014,Damjan Rudez,75,75.0,11,11.0,0.0,0.0,both
204020,Tyler Johnson,314,314.0,79,79.0,0.0,0.0,both
204025,Tim Frazier,261,261.0,162,162.0,0.0,0.0,both
204028,Tarik Black,133,133.0,16,16.0,0.0,0.0,both
204038,Langston Galloway,625,625.0,207,207.0,0.0,0.0,both
204060,Joe Ingles,342,342.0,96,96.0,0.0,0.0,both
204067,Jarell Eddie,63,63.0,5,5.0,0.0,0.0,both
204098,Xavier Munford,80,80.0,22,22.0,0.0,0.0,both
204456,T.J. McConnell,493,493.0,367,367.0,0.0,0.0,both
1626143,Jahlil Okafor,928,928.0,65,65.0,0.0,0.0,both
1626144,Emmanuel Mudiay,872,872.0,372,372.0,0.0,0.0,both
1626145,Tyus Jones,156,156.0,108,108.0,0.0,0.0,both
1626146,Cliff Alexander,10,10.0,0,,0.0,0.0,both
1626147,Justin Anderson,208,208.0,29,29.0,0.0,0.0,both
1626148,Anthony Brown,115,115.0,19,19.0,0.0,0.0,both
1626149,Montrezl Harrell,140,140.0,17,17.0,0.0,0.0,both
1626151,Aaron Harrison,18,18.0,2,2.0,0.0,0.0,both
1626153,Delon Wright,103,103.0,31,31.0,0.0,0.0,both
1626154,RJ Hunter,97,97.0,13,13.0,0.0,0.0,both
1626155,Sam Dekker,0,,0,,0.0,0.0,both
1626156,D'Angelo Russell,1054,1054.0,266,266.0,0.0,0.0,both
1626157,Karl-Anthony Towns,1503,1503.0,161,161.0,0.0,0.0,both
1626158,Richaun Holmes,287,287.0,33,33.0,0.0,0.0,both
1626159,Justise Winslow,502,502.0,118,118.0,0.0,0.0,both
1626161,Willie Cauley-Stein,463,463.0,37,37.0,0.0,0.0,both
1626162,Kelly Oubre Jr.,236,236.0,13,13.0,0.0,0.0,both
1626163,Frank Kaminsky,606,606.0,98,98.0,0.0,0.0,both
1626164,Devin Booker,1048,1048.0,200,200.0,0.0,0.0,both
1626166,Cameron Payne,283,283.0,108,108.0,0.0,0.0,both
1626167,Myles Turner,619,619.0,41,41.0,0.0,0.0,both
1626168,Trey Lyles,488,488.0,59,59.0,0.0,0.0,both
1626169,Stanley Johnson,593,593.0,118,118.0,0.0,0.0,both
1626170,Jerian Grant,426,426.0,177,177.0,0.0,0.0,both
1626171,Bobby Portis Jr.,436,436.0,52,52.0,0.0,0.0,both
1626172,Kevon Looney,9,9.0,0,,0.0,0.0,both
1626173,Rashad Vaughn,217,217.0,39,39.0,0.0,0.0,both
1626174,Christian Wood,61,61.0,3,3.0,0.0,0.0,both
1626175,Jordan Mickey,21,21.0,1,1.0,0.0,0.0,both
1626176,Rakeem Christmas,4,4.0,0,,0.0,0.0,both
1626178,Rondae Hollis-Jefferson,167,167.0,43,43.0,0.0,0.0,both
1626179,Terry Rozier,72,72.0,37,37.0,0.0,0.0,both
1626181,Norman Powell,273,273.0,47,47.0,0.0,0.0,both
1626183,Branden Dawson,5,5.0,0,,0.0,0.0,both
1626185,Jarell Martin,153,153.0,15,15.0,0.0,0.0,both
1626191,Chris McCullough,112,112.0,9,9.0,0.0,0.0,both
1626192,Pat Connaughton,36,36.0,10,10.0,0.0,0.0,both
1626196,Josh Richardson,341,341.0,73,73.0,0.0,0.0,both
1626199,Darrun Hilliard,152,152.0,27,27.0,0.0,0.0,both
1626202,Joe Young,154,154.0,65,65.0,0.0,0.0,both
1626204,Larry Nance Jr.,349,349.0,44,44.0,0.0,0.0,both
1626209,Mario Hezonja,478,478.0,109,109.0,0.0,0.0,both
1626210,Alan Williams,29,29.0,5,5.0,0.0,0.0,both
1626214,Bryce Dejean-Jones,79,79.0,15,15.0,0.0,0.0,both
1626242,Luis Montero,14,14.0,1,1.0,0.0,0.0,both
1626245,Cristiano Felicio,105,105.0,26,26.0,0.0,0.0,both
1626246,Boban Marjanovic,297,297.0,21,21.0,0.0,0.0,both
1626251,Duje Dukan,6,6.0,1,1.0,0.0,0.0,both
1626253,Axel Toupane,76,76.0,15,15.0,0.0,0.0,both
1626257,Salah Mejri,125,125.0,10,10.0,0.0,0.0,both
1626262,Coty Clarke,6,6.0,0,,0.0,0.0,both
1626266,JJ O'Brien,0,,0,,0.0,0.0,both
1626273,Marcelo Huertas,237,237.0,182,182.0,0.0,0.0,both
1627293,Alex Stepheson,22,22.0,2,2.0,0.0,0.0,both
1627362,Briante Weber,31,31.0,21,21.0,0.0,0.0,both
