PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
708,Kevin Garnett,352,352.0,82,82.0,0.0,0.0,both
951,Ray Allen,701,701.0,143,143.0,0.0,0.0,both
959,Steve Nash,102,102.0,86,86.0,0.0,0.0,both
965,Derek Fisher,425,425.0,117,117.0,0.0,0.0,both
977,Kobe Bryant,83,83.0,38,38.0,0.0,0.0,both
979,Jermaine O'Neal,349,349.0,25,25.0,0.0,0.0,both
1495,Tim Duncan,1119,1119.0,220,220.0,0.0,0.0,both
1497,Chauncey Billups,72,72.0,42,42.0,0.0,0.0,both
1536,Stephen Jackson,15,15.0,5,5.0,0.0,0.0,both
1712,Antawn Jamison,84,84.0,7,7.0,0.0,0.0,both
1713,Vince Carter,967,967.0,212,212.0,0.0,0.0,both
1717,Dirk Nowitzki,1735,1735.0,216,216.0,0.0,0.0,both
1718,Paul Pierce,1010,1010.0,178,178.0,0.0,0.0,both
1733,Al Harrington,225,225.0,28,28.0,0.0,0.0,both
1737,Nazr Mohammed,124,124.0,20,20.0,0.0,0.0,both
1740,Rashard Lewis,268,268.0,57,57.0,0.0,0.0,both
1882,Elton Brand,419,419.0,74,74.0,0.0,0.0,both
1889,Andre Miller,283,283.0,197,197.0,0.0,0.0,both
1890,Shawn Marion,791,791.0,124,124.0,0.0,0.0,both
1891,Jason Terry,159,159.0,56,56.0,0.0,0.0,both
1897,Metta World Peace,139,139.0,17,17.0,0.0,0.0,both
1905,Andrei Kirilenko,226,226.0,72,72.0,0.0,0.0,both
1938,Manu Ginobili,838,838.0,293,293.0,0.0,0.0,both
2030,Kenyon Martin,137,137.0,50,50.0,0.0,0.0,both
2034,Mike Miller,579,579.0,130,130.0,0.0,0.0,both
2037,Jamal Crawford,1282,1282.0,223,223.0,0.0,0.0,both
2045,Hedo Turkoglu,115,115.0,33,33.0,0.0,0.0,both
2199,Tyson Chandler,480,480.0,59,59.0,0.0,0.0,both
2200,Pau Gasol,1041,1041.0,201,201.0,0.0,0.0,both
2203,Shane Battier,298,298.0,63,63.0,0.0,0.0,both
2207,Joe Johnson,1245,1245.0,216,216.0,0.0,0.0,both
2210,Richard Jefferson,831,831.0,130,130.0,0.0,0.0,both
2215,Jason Collins,25,25.0,4,4.0,0.0,0.0,both
2216,Zach Randolph,1372,1372.0,200,200.0,0.0,0.0,both
2222,Gerald Wallace,298,298.0,143,143.0,0.0,0.0,both
2223,Samuel Dalembert,529,529.0,38,38.0,0.0,0.0,both
2224,Jamaal Tinsley,9,9.0,23,23.0,0.0,0.0,both
2225,Tony Parker,1134,1134.0,388,388.0,0.0,0.0,both
2229,Mike James,11,11.0,17,17.0,0.0,0.0,both
2248,Earl Watson,12,12.0,28,28.0,0.0,0.0,both
2365,Chris Andersen,477,477.0,19,19.0,0.0,0.0,both
2399,Mike Dunleavy,929,929.0,186,186.0,0.0,0.0,both
2400,Drew Gooden,183,183.0,15,15.0,0.0,0.0,both
2403,Nene,754,754.0,153,153.0,0.0,0.0,both
2405,Amar'e Stoudemire,772,772.0,34,34.0,0.0,0.0,both
2406,Caron Butler,587,587.0,82,82.0,0.0,0.0,both
2408,Melvin Ely,6,6.0,0,,0.0,0.0,both
2419,Tayshaun Prince,454,454.0,119,119.0,0.0,0.0,both
2422,John Salmons,403,403.0,147,147.0,0.0,0.0,both
2427,Roger Mason Jr.,74,74.0,19,19.0,0.0,0.0,both
2430,Carlos Boozer,1042,1042.0,118,118.0,0.0,0.0,both
2440,Matt Barnes,625,625.0,125,125.0,0.0,0.0,both
2446,Rasual Butler,136,136.0,17,17.0,0.0,0.0,both
2449,Luis Scola,626,626.0,81,81.0,0.0,0.0,both
2457,Jannero Pargo,136,136.0,52,52.0,0.0,0.0,both
2501,Reggie Evans,214,214.0,21,21.0,0.0,0.0,both
2544,LeBron James,2089,2089.0,488,488.0,0.0,0.0,both
2546,Carmelo Anthony,2112,2112.0,242,242.0,0.0,0.0,both
2547,Chris Bosh,1281,1281.0,87,87.0,0.0,0.0,both
2548,Dwyane Wade,1028,1028.0,252,252.0,0.0,0.0,both
2549,Chris Kaman,404,404.0,58,58.0,0.0,0.0,both
2550,Kirk Hinrich,666,666.0,286,286.0,0.0,0.0,both
2555,Nick Collison,338,338.0,104,104.0,0.0,0.0,both
2557,Luke Ridnour,306,306.0,176,176.0,0.0,0.0,both
2561,David West,1118,1118.0,223,223.0,0.0,0.0,both
2564,Boris Diaw,717,717.0,222,222.0,0.0,0.0,both
2566,Travis Outlaw,343,343.0,48,48.0,0.0,0.0,both
2570,Kendrick Perkins,211,211.0,67,67.0,0.0,0.0,both
2571,Leandro Barbosa,150,150.0,32,32.0,0.0,0.0,both
2581,Steve Blake,378,378.0,307,307.0,0.0,0.0,both
2584,Willie Green,273,273.0,50,50.0,0.0,0.0,both
2585,Zaza Pachulia,408,408.0,136,136.0,0.0,0.0,both
2586,Keith Bogans,12,12.0,3,3.0,0.0,0.0,both
2588,Matt Bonner,197,197.0,31,31.0,0.0,0.0,both
2590,Mo Williams,721,721.0,321,321.0,0.0,0.0,both
2592,James Jones,97,97.0,9,9.0,0.0,0.0,both
2594,Kyle Korver,850,850.0,208,208.0,0.0,0.0,both
2617,Udonis Haslem,173,173.0,13,13.0,0.0,0.0,both
2694,Josh Powell,4,4.0,0,,0.0,0.0,both
2730,Dwight Howard,1297,1297.0,131,131.0,0.0,0.0,both
2732,Ben Gordon,99,99.0,21,21.0,0.0,0.0,both
2733,Shaun Livingston,629,629.0,245,245.0,0.0,0.0,both
2734,Devin Harris,315,315.0,178,178.0,0.0,0.0,both
2735,Josh Childress,0,,2,2.0,0.0,0.0,both
2736,Luol Deng,1011,1011.0,183,183.0,0.0,0.0,both
2738,Andre Iguodala,588,588.0,263,263.0,0.0,0.0,both
2740,Andris Biedrins,3,3.0,0,,0.0,0.0,both
2743,Kris Humphries,579,579.0,67,67.0,0.0,0.0,both
2744,Al Jefferson,1594,1594.0,155,155.0,0.0,0.0,both
2746,Josh Smith,1264,1264.0,252,252.0,0.0,0.0,both
2747,JR Smith,1071,1071.0,219,219.0,0.0,0.0,both
2748,Dorell Wright,343,343.0,64,64.0,0.0,0.0,both
2749,Jameer Nelson,820,820.0,476,476.0,0.0,0.0,both
2754,Tony Allen,495,495.0,94,94.0,0.0,0.0,both
2755,Kevin Martin,1298,1298.0,121,121.0,0.0,0.0,both
2756,Sasha Vujacic,5,5.0,0,,0.0,0.0,both
2757,Beno Udrih,200,200.0,116,116.0,0.0,0.0,both
2760,Anderson Varejao,546,546.0,140,140.0,0.0,0.0,both
2767,Royal Ivey,0,,0,,0.0,0.0,both
2772,Trevor Ariza,1107,1107.0,191,191.0,0.0,0.0,both
101106,Andrew Bogut,492,492.0,112,112.0,0.0,0.0,both
101107,Marvin Williams,603,603.0,78,78.0,0.0,0.0,both
101108,Chris Paul,1185,1185.0,663,663.0,0.0,0.0,both
101109,Raymond Felton,630,630.0,365,365.0,0.0,0.0,both
101110,Martell Webster,759,759.0,97,97.0,0.0,0.0,both
101111,Charlie Villanueva,92,92.0,6,6.0,0.0,0.0,both
101112,Channing Frye,910,910.0,98,98.0,0.0,0.0,both
101114,Deron Williams,915,915.0,392,392.0,0.0,0.0,both
101115,Andrew Bynum,225,225.0,29,29.0,0.0,0.0,both
101122,Danny Granger,338,338.0,41,41.0,0.0,0.0,both
101123,Gerald Green,1295,1295.0,122,122.0,0.0,0.0,both
101126,Nate Robinson,457,457.0,112,112.0,0.0,0.0,both
101127,Jarrett Jack,760,760.0,324,324.0,0.0,0.0,both
101128,Francisco Garcia,315,315.0,63,63.0,0.0,0.0,both
101131,Jason Maxiell,109,109.0,9,9.0,0.0,0.0,both
101133,Ian Mahinmi,272,272.0,24,24.0,0.0,0.0,both
101135,David Lee,1257,1257.0,147,147.0,0.0,0.0,both
101138,Brandon Bass,911,911.0,87,87.0,0.0,0.0,both
101139,CJ Miles,503,503.0,52,52.0,0.0,0.0,both
101141,Ersan Ilyasova,618,618.0,72,72.0,0.0,0.0,both
101142,Ronny Turiaf,149,149.0,24,24.0,0.0,0.0,both
101145,Monta Ellis,1560,1560.0,471,471.0,0.0,0.0,both
101150,Lou Williams,625,625.0,210,210.0,0.0,0.0,both
101154,Andray Blatche,821,821.0,112,112.0,0.0,0.0,both
101155,Ryan Gomes,6,6.0,1,1.0,0.0,0.0,both
101161,Amir Johnson,799,799.0,115,115.0,0.0,0.0,both
101162,Marcin Gortat,1068,1068.0,138,138.0,0.0,0.0,both
101179,Ronnie Price,74,74.0,66,66.0,0.0,0.0,both
101181,Jose Calderon,925,925.0,377,377.0,0.0,0.0,both
101183,Shavlik Randolph,20,20.0,1,1.0,0.0,0.0,both
101187,Alan Anderson,564,564.0,81,81.0,0.0,0.0,both
101198,Will Bynum,485,485.0,216,216.0,0.0,0.0,both
101236,Chuck Hayes,132,132.0,35,35.0,0.0,0.0,both
101249,John Lucas III,159,159.0,42,42.0,0.0,0.0,both
200745,Andrea Bargnani,558,558.0,45,45.0,0.0,0.0,both
200746,LaMarcus Aldridge,1603,1603.0,178,178.0,0.0,0.0,both
200751,Randy Foye,1068,1068.0,287,287.0,0.0,0.0,both
200752,Rudy Gay,1457,1457.0,209,209.0,0.0,0.0,both
200755,JJ Redick,532,532.0,78,78.0,0.0,0.0,both
200756,Hilton Armstrong,25,25.0,5,5.0,0.0,0.0,both
200757,Thabo Sefolosha,383,383.0,94,94.0,0.0,0.0,both
200758,Ronnie Brewer,7,7.0,10,10.0,0.0,0.0,both
200761,Shawne Williams,202,202.0,30,30.0,0.0,0.0,both
200765,Rajon Rondo,350,350.0,294,294.0,0.0,0.0,both
200768,Kyle Lowry,1417,1417.0,586,586.0,0.0,0.0,both
200769,Shannon Brown,63,63.0,9,9.0,0.0,0.0,both
200770,Jordan Farmar,416,416.0,199,199.0,0.0,0.0,both
200777,Joel Freeland,174,174.0,36,36.0,0.0,0.0,both
