EntityId,Name,Points,AssistPoints,created,rank
977,Kobe Bryant,2461.0,1065.0,3526.0,1
1503,Tracy McGrady,2407.0,943.0,3350.0,2
950,Stephon Marbury,1806.0,1485.0,3291.0,3
947,Allen Iverson,2262.0,948.0,3210.0,4
56,Gary Payton,1634.0,1467.0,3101.0,5
467,Jason Kidd,1495.0,1505.0,3000.0,6
708,Kevin Garnett,1883.0,1065.0,2948.0,7
1718,Paul Pierce,2048.0,856.0,2904.0,8
1883,Steve Francis,1703.0,1141.0,2844.0,9
959,Steve Nash,1457.0,1353.0,2810.0,10
469,Jamal Mashburn,1772.0,1009.0,2781.0,11
1891,Jason Terry,1395.0,1290.0,2685.0,12
147,Jalen Rose,1816.0,857.0,2673.0,13
2240,Gilbert Arenas,1497.0,1112.0,2609.0,14
1495,Tim Duncan,1884.0,709.0,2593.0,15
1729,Ricky Davis,1626.0,940.0,2566.0,16
1717,Dirk Nowitzki,2011.0,538.0,2549.0,17
208,Sam Cassell,1536.0,996.0,2532.0,18
951,Ray Allen,1713.0,771.0,2484.0,19
252,Karl Malone,1667.0,778.0,2445.0,20
952,Antoine Walker,1570.0,860.0,2430.0,21
185,Chris Webber,1542.0,818.0,2360.0,22
275,Allan Houston,1845.0,489.0,2334.0,23
893,Michael Jordan,1640.0,674.0,2314.0,24
1715,Jason Williams,919.0,1392.0,2311.0,25
406,Shaquille O'Neal,1841.0,470.0,2311.0,25
1889,Andre Miller,1088.0,1169.0,2257.0,27
2225,Tony Parker,1269.0,966.0,2235.0,28
727,Eric Snow,1054.0,1171.0,2225.0,29
304,John Stockton,884.0,1313.0,2197.0,30
711,Jerry Stackhouse,1508.0,673.0,2181.0,31
1712,Antawn Jamison,1822.0,351.0,2173.0,32
949,Shareef Abdur-Rahim,1608.0,555.0,2163.0,33
1890,Shawn Marion,1716.0,424.0,2140.0,34
1888,Richard Hamilton,1612.0,470.0,2082.0,35
2200,Pau Gasol,1555.0,523.0,2078.0,36
1607,Troy Hudson,1123.0,949.0,2072.0,37
84,Latrell Sprewell,1215.0,764.0,1979.0,38
1541,Alvin Williams,1027.0,919.0,1946.0,39
979,Jermaine O'Neal,1600.0,331.0,1931.0,40
436,Juwan Howard,1418.0,505.0,1923.0,41
299,Glenn Robinson,1436.0,462.0,1898.0,42
2202,Jason Richardson,1282.0,543.0,1825.0,43
1497,Chauncey Billups,1199.0,619.0,1818.0,44
714,Michael Finley,1331.0,482.0,1813.0,45
1507,Derek Anderson,1057.0,708.0,1765.0,46
133,David Wesley,1217.0,545.0,1762.0,47
1749,Cuttino Mobley,1280.0,473.0,1753.0,48
2224,Jamaal Tinsley,566.0,1176.0,1742.0,49
458,Howard Eisley,744.0,995.0,1739.0,50
978,Peja Stojakovic,1380.0,317.0,1697.0,51
2210,Richard Jefferson,1242.0,451.0,1693.0,52
1740,Rashard Lewis,1396.0,296.0,1692.0,53
2030,Kenyon Martin,1283.0,403.0,1686.0,54
739,Rasheed Wallace,1340.0,328.0,1668.0,55
980,Zydrunas Ilgauskas,1390.0,277.0,1667.0,56
2406,Caron Butler,1201.0,462.0,1663.0,57
1719,Bonzi Wells,1138.0,525.0,1663.0,57
1723,Matt Harpring,1370.0,277.0,1647.0,59
89,Nick Van Exel,910.0,726.0,1636.0,60
699,Brent Barry,774.0,845.0,1619.0,61
361,Clifford Robinson,992.0,610.0,1602.0,62
2037,Jamal Crawford,858.0,715.0,1573.0,63
57,Doug Christie,748.0,814.0,1562.0,64
2050,Morris Peterson,1153.0,408.0,1561.0,65
1884,Baron Davis,856.0,700.0,1556.0,66
965,Derek Fisher,863.0,669.0,1532.0,67
2046,Desmond Mason,1147.0,380.0,1527.0,68
703,Kurt Thomas,1134.0,381.0,1515.0,69
1882,Elton Brand,1146.0,367.0,1513.0,70
353,Darrell Armstrong,769.0,740.0,1509.0,71
2072,Michael Redd,1241.0,267.0,1508.0,72
1897,Metta World Peace,1068.0,438.0,1506.0,73
1710,Mike Bibby,875.0,611.0,1486.0,74
2398,Jay Williams,714.0,748.0,1462.0,75
2397,Yao Ming,1104.0,310.0,1414.0,76
124,Vlade Divac,795.0,609.0,1404.0,77
2034,Mike Miller,1011.0,381.0,1392.0,78
1496,Keith Van Horn,1176.0,196.0,1372.0,79
1802,Brad Miller,955.0,412.0,1367.0,80
1536,Stephen Jackson,946.0,401.0,1347.0,81
923,Donyell Marshall,1042.0,295.0,1337.0,82
1894,Corey Maggette,1073.0,263.0,1336.0,83
243,Aaron McKie,721.0,596.0,1317.0,84
937,Scottie Pippen,689.0,625.0,1314.0,85
1501,Tim Thomas,1066.0,238.0,1304.0,86
1899,James Posey,893.0,403.0,1296.0,87
1517,Bobby Jackson,895.0,396.0,1291.0,88
1733,Al Harrington,1002.0,286.0,1288.0,89
1716,Larry Hughes,857.0,429.0,1286.0,90
2405,Amar'e Stoudemire,1106.0,165.0,1271.0,91
2207,Joe Johnson,803.0,460.0,1263.0,92
1905,Andrei Kirilenko,963.0,293.0,1256.0,93
389,Toni Kukoc,730.0,522.0,1252.0,94
397,Reggie Miller,882.0,366.0,1248.0,95
224,Eddie Jones,869.0,376.0,1245.0,96
722,Corliss Williamson,987.0,254.0,1241.0,97
1921,Gordan Giricek,935.0,302.0,1237.0,98
1563,Kevin Ollie,534.0,699.0,1233.0,99
1742,Shammond Williams,627.0,601.0,1228.0,100
296,Rick Fox,681.0,539.0,1220.0,101
954,Kerry Kittles,848.0,372.0,1220.0,101
702,Voshon Lenard,898.0,320.0,1218.0,103
1713,Vince Carter,884.0,321.0,1205.0,104
1887,Wally Szczerbiak,913.0,291.0,1204.0,105
1731,Tyronn Lue,647.0,556.0,1203.0,106
349,Mark Jackson,382.0,789.0,1171.0,107
696,Travis Best,603.0,566.0,1169.0,108
2211,Troy Murphy,923.0,239.0,1162.0,109
136,P.J. Brown,832.0,327.0,1159.0,110
2403,Nene,839.0,319.0,1158.0,111
369,Charlie Ward,472.0,684.0,1156.0,112
2229,Mike James,607.0,542.0,1149.0,113
1727,Pat Garrity,868.0,277.0,1145.0,114
324,Anthony Peeler,630.0,512.0,1142.0,115
363,Christian Laettner,632.0,506.0,1138.0,116
446,Lucious Harris,795.0,340.0,1135.0,117
358,Anfernee Hardaway,615.0,497.0,1112.0,118
1725,Rasho Nesterovic,861.0,244.0,1105.0,119
1885,Lamar Odom,714.0,382.0,1096.0,120
990,Malik Rose,822.0,273.0,1095.0,121
1863,Earl Boykins,600.0,495.0,1095.0,121
677,Eric Williams,746.0,330.0,1076.0,123
258,Brian Grant,846.0,225.0,1071.0,124
2400,Drew Gooden,875.0,181.0,1056.0,125
1901,Dion Glover,737.0,318.0,1055.0,126
384,Calbert Cheaney,700.0,343.0,1043.0,127
109,Robert Horry,522.0,519.0,1041.0,128
2048,Jamaal Magloire,841.0,197.0,1038.0,129
383,Kendall Gill,714.0,322.0,1036.0,130
2430,Carlos Boozer,810.0,224.0,1034.0,131
213,Antonio Davis,738.0,291.0,1029.0,132
1908,Jumaine Jones,784.0,238.0,1022.0,133
468,Jon Barry,555.0,458.0,1013.0,134
1521,Jacque Vaughn,473.0,529.0,1002.0,135
960,Tony Delk,654.0,344.0,998.0,136
2454,Junior Harrington,418.0,577.0,995.0,137
2032,Darius Miles,618.0,370.0,988.0,138
2203,Shane Battier,756.0,231.0,987.0,139
445,Wesley Person,727.0,252.0,979.0,140
953,Lorenzen Wright,797.0,179.0,976.0,141
1542,Predrag Drobnjak,771.0,198.0,969.0,142
1960,Milt Palacio,397.0,563.0,960.0,143
193,Anthony Mason,466.0,491.0,957.0,144
2209,Vladimir Radmanovic,724.0,213.0,937.0,145
2201,Eddy Curry,849.0,84.0,933.0,146
2248,Earl Watson,433.0,496.0,929.0,147
2060,Marko Jaric,490.0,433.0,923.0,148
2452,J.R. Bremer,528.0,392.0,920.0,149
1065,Erick Strickland,458.0,456.0,914.0,150
1903,Kenny Thomas,667.0,244.0,911.0,151
2402,Dajuan Wagner,629.0,280.0,909.0,152
2206,Rodney White,650.0,255.0,905.0,153
966,Jerome Williams,691.0,214.0,905.0,153
2124,Malik Allen,767.0,123.0,890.0,155
1000,Shandon Anderson,687.0,193.0,880.0,156
1739,Ruben Patterson,649.0,220.0,869.0,157
757,Damon Stoudamire,409.0,458.0,867.0,158
689,Theo Ratliff,706.0,159.0,865.0,159
1088,Chucky Atkins,462.0,395.0,857.0,160
2204,Eddie Griffin,664.0,193.0,857.0,160
2199,Tyson Chandler,691.0,162.0,853.0,162
1477,Bruce Bowen,583.0,266.0,849.0,163
1938,Manu Ginobili,525.0,307.0,832.0,164
2051,Donnell Harvey,611.0,211.0,822.0,165
1500,Ron Mercer,556.0,256.0,812.0,166
956,Erick Dampier,673.0,136.0,809.0,167
983,Moochie Norris,357.0,446.0,803.0,168
72,Kenny Anderson,372.0,428.0,800.0,169
976,Jeff McInnis,432.0,367.0,799.0,170
905,Dale Davis,579.0,217.0,796.0,171
682,Bob Sura,401.0,394.0,795.0,172
934,Derrick Coleman,602.0,183.0,785.0,173
1747,Rafer Alston,366.0,419.0,785.0,173
1956,Ira Newble,564.0,220.0,784.0,175
717,Arvydas Sabonis,476.0,303.0,779.0,176
393,Rod Strickland,320.0,455.0,775.0,177
1112,Ben Wallace,506.0,265.0,771.0,178
1711,Raef LaFrentz,639.0,120.0,759.0,179
754,Jim Jackson,487.0,272.0,759.0,179
15,Eric Piatkowski,601.0,154.0,755.0,181
2470,Smush Parker,408.0,345.0,753.0,182
962,Walter McCarty,498.0,249.0,747.0,183
2446,Rasual Butler,540.0,205.0,745.0,184
2031,Stromile Swift,647.0,96.0,743.0,185
2216,Zach Randolph,650.0,87.0,737.0,186
970,Othella Harrington,573.0,150.0,723.0,187
2198,Kwame Brown,593.0,125.0,718.0,188
1721,Keon Clark,536.0,179.0,715.0,189
915,Rodney Rogers,478.0,235.0,713.0,190
1510,Brevin Knight,216.0,494.0,710.0,191
1508,Maurice Taylor,562.0,142.0,704.0,192
1904,Devean George,492.0,209.0,701.0,193
255,Grant Hill,421.0,279.0,700.0,194
2042,Courtney Alexander,523.0,176.0,699.0,195
779,Glen Rice,556.0,141.0,697.0,196
2399,Mike Dunleavy,466.0,230.0,696.0,197
1425,Aaron Williams,500.0,192.0,692.0,198
2239,Trenton Hassell,342.0,343.0,685.0,199
764,David Robinson,546.0,132.0,678.0,200
2428,Vincent Yarbrough,406.0,270.0,676.0,201
221,Clar. Weatherspoon,521.0,154.0,675.0,202
2047,Quentin Richardson,552.0,117.0,669.0,203
2246,Mehmet Okur,494.0,173.0,667.0,204
43,Chris Whitney,355.0,307.0,662.0,205
762,Shawn Bradley,543.0,118.0,661.0,206
431,Shawn Kemp,537.0,121.0,658.0,207
1909,Scott Padgett,466.0,189.0,655.0,208
1761,Greg Buckner,450.0,205.0,655.0,208
2215,Jason Collins,460.0,185.0,645.0,210
2045,Hedo Turkoglu,447.0,196.0,643.0,211
718,Gary Trent,476.0,167.0,643.0,211
1853,Anthony Carter,199.0,439.0,638.0,213
448,Bo Outlaw,378.0,243.0,621.0,214
1499,Tony Battie,487.0,120.0,607.0,215
2067,Eddie House,411.0,190.0,601.0,216
2471,Mike Batiste,481.0,112.0,593.0,217
248,George Lynch,363.0,224.0,587.0,218
2217,Brendan Haywood,501.0,63.0,564.0,219
1559,Adrian Griffin,325.0,239.0,564.0,219
1709,Michael Olowokandi,441.0,118.0,559.0,221
731,Greg Ostertag,438.0,119.0,557.0,222
1741,Jelani McCoy,457.0,96.0,553.0,223
2033,Marcus Fizer,445.0,106.0,551.0,224
2039,Keyon Dooling,350.0,198.0,548.0,225
2418,Casey Jacobsen,368.0,162.0,530.0,226
1548,Mark Blount,401.0,124.0,525.0,227
1502,Adonal Foyle,440.0,76.0,516.0,228
120,Steven Smith,360.0,156.0,516.0,228
1944,Eddie Robinson,364.0,144.0,508.0,230
2401,Nikoloz Tskitishvili,315.0,192.0,507.0,231
1730,Brian Skinner,461.0,39.0,500.0,232
1005,Walt Williams,363.0,136.0,499.0,233
1531,Marc Jackson,421.0,78.0,499.0,233
1735,Vladimir Stepania,441.0,54.0,495.0,235
693,Joe Smith,404.0,84.0,488.0,236
2214,Michael Bradley,338.0,149.0,487.0,237
692,Andrew DeClercq,365.0,117.0,482.0,238
673,Alan Henderson,394.0,86.0,480.0,239
216,Brian Shaw,250.0,229.0,479.0,240
688,Michael Curry,236.0,240.0,476.0,241
935,Bryon Russell,315.0,157.0,472.0,242
70,Steve Kerr,299.0,159.0,458.0,243
1533,Anthony Johnson,270.0,186.0,456.0,244
922,Elden Campbell,343.0,112.0,455.0,245
399,Sean Rooks,297.0,151.0,448.0,246
283,Lindsey Hunter,280.0,159.0,439.0,247
1498,Antonio Daniels,251.0,187.0,438.0,248
1720,Michael Doleac,328.0,107.0,435.0,249
955,Samaki Walker,296.0,139.0,435.0,249
2059,Eduardo Najera,320.0,110.0,430.0,251
238,Tyrone Hill,312.0,90.0,402.0,252
1800,Damon Jones,224.0,176.0,400.0,253
1886,Jonathan Bender,303.0,88.0,391.0,254
679,Jason Caffey,295.0,85.0,380.0,255
2416,Kareem Rush,227.0,150.0,377.0,256
1509,Kelvin Cato,332.0,43.0,375.0,257
2365,Chris Andersen,305.0,69.0,374.0,258
1506,Austin Croshere,252.0,121.0,373.0,259
1714,Robert Traylor,268.0,103.0,371.0,260
278,Stacey Augmon,212.0,156.0,368.0,261
2036,Chris Mihm,308.0,60.0,368.0,261
2424,Dan Dickau,183.0,182.0,365.0,263
1952,Raja Bell,230.0,134.0,364.0,264
2052,DeShawn Stevenson,279.0,84.0,363.0,265
788,Kevin Willis,297.0,59.0,356.0,266
2049,Speedy Claxton,173.0,182.0,355.0,267
2413,Juan Dixon,270.0,84.0,354.0,268
2366,Mike Wilks,147.0,204.0,351.0,269
452,Vin Baker,270.0,73.0,343.0,270
