EntityId,Name,Points,AssistPoints,created,rank
201565,Derrick Rose,2026.0,1409.0,3435.0,1
2544,LeBron James,2111.0,1260.0,3371.0,2
201566,Russell Westbrook,1793.0,1476.0,3269.0,3
959,Steve Nash,1106.0,1948.0,3054.0,4
101108,Chris Paul,1268.0,1735.0,3003.0,5
101145,Monta Ellis,1929.0,1057.0,2986.0,6
977,Kobe Bryant,2078.0,871.0,2949.0,7
101114,Deron Williams,1309.0,1459.0,2768.0,8
2548,Dwyane Wade,1941.0,794.0,2735.0,9
201142,Kevin Durant,2161.0,476.0,2637.0,10
101109,Raymond Felton,1164.0,1440.0,2604.0,11
201933,Blake Griffin,1845.0,743.0,2588.0,12
2225,Tony Parker,1368.0,1192.0,2560.0,13
2546,Carmelo Anthony,1970.0,517.0,2487.0,14
2405,Amar'e Stoudemire,1971.0,491.0,2462.0,15
202322,John Wall,1131.0,1277.0,2408.0,16
200765,Rajon Rondo,721.0,1672.0,2393.0,17
201939,Stephen Curry,1373.0,960.0,2333.0,18
2755,Kevin Martin,1876.0,446.0,2322.0,19
201950,Jrue Holiday,1145.0,1159.0,2304.0,20
1889,Andre Miller,1029.0,1272.0,2301.0,21
1938,Manu Ginobili,1393.0,899.0,2292.0,22
201571,D.J. Augustin,1178.0,1114.0,2292.0,22
201144,Mike Conley,1107.0,1121.0,2228.0,24
200768,Kyle Lowry,1011.0,1172.0,2183.0,25
200746,LaMarcus Aldridge,1769.0,411.0,2180.0,26
2734,Devin Harris,1079.0,1100.0,2179.0,27
2200,Pau Gasol,1541.0,609.0,2150.0,28
1717,Dirk Nowitzki,1681.0,444.0,2125.0,29
467,Jason Kidd,630.0,1478.0,2108.0,30
2207,Joe Johnson,1312.0,780.0,2092.0,31
2749,Jameer Nelson,997.0,1085.0,2082.0,32
101122,Danny Granger,1622.0,458.0,2080.0,33
1497,Chauncey Billups,1208.0,871.0,2079.0,34
1718,Paul Pierce,1511.0,567.0,2078.0,35
2730,Dwight Howard,1784.0,271.0,2055.0,36
1891,Jason Terry,1293.0,762.0,2055.0,36
201196,Ramon Sessions,1075.0,945.0,2020.0,38
201954,Darren Collison,1039.0,949.0,1988.0,39
201572,Brook Lopez,1673.0,290.0,1963.0,40
2736,Luol Deng,1430.0,517.0,1947.0,41
101181,Jose Calderon,669.0,1276.0,1945.0,42
2757,Beno Udrih,1086.0,858.0,1944.0,43
2748,Dorell Wright,1344.0,578.0,1922.0,44
201155,Rodney Stuckey,1082.0,807.0,1889.0,45
2738,Andre Iguodala,945.0,937.0,1882.0,46
201567,Kevin Love,1476.0,401.0,1877.0,47
2216,Zach Randolph,1504.0,366.0,1870.0,48
2744,Al Jefferson,1528.0,338.0,1866.0,49
2746,Josh Smith,1274.0,577.0,1851.0,50
201951,Ty Lawson,933.0,893.0,1826.0,51
2449,Luis Scola,1352.0,446.0,1798.0,52
201143,Al Horford,1178.0,617.0,1795.0,53
201569,Eric Gordon,1247.0,546.0,1793.0,54
951,Ray Allen,1321.0,461.0,1782.0,55
1536,Stephen Jackson,1240.0,530.0,1770.0,56
2547,Chris Bosh,1438.0,331.0,1769.0,57
101135,David Lee,1203.0,562.0,1765.0,58
201563,Michael Beasley,1401.0,356.0,1757.0,59
201936,Tyreke Evans,1012.0,728.0,1740.0,60
201942,DeMar DeRozan,1410.0,329.0,1739.0,61
1885,Lamar Odom,1180.0,557.0,1737.0,62
200794,Paul Millsap,1315.0,421.0,1736.0,63
2557,Luke Ridnour,840.0,895.0,1735.0,64
201943,Brandon Jennings,1019.0,688.0,1707.0,65
2561,David West,1322.0,383.0,1705.0,66
200745,Andrea Bargnani,1414.0,275.0,1689.0,67
2045,Hedo Turkoglu,877.0,794.0,1671.0,68
202083,Wesley Matthews,1300.0,366.0,1666.0,69
2564,Boris Diaw,924.0,739.0,1663.0,70
2590,Mo Williams,812.0,840.0,1652.0,71
2422,John Salmons,1024.0,597.0,1621.0,72
1884,Baron Davis,760.0,857.0,1617.0,73
2037,Jamal Crawford,1077.0,534.0,1611.0,74
2202,Jason Richardson,1249.0,350.0,1599.0,75
202326,DeMarcus Cousins,1143.0,448.0,1591.0,76
2419,Tayshaun Prince,1098.0,487.0,1585.0,77
101150,Lou Williams,1027.0,538.0,1565.0,78
255,Grant Hill,1056.0,478.0,1534.0,79
200770,Jordan Farmar,701.0,799.0,1500.0,80
2222,Gerald Wallace,1113.0,385.0,1498.0,81
1882,Elton Brand,1217.0,272.0,1489.0,82
