season,player,bbr_rank,pbpstats_rank,difference
2000-01,Elton Brand,42.0,42,0.0
2002-03,Jalen Rose,13.0,13,0.0
2004-05,Kirk Hinrich,20.0,20,0.0
2005-06,Kirk Hinrich,22.0,22,0.0
2008-09,Derrick Rose,14.0,14,0.0
2008-09,Ben Gordon,21.0,21,0.0
2009-10,Derrick Rose,9.0,9,0.0
2010-11,Derrick Rose,1.0,1,0.0
2010-11,Luol Deng,41.0,41,0.0
2012-13,Nate Robinson,42.0,42,0.0
2013-14,Joakim Noah,32.0,32,0.0
2015-16,Jimmy Butler III,26.0,26,0.0
2015-16,Pau Gasol,38.0,38,0.0
