PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
87,Dikembe Mutombo,16,16.0,0,,0.0,0.0,both
255,Grant Hill,985,985.0,186,186.0,0.0,0.0,both
283,Lindsey Hunter,73,73.0,37,37.0,0.0,0.0,both
406,Shaquille O'Neal,1333,1333.0,126,126.0,0.0,0.0,both
436,Juwan Howard,173,173.0,26,26.0,0.0,0.0,both
467,Jason Kidd,731,731.0,702,702.0,0.0,0.0,both
686,Antonio McDyess,596,596.0,83,83.0,0.0,0.0,both
689,Theo Ratliff,89,89.0,9,9.0,0.0,0.0,both
693,Joe Smith,374,374.0,41,41.0,0.0,0.0,both
699,Brent Barry,208,208.0,78,78.0,0.0,0.0,both
703,Kurt Thomas,343,343.0,66,66.0,0.0,0.0,both
708,Kevin Garnett,899,899.0,144,144.0,0.0,0.0,both
711,Jerry Stackhouse,42,42.0,12,12.0,0.0,0.0,both
714,Michael Finley,784,784.0,114,114.0,0.0,0.0,both
739,Rasheed Wallace,795,795.0,91,91.0,0.0,0.0,both
923,Donyell Marshall,94,94.0,15,15.0,0.0,0.0,both
947,Allen Iverson,995,995.0,283,283.0,0.0,0.0,both
948,Marcus Camby,641,641.0,127,127.0,0.0,0.0,both
950,Stephon Marbury,88,88.0,75,75.0,0.0,0.0,both
951,Ray Allen,1434,1434.0,218,218.0,0.0,0.0,both
953,Lorenzen Wright,23,23.0,3,3.0,0.0,0.0,both
956,Erick Dampier,454,454.0,77,77.0,0.0,0.0,both
959,Steve Nash,1160,1160.0,717,717.0,0.0,0.0,both
965,Derek Fisher,814,814.0,261,261.0,0.0,0.0,both
977,Kobe Bryant,2201,2201.0,399,399.0,0.0,0.0,both
978,Peja Stojakovic,812,812.0,75,75.0,0.0,0.0,both
979,Jermaine O'Neal,905,905.0,122,122.0,0.0,0.0,both
980,Zydrunas Ilgauskas,838,838.0,64,64.0,0.0,0.0,both
990,Malik Rose,130,130.0,36,36.0,0.0,0.0,both
1088,Chucky Atkins,98,98.0,59,59.0,0.0,0.0,both
1112,Ben Wallace,165,165.0,44,44.0,0.0,0.0,both
1477,Bruce Bowen,214,214.0,40,40.0,0.0,0.0,both
1495,Tim Duncan,1450,1450.0,264,264.0,0.0,0.0,both
1497,Chauncey Billups,1400,1400.0,506,506.0,0.0,0.0,both
1498,Antonio Daniels,300,300.0,177,177.0,0.0,0.0,both
1499,Tony Battie,372,372.0,31,31.0,0.0,0.0,both
1501,Tim Thomas,545,545.0,68,68.0,0.0,0.0,both
1502,Adonal Foyle,17,17.0,1,1.0,0.0,0.0,both
1503,Tracy McGrady,545,545.0,175,175.0,0.0,0.0,both
1506,Austin Croshere,40,40.0,9,9.0,0.0,0.0,both
1510,Brevin Knight,180,180.0,190,190.0,0.0,0.0,both
1515,Anthony Parker,857,857.0,269,269.0,0.0,0.0,both
1517,Bobby Jackson,532,532.0,143,143.0,0.0,0.0,both
1521,Jacque Vaughn,65,65.0,55,55.0,0.0,0.0,both
1533,Anthony Johnson,421,421.0,200,200.0,0.0,0.0,both
1536,Stephen Jackson,1223,1223.0,381,381.0,0.0,0.0,both
1548,Mark Blount,79,79.0,4,4.0,0.0,0.0,both
1563,Kevin Ollie,202,202.0,117,117.0,0.0,0.0,both
1630,Mikki Moore,276,276.0,53,53.0,0.0,0.0,both
1710,Mike Bibby,1176,1176.0,392,392.0,0.0,0.0,both
1712,Antawn Jamison,1801,1801.0,153,153.0,0.0,0.0,both
1713,Vince Carter,1662,1662.0,376,376.0,0.0,0.0,both
1716,Larry Hughes,640,640.0,119,119.0,0.0,0.0,both
1717,Dirk Nowitzki,2094,2094.0,197,197.0,0.0,0.0,both
1718,Paul Pierce,1658,1659.0,294,294.0,1.0,0.0,both
1723,Matt Harpring,277,277.0,28,28.0,0.0,0.0,both
1725,Rasho Nesterovic,473,473.0,109,109.0,0.0,0.0,both
1729,Ricky Davis,232,232.0,82,82.0,0.0,0.0,both
1730,Brian Skinner,214,214.0,27,27.0,0.0,0.0,both
1731,Tyronn Lue,183,183.0,60,60.0,0.0,0.0,both
1733,Al Harrington,1469,1469.0,102,102.0,0.0,0.0,both
1737,Nazr Mohammed,104,104.0,8,8.0,0.0,0.0,both
1740,Rashard Lewis,1401,1401.0,205,205.0,0.0,0.0,both
1744,Jerome James,6,6.0,0,,0.0,0.0,both
1747,Rafer Alston,900,900.0,406,406.0,0.0,0.0,both
1749,Cuttino Mobley,151,151.0,12,12.0,0.0,0.0,both
1752,Sean Marks,192,192.0,14,14.0,0.0,0.0,both
1761,Greg Buckner,155,155.0,57,57.0,0.0,0.0,both
1763,Ryan Bowen,47,47.0,9,9.0,0.0,0.0,both
1766,Maceo Baston,67,67.0,7,7.0,0.0,0.0,both
1800,Damon Jones,33,33.0,7,7.0,0.0,0.0,both
1802,Brad Miller,831,831.0,234,234.0,0.0,0.0,both
1853,Anthony Carter,412,412.0,364,364.0,0.0,0.0,both
1882,Elton Brand,399,399.0,37,37.0,0.0,0.0,both
1884,Baron Davis,968,968.0,501,501.0,0.0,0.0,both
1885,Lamar Odom,885,885.0,204,204.0,0.0,0.0,both
1887,Wally Szczerbiak,517,517.0,82,82.0,0.0,0.0,both
1888,Richard Hamilton,1225,1225.0,297,297.0,0.0,0.0,both
1889,Andre Miller,1337,1337.0,534,534.0,0.0,0.0,both
1890,Shawn Marion,891,891.0,139,139.0,0.0,0.0,both
1891,Jason Terry,1447,1447.0,251,251.0,0.0,0.0,both
1894,Corey Maggette,950,950.0,92,92.0,0.0,0.0,both
1897,Metta World Peace,1181,1181.0,229,229.0,0.0,0.0,both
1899,James Posey,668,668.0,82,82.0,0.0,0.0,both
1902,Jeff Foster,452,452.0,130,130.0,0.0,0.0,both
1903,Kenny Thomas,6,6.0,1,1.0,0.0,0.0,both
1904,Devean George,147,147.0,15,15.0,0.0,0.0,both
1905,Andrei Kirilenko,776,776.0,175,175.0,0.0,0.0,both
1913,Michael Ruffin,6,6.0,0,,0.0,0.0,both
1916,Calvin Booth,16,16.0,0,,0.0,0.0,both
1922,Francisco Elson,200,200.0,32,32.0,0.0,0.0,both
1938,Manu Ginobili,683,683.0,157,157.0,0.0,0.0,both
1952,Raja Bell,799,799.0,142,142.0,0.0,0.0,both
2030,Kenyon Martin,769,769.0,132,132.0,0.0,0.0,both
2031,Stromile Swift,62,62.0,3,3.0,0.0,0.0,both
2032,Darius Miles,120,120.0,17,17.0,0.0,0.0,both
2034,Mike Miller,722,722.0,326,326.0,0.0,0.0,both
2036,Chris Mihm,36,36.0,10,10.0,0.0,0.0,both
