PLAYER_ID,PLAYER_NAME,season,GP,PTS,AST,pbp_ast,assist_pts,created,start,nba_rank,team_points,team_pct,created_per_game
147,Jalen Rose,2002-03,82,1816,395,395,857,2673,2002,13.0,7786.0,34.330850244027744,32.59756097560975
201565,Derrick Rose,2009-10,78,1619,469,469,1043,2662,2009,9.0,7993.0,33.30414112348305,34.12820512820513
201565,Derrick Rose,2008-09,81,1361,512,512,1160,2521,2008,14.0,8378.0,30.090713774170446,31.123456790123456
2550,Kirk Hinrich,2005-06,81,1284,514,514,1150,2434,2005,22.0,8020.0,30.34912718204489,30.049382716049383
2550,Kirk Hinrich,2006-07,80,1327,500,500,1088,2415,2006,15.0,8100.0,29.814814814814817,30.1875
2732,Ben Gordon,2006-07,82,1753,296,296,647,2400,2006,16.0,8100.0,29.629629629629626,29.26829268292683
2732,Ben Gordon,2008-09,82,1699,279,279,611,2310,2008,21.0,8378.0,27.572212938648843,28.170731707317074
2550,Kirk Hinrich,2004-05,77,1206,494,494,1103,2309,2004,20.0,7745.0,29.812782440284053,29.98701298701299
2037,Jamal Crawford,2003-04,80,1383,405,405,891,2274,2003,17.0,7355.0,30.917743031951055,28.425
1882,Elton Brand,2000-01,74,1490,240,240,543,2033,2000,42.0,7181.0,28.310820220025068,27.472972972972972
