player_id,player_name,season,gp,fgm,fga,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game,fg3m,fg3a_low,fg3a_high,raw_fg3a_missing,official_3pa_excess,fg3a,league_3p_pct_low,league_3p_pct_high,relative_3p_pp_high,league_3pa_per_game_high,relative_3pa_per_game_low
2430,Carlos Boozer,2013-14,76,0,2.0,0,0.0,37.5178138360377,-37.5178138360377,0.02631578947368421,0.0,1.5612850339604964,-1.5349692444868122,1.7572800374736512,-1.7572800374736512,0,2.0,2.0,False,0.0,2.0,37.51593789844746,37.5178138360377,-37.51593789844746,1.5613631040674525,-1.5350473145937682
201858,Cartier Martin,2013-14,6,3,5.0,9,60.0,37.5178138360377,22.482186163962297,0.8333333333333334,1.5,1.5612850339604964,-0.7279517006271631,1.7572800374736512,-0.25728003747365125,3,5.0,5.0,False,0.0,5.0,37.51593789844746,37.5178138360377,22.48406210155254,1.5613631040674525,-0.7280297707341191
201571,D.J. Augustin,2013-14,61,72,171.0,216,42.10526315789474,37.5178138360377,4.5874493218570365,2.80327868852459,3.540983606557377,1.5612850339604964,1.2419936545640935,1.7572800374736512,1.7837035690837257,72,171.0,171.0,False,0.0,171.0,37.51593789844746,37.5178138360377,4.589325259447278,1.5613631040674525,1.2419155844571375
201565,Derrick Rose,2013-14,10,12,28.0,36,42.857142857142854,37.5178138360377,5.339329021105151,2.8,3.6,1.5612850339604964,1.2387149660395034,1.7572800374736512,1.8427199625263488,12,28.0,28.0,False,0.0,28.0,37.51593789844746,37.5178138360377,5.341204958695393,1.5613631040674525,1.2386368959325473
203513,Erik Murphy,2013-14,24,0,3.0,0,0.0,37.5178138360377,-37.5178138360377,0.125,0.0,1.5612850339604964,-1.4362850339604964,1.7572800374736512,-1.7572800374736512,0,3.0,3.0,False,0.0,3.0,37.51593789844746,37.5178138360377,-37.51593789844746,1.5613631040674525,-1.4363631040674525
202363,Jarvis Varnado,2013-14,1,0,0.0,0,,37.5178138360377,,0.0,0.0,1.5612850339604964,-1.5612850339604964,1.7572800374736512,-1.7572800374736512,0,0.0,0.0,True,,0.0,37.51593789844746,37.5178138360377,,1.5613631040674525,-1.5613631040674525
202690,Jimmer Fredette,2013-14,8,3,7.0,9,42.857142857142854,37.5178138360377,5.339329021105151,0.875,1.125,1.5612850339604964,-0.6862850339604964,1.7572800374736512,-0.6322800374736512,3,7.0,7.0,False,0.0,7.0,37.51593789844746,37.5178138360377,5.341204958695393,1.5613631040674525,-0.6863631040674525
202710,Jimmy Butler,2013-14,67,64,207.0,192,30.917874396135264,37.5178138360377,-6.599939439902439,3.08955223880597,2.8656716417910446,1.5612850339604964,1.5282672048454735,1.7572800374736512,1.1083916043173934,64,207.0,207.0,False,0.0,207.0,37.51593789844746,37.5178138360377,-6.598063502312197,1.5613631040674525,1.5281891347385175
201149,Joakim Noah,2013-14,80,0,1.0,0,0.0,37.5178138360377,-37.5178138360377,0.0125,0.0,1.5612850339604964,-1.5487850339604965,1.7572800374736512,-1.7572800374736512,0,1.0,1.0,False,0.0,1.0,37.51593789844746,37.5178138360377,-37.51593789844746,1.5613631040674525,-1.5488631040674525
2550,Kirk Hinrich,2013-14,73,67,178.0,201,37.640449438202246,37.5178138360377,0.12263560216454295,2.4383561643835616,2.7534246575342465,1.5612850339604964,0.8770711304230652,1.7572800374736512,0.9961446200605952,67,178.0,178.0,False,0.0,178.0,37.51593789844746,37.5178138360377,0.1245115397547849,1.5613631040674525,0.8769930603161091
