player_id,fg3m,fg3a_low,fg3a_high,raw_fg3a_missing,official_3pa_excess,season
203458,0,0.0,0.0,True,,2013-14
2405,0,0.0,0.0,True,,2013-14
101106,0,0.0,0.0,True,,2013-14
101115,0,0.0,0.0,True,,2013-14
2740,0,0.0,0.0,True,,2013-14
202620,0,0.0,0.0,True,,2013-14
203102,0,0.0,0.0,True,,2013-14
203382,0,0.0,0.0,True,,2013-14
202687,0,0.0,0.0,True,,2013-14
201148,0,0.0,0.0,True,,2013-14
201171,0,0.0,0.0,True,,2013-14
203147,0,0.0,0.0,True,,2013-14
202332,0,0.0,0.0,True,,2013-14
203474,0,0.0,0.0,True,,2013-14
201591,0,0.0,0.0,True,,2013-14
202350,0,0.0,0.0,True,,2013-14
101135,0,0.0,1.0,True,,2013-14
201599,0,0.0,0.0,True,,2013-14
202732,0,0.0,0.0,True,,2013-14
202324,0,0.0,1.0,True,,2013-14
203473,0,0.0,0.0,True,,2013-14
202354,0,0.0,0.0,True,,2013-14
202334,0,0.0,0.0,True,,2013-14
202327,0,0.0,0.0,True,,2013-14
203548,0,0.0,0.0,True,,2013-14
201141,0,0.0,0.0,True,,2013-14
202962,0,0.0,0.0,True,,2013-14
202970,0,0.0,0.0,True,,2013-14
202380,0,0.0,0.0,True,,2013-14
201934,0,0.0,0.0,True,,2013-14
200756,0,0.0,0.0,True,,2013-14
201580,0,0.0,0.0,True,,2013-14
202686,0,0.0,0.0,True,,2013-14
202363,0,0.0,0.0,True,,2013-14
101131,0,0.0,0.0,True,,2013-14
201160,0,0.0,0.0,True,,2013-14
201574,0,0.0,0.0,True,,2013-14
202399,0,0.0,0.0,True,,2013-14
201965,0,0.0,0.0,True,,2013-14
202719,0,0.0,0.0,True,,2013-14
979,0,0.0,0.0,True,,2013-14
201202,0,0.0,0.0,True,,2013-14
2735,0,0.0,0.0,True,,2013-14
2694,0,0.0,0.0,True,,2013-14
202338,0,0.0,0.0,True,,2013-14
201585,0,0.0,0.0,True,,2013-14
202498,0,0.0,0.0,True,,2013-14
200811,0,0.0,0.0,True,,2013-14
203146,0,0.0,0.0,True,,2013-14
2408,0,0.0,0.0,True,,2013-14
203101,0,0.0,0.0,True,,2013-14
203545,0,0.0,0.0,True,,2013-14
1737,0,0.0,0.0,True,,2013-14
201593,0,0.0,0.0,True,,2013-14
202696,0,0.0,0.0,True,,2013-14
203136,0,0.0,0.0,True,,2013-14
201600,0,0.0,0.0,True,,2013-14
2501,0,0.0,0.0,True,,2013-14
203135,0,0.0,0.0,True,,2013-14
101142,0,0.0,0.0,True,,2013-14
203091,0,0.0,0.0,True,,2013-14
203497,0,0.0,0.0,True,,2013-14
200797,0,0.0,0.0,True,,2013-14
202197,0,0.0,0.0,True,,2013-14
101183,0,0.0,0.0,True,,2013-14
200780,0,0.0,0.0,True,,2013-14
203500,0,0.0,0.0,True,,2013-14
2617,0,0.0,0.0,True,,2013-14
203139,0,0.0,0.0,True,,2013-14
203945,0,0.0,0.0,True,,2014-15
201582,0,0.0,0.0,True,,2014-15
1905,0,0.0,0.0,True,,2014-15
101106,0,0.0,0.0,True,,2014-15
202620,0,0.0,0.0,True,,2014-15
203108,0,0.0,0.0,True,,2014-15
202687,0,0.0,0.0,True,,2014-15
2217,0,0.0,0.0,True,,2014-15
203946,0,0.0,0.0,True,,2014-15
201171,0,0.0,0.0,True,,2014-15
2430,0,0.0,0.0,True,,2014-15
2549,0,0.0,0.0,True,,2014-15
101236,0,0.0,0.0,True,,2014-15
203991,0,0.0,0.0,True,,2014-15
202332,0,0.0,0.0,True,,2014-15
201971,0,0.0,0.0,True,,2014-15
202334,0,0.0,0.0,True,,2014-15
202327,0,0.0,0.0,True,,2014-15
203961,0,0.0,0.0,True,,2014-15
203105,0,0.0,0.0,True,,2014-15
202328,0,0.0,0.0,True,,2014-15
202962,0,0.0,0.0,True,,2014-15
201880,0,0.0,0.0,True,,2014-15
202355,0,0.0,0.0,True,,2014-15
101133,0,0.0,0.0,True,,2014-15
201580,0,0.0,0.0,True,,2014-15
204022,0,0.0,0.0,True,,2014-15
203949,0,0.0,0.0,True,,2014-15
203950,0,0.0,0.0,True,,2014-15
101131,0,0.0,0.0,True,,2014-15
202399,0,0.0,0.0,True,,2014-15
201965,0,0.0,0.0,True,,2014-15
203481,0,0.0,0.0,True,,2014-15
202366,0,0.0,0.0,True,,2014-15
203968,0,0.0,0.0,True,,2014-15
201202,0,0.0,0.0,True,,2014-15
200777,0,0.0,0.0,True,,2014-15
203089,0,0.0,0.0,True,,2014-15
203948,0,0.0,0.0,True,,2014-15
203944,0,0.0,0.0,True,,2014-15
203564,0,0.0,0.0,True,,2014-15
2030,0,0.0,0.0,True,,2014-15
201585,0,0.0,0.0,True,,2014-15
202336,0,0.0,0.0,True,,2014-15
202730,0,0.0,0.0,True,,2014-15
203512,0,0.0,0.0,True,,2014-15
202723,0,0.0,0.0,True,,2014-15
203077,0,0.0,0.0,True,,2014-15
203101,0,0.0,0.0,True,,2014-15
203545,0,0.0,0.0,True,,2014-15
1737,0,0.0,0.0,True,,2014-15
203457,0,0.0,0.0,True,,2014-15
201593,0,0.0,0.0,True,,2014-15
203136,0,0.0,0.0,True,,2014-15
201600,0,0.0,0.0,True,,2014-15
201577,0,0.0,1.0,True,,2014-15
101142,0,0.0,0.0,True,,2014-15
200797,0,0.0,0.0,True,,2014-15
2223,0,0.0,0.0,True,,2014-15
204021,0,0.0,0.0,True,,2014-15
201959,0,0.0,0.0,True,,2014-15
201168,0,0.0,0.0,True,,2014-15
203315,0,0.0,0.0,True,,2014-15
202684,0,0.0,0.0,True,,2014-15
203092,0,0.0,0.0,True,,2014-15
200748,0,0.0,0.0,True,,2014-15
2199,0,0.0,0.0,True,,2014-15
202333,0,0.0,0.0,True,,2014-15
