rank,player_id,player_name,season,gp,fgm,fga,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game,fg3m,fg3a_low,fg3a_high,raw_fg3a_missing,official_3pa_excess,fg3a,league_3p_pct_low,league_3p_pct_high,relative_3p_pp_high,league_3pa_per_game_high,relative_3pa_per_game_low
1,1629632,Coby White,2023-24,79,145,397.0,435,36.523929471032744,37.685776690259964,-1.1618472192272193,5.025316455696203,5.506329113924051,2.3064656641793873,2.7188507915168154,2.6076284989204956,2.898700615003555,145,397.0,397.0,False,0.0,397.0,37.68453896050579,37.685776690259964,-1.160609489473046,2.306541418885648,2.7187750368105545
2,1641824,Matas Buzelis,2025-26,77,141,383.0,423,36.81462140992167,37.10749765842124,-0.2928762484995673,4.974025974025974,5.4935064935064934,2.4436981726764473,2.5303278013495265,2.720385726614386,2.7731207668921076,141,383.0,383.0,False,0.0,383.0,37.10749765842124,37.10749765842124,-0.2928762484995673,2.4436981726764473,2.5303278013495265
3,1628374,Lauri Markkanen,2017-18,68,137,375.0,411,36.53333333333333,37.73669620895639,-1.203362875623057,5.514705882352941,6.044117647058823,1.96215574367028,3.552550138682661,2.2213582564063277,3.8227593906524957,137,375.0,375.0,False,0.0,375.0,37.73522292496291,37.73669620895639,-1.2018895916295804,1.9622323514766156,3.5524735308763256
4,202703,Nikola Mirotic,2015-16,66,130,309.0,390,42.07119741100323,37.044749767989316,5.026447643013917,4.681818181818182,5.909090909090909,1.6941099777590305,2.9877082040591514,1.882736406166117,4.026354502924792,130,309.0,309.0,False,0.0,309.0,37.044749767989316,37.044749767989316,5.026447643013917,1.6941099777590305,2.9877082040591514
5,203200,Justin Holiday,2017-18,72,127,344.0,381,36.91860465116279,37.73669620895639,-0.8180915577936005,4.777777777777778,5.291666666666667,1.96215574367028,2.8156220341074976,2.2213582564063277,3.0703084102603393,127,344.0,344.0,False,0.0,344.0,37.73522292496291,37.73669620895639,-0.816618273800124,1.9622323514766156,2.815545426301162
6,1629632,Coby White,2024-25,74,127,330.0,381,38.484848484848484,37.294714378498746,1.1901341063497384,4.45945945945946,5.148648648648648,2.4582224587546566,2.001237000704803,2.750361134341975,2.398287514306673,127,330.0,330.0,False,0.0,330.0,37.294714378498746,37.294714378498746,1.1901341063497384,2.4582224587546566,2.001237000704803
7,202696,Nikola Vučević,2024-25,73,125,312.0,375,40.06410256410256,37.294714378498746,2.769388185603816,4.273972602739726,5.136986301369863,2.4582224587546566,1.8157501439850696,2.750361134341975,2.3866251670278875,125,312.0,312.0,False,0.0,312.0,37.294714378498746,37.294714378498746,2.769388185603816,2.4582224587546566,1.8157501439850696
8,1629632,Coby White,2020-21,69,121,333.0,363,36.33633633633634,37.83034102783319,-1.4940046914968548,4.826086956521739,5.260869565217392,2.2831178971111306,2.5429690594106087,2.591133859633903,2.6697357055834887,121,333.0,333.0,False,0.0,333.0,37.83034102783319,37.83034102783319,-1.4940046914968548,2.2831178971111306,2.5429690594106087
9,202696,Nikola Vučević,2022-23,82,121,342.0,363,35.380116959064324,36.945705526611164,-1.5655885675468397,4.170731707317073,4.426829268292683,2.305283077160732,1.865448630156341,2.5551092917278133,1.8717199765648695,121,342.0,342.0,False,0.0,342.0,36.945705526611164,36.945705526611164,-1.5655885675468397,2.305283077160732,1.865448630156341
10,1628374,Lauri Markkanen,2020-21,51,118,291.0,354,40.549828178694156,37.83034102783319,2.7194871508609637,5.705882352941177,6.9411764705882355,2.2831178971111306,3.422764455830046,2.591133859633903,4.350042610954333,118,291.0,291.0,False,0.0,291.0,37.83034102783319,37.83034102783319,2.7194871508609637,2.2831178971111306,3.422764455830046
11,1629632,Coby White,2021-22,61,113,278.0,339,40.64748201438849,36.42885414605185,4.21862786833664,4.557377049180328,5.557377049180328,2.328660854871539,2.228716194308789,2.544913399132071,3.012463650048257,113,278.0,278.0,False,0.0,278.0,36.42885414605185,36.42885414605185,4.21862786833664,2.328660854871539,2.228716194308789
12,202703,Nikola Mirotic,2016-17,70,112,336.0,336,33.333333333333336,37.07394452127227,-3.7406111879389314,4.8,4.8,1.881173725085122,2.9188262749148777,2.092275909560427,2.707724090439573,112,336.0,336.0,False,0.0,336.0,37.07394452127227,37.07394452127227,-3.7406111879389314,1.881173725085122,2.9188262749148777
13,1628374,Lauri Markkanen,2018-19,52,110,301.0,330,36.54485049833887,36.67113073693355,-0.1262802385946813,5.788461538461538,6.346153846153846,2.1170070112256236,3.6714545272359147,2.3289912263897934,4.017162619764052,110,301.0,301.0,False,0.0,301.0,36.67113073693355,36.67113073693355,-0.1262802385946813,2.1170070112256236,3.6714545272359147
14,1629632,Coby White,2022-23,74,110,284.0,330,38.732394366197184,36.945705526611164,1.78668883958602,3.8378378378378377,4.45945945945946,2.305283077160732,1.5325547606771055,2.5551092917278133,1.9043501677316463,110,284.0,284.0,False,0.0,284.0,36.945705526611164,36.945705526611164,1.78668883958602,2.305283077160732,1.5325547606771055
15,1627936,Alex Caruso,2023-24,71,110,271.0,330,40.59040590405904,37.685776690259964,2.904629213799076,3.816901408450704,4.647887323943662,2.3064656641793873,1.5104357442713168,2.6076284989204956,2.0402588250231664,110,271.0,271.0,False,0.0,271.0,37.68453896050579,37.685776690259964,2.9058669435532494,2.306541418885648,1.510359989565056
