season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade
1985,1984–85,77484,Wes Matthews,28400005,1984-10-26,CHI vs. WAS,WAS,W,2.0,2,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.4,113.63636363636364,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
1985,1984–85,76876,Sidney Green,28400005,1984-10-26,CHI vs. WAS,WAS,W,9.0,4,2,4.0,0.0,0.0,0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,3.0,1.0,,1.0999999999999996,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
1985,1984–85,76497,Quintin Dailey,28400005,1984-10-26,CHI vs. WAS,WAS,W,28.0,25,12,18.0,0.0,0.0,1,1.0,1.0,1.0,2.0,1.0,1.0,0.0,7.0,3.0,,11.700000000000003,67.78741865509761,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
1985,1984–85,77175,Caldwell Jones,28400005,1984-10-26,CHI vs. WAS,WAS,W,29.0,0,0,5.0,0.0,1.0,0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,,-0.10000000000000009,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
1985,1984–85,76453,Dave Corzine,28400005,1984-10-26,CHI vs. WAS,WAS,W,6.0,2,1,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,-0.5,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
1986,1985–86,893,Michael Jordan,28500007,1985-10-25,CHI vs. CLE,CLE,W,39.0,29,13,26.0,0.0,0.0,3,4.0,3.0,3.0,6.0,3.0,3.0,0.0,3.0,5.0,,18.700000000000003,52.23342939481268,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,77438,Kyle Macy,28500007,1985-10-25,CHI vs. CLE,CLE,W,46.0,8,3,6.0,1.0,3.0,1,2.0,0.0,3.0,3.0,13.0,2.0,0.0,2.0,5.0,,12.600000000000001,58.139534883720934,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,891,Charles Oakley,28500007,1985-10-25,CHI vs. CLE,CLE,W,19.0,5,0,4.0,0.0,0.0,5,6.0,3.0,6.0,9.0,1.0,0.0,0.0,3.0,1.0,,2.999999999999999,37.65060240963855,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,76453,Dave Corzine,28500007,1985-10-25,CHI vs. CLE,CLE,W,26.0,11,4,7.0,0.0,0.0,3,3.0,3.0,6.0,9.0,1.0,0.0,1.0,3.0,3.0,,8.8,66.10576923076923,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,76876,Sidney Green,28500007,1985-10-25,CHI vs. CLE,CLE,W,24.0,10,4,10.0,0.0,0.0,2,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,6.0,,4.4,42.51700680272109,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,76804,George Gervin,28500007,1985-10-25,CHI vs. CLE,CLE,W,16.0,4,2,8.0,0.0,0.0,0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,,1.0999999999999996,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,78615,Orlando Woolridge,28500007,1985-10-25,CHI vs. CLE,CLE,W,44.0,35,11,21.0,0.0,1.0,13,15.0,5.0,7.0,12.0,3.0,1.0,2.0,5.0,3.0,,27.799999999999997,63.40579710144927,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,77757,Jawann Oldham,28500007,1985-10-25,CHI vs. CLE,CLE,W,35.0,12,5,8.0,0.0,0.0,2,7.0,4.0,1.0,5.0,1.0,0.0,4.0,2.0,6.0,,8.6,54.151624548736464,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1986,1985–86,76093,Gene Banks,28500007,1985-10-25,CHI vs. CLE,CLE,W,16.0,2,1,5.0,0.0,0.0,0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,,1.9,20.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s
1987,1986–87,893,Michael Jordan,28600014,1986-11-01,CHI @ NYK,NYK,W,41.0,50,15,31.0,0.0,0.0,20,22.0,2.0,4.0,6.0,3.0,4.0,3.0,6.0,2.0,,37.50000000000001,61.455260570304816,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,891,Charles Oakley,28600014,1986-11-01,CHI @ NYK,NYK,W,32.0,17,7,17.0,0.0,0.0,3,5.0,3.0,5.0,8.0,3.0,1.0,0.0,2.0,5.0,,9.800000000000002,44.270833333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
