game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
28300521,1984-02-03,CHI @ CLE,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300511,1984-02-01,CHI @ ATL,L,103,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300499,1984-01-31,CHI vs. BOS,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300491,1984-01-26,CHI vs. DEN,L,125,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300475,1984-01-24,CHI vs. ATL,L,93,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300463,1984-01-21,CHI @ CLE,W,111,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300453,1984-01-19,CHI @ NYK,L,92,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300442,1984-01-17,CHI vs. CLE,L,103,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300426,1984-01-14,CHI vs. NYK,L,111,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300419,1984-01-13,CHI @ DET,L,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300408,1984-01-11,CHI @ NJN,L,105,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300402,1984-01-10,CHI vs. IND,W,105,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300385,1984-01-07,CHI vs. WAS,W,87,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300374,1984-01-06,CHI @ WAS,L,88,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300370,1984-01-04,CHI @ IND,L,89,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300358,1984-01-03,CHI vs. PHX,W,102,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300342,1983-12-30,CHI @ DET,L,96,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300335,1983-12-29,CHI vs. POR,W,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300324,1983-12-27,CHI vs. NYK,W,102,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300310,1983-12-23,CHI vs. WAS,W,114,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300302,1983-12-22,CHI @ MIL,W,116,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300285,1983-12-17,CHI vs. DAL,W,102,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300268,1983-12-15,CHI @ NYK,W,113,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300260,1983-12-13,CHI vs. MIL,W,96,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300245,1983-12-10,CHI vs. CLE,L,95,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300237,1983-12-09,CHI vs. HOU,L,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300217,1983-12-06,CHI vs. BOS,L,116,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300205,1983-12-03,CHI @ DAL,L,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300198,1983-12-02,CHI @ SAN,L,94,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300176,1983-11-29,CHI @ HOU,L,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300170,1983-11-27,CHI @ LAL,L,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300152,1983-11-25,CHI @ PHX,L,94,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300147,1983-11-23,CHI @ UTH,W,128,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300124,1983-11-19,CHI vs. IND,W,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300118,1983-11-17,CHI vs. SEA,L,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300099,1983-11-15,CHI vs. DET,W,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300092,1983-11-12,CHI vs. BOS,L,101,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300081,1983-11-11,CHI @ WAS,L,124,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300064,1983-11-08,CHI vs. KCK,W,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300041,1983-11-04,CHI @ ATL,L,90,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300039,1983-11-03,CHI @ NJN,L,107,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300025,1983-11-01,CHI @ PHL,L,91,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300012,1983-10-29,CHI vs. NJN,W,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28400936,1985-04-13,CHI @ NJN,L,111,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400930,1985-04-12,CHI vs. ATL,L,108,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400903,1985-04-08,CHI @ IND,L,103,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400892,1985-04-06,CHI @ ATL,W,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400890,1985-04-05,CHI @ PHL,L,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400875,1985-04-03,CHI @ WAS,W,100,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400872,1985-04-02,CHI vs. NJN,W,108,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400859,1985-03-30,CHI vs. PHL,L,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400843,1985-03-28,CHI @ CLE,L,114,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400832,1985-03-26,CHI vs. IND,W,120,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400817,1985-03-24,CHI @ UTH,L,92,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400810,1985-03-23,CHI @ DAL,W,107,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400797,1985-03-20,CHI @ SAN,L,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400790,1985-03-19,CHI @ HOU,L,100,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400779,1985-03-17,CHI vs. MIL,W,119,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400760,1985-03-15,CHI vs. PHX,W,103,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400756,1985-03-14,CHI @ NYK,L,97,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400747,1985-03-12,CHI vs. DET,W,111,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400738,1985-03-11,CHI @ WAS,L,112,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400729,1985-03-09,CHI vs. UTH,L,105,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400718,1985-03-08,CHI vs. LAC,W,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400711,1985-03-06,CHI @ BOS,W,107,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400705,1985-03-05,CHI vs. WAS,W,104,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400691,1985-03-03,CHI vs. NJN,L,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400679,1985-03-01,CHI vs. NYK,W,109,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400666,1985-02-27,CHI @ DET,L,99,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400661,1985-02-26,CHI vs. CLE,L,118,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400647,1985-02-23,CHI vs. GOS,W,140,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400636,1985-02-22,CHI @ BOS,L,105,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400621,1985-02-19,CHI vs. LAL,L,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400615,1985-02-17,CHI @ MIL,L,105,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400598,1985-02-15,CHI vs. IND,L,96,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
