season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG,family
2024-25,0022400013,20241115,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2024-25,0022400013,20241115,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400013,20241115,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400030,20241122,Driving Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400030,20241122,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),4,0,Layups
2024-25,0022400030,20241122,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400030,20241122,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400030,20241122,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400030,20241122,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400030,20241122,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400030,20241122,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400035,20241126,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,24,0,Pull-ups
2024-25,0022400035,20241126,Jump Shot,3PT Field Goal,Left Corner 3,24,0,Standard jumpers
2024-25,0022400035,20241126,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400035,20241126,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Floaters
2024-25,0022400035,20241126,Cutting Dunk Shot,2PT Field Goal,Restricted Area,2,1,Dunks
2024-25,0022400035,20241126,Jump Shot,3PT Field Goal,Left Corner 3,24,1,Standard jumpers
2024-25,0022400035,20241126,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Layups
2024-25,0022400047,20241129,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400047,20241129,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,0,1,Layups
2024-25,0022400069,20241023,Jump Shot,3PT Field Goal,Left Corner 3,24,0,Standard jumpers
2024-25,0022400069,20241023,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400069,20241023,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2024-25,0022400083,20241025,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400083,20241025,Jump Shot,2PT Field Goal,Mid-Range,14,1,Standard jumpers
2024-25,0022400083,20241025,Turnaround Jump Shot,2PT Field Goal,Mid-Range,15,0,Turnarounds/fades
2024-25,0022400091,20241026,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,12,0,Turnarounds/fades
2024-25,0022400091,20241026,Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400091,20241026,Tip Layup Shot,2PT Field Goal,Restricted Area,0,1,Tip-ins
2024-25,0022400108,20241028,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400123,20241030,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),10,0,Turnarounds/fades
2024-25,0022400160,20241104,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,0,Floaters
2024-25,0022400176,20241106,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1,Floaters
2024-25,0022400176,20241106,Running Jump Shot,3PT Field Goal,Left Corner 3,23,1,Running jumpers
2024-25,0022400176,20241106,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),6,0,Floaters
2024-25,0022400176,20241106,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2024-25,0022400176,20241106,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2024-25,0022400176,20241106,Jump Shot,3PT Field Goal,Above the Break 3,24,1,Standard jumpers
2024-25,0022400176,20241106,Jump Shot,3PT Field Goal,Right Corner 3,23,1,Standard jumpers
2024-25,0022400176,20241106,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400176,20241106,Running Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2024-25,0022400181,20241107,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400181,20241107,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400181,20241107,Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400212,20241111,Jump Shot,3PT Field Goal,Right Corner 3,24,0,Standard jumpers
2024-25,0022400219,20241113,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400219,20241113,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400219,20241113,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400219,20241113,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400219,20241113,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400219,20241113,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),4,0,Layups
2024-25,0022400241,20241117,Jump Shot,3PT Field Goal,Above the Break 3,24,1,Standard jumpers
2024-25,0022400241,20241117,Step Back Jump shot,3PT Field Goal,Above the Break 3,25,1,Step-backs
2024-25,0022400241,20241117,Running Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400241,20241117,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,0,Floaters
2024-25,0022400241,20241117,Jump Shot,3PT Field Goal,Above the Break 3,27,0,Standard jumpers
2024-25,0022400241,20241117,Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400244,20241118,Jump Shot,3PT Field Goal,Above the Break 3,27,0,Standard jumpers
2024-25,0022400253,20241120,Running Jump Shot,3PT Field Goal,Left Corner 3,23,0,Running jumpers
2024-25,0022400266,20241123,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400266,20241123,Putback Layup Shot,2PT Field Goal,Restricted Area,0,1,Layups
2024-25,0022400266,20241123,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
