season,total_fga,label_self_created_fga,label_self_created_share_pct,tracked_pullup_fga,tracked_pullup_share_pct,gap_points,tracked_catch_shoot_fga,tracked_covered_share_pct
2024-25,555,35,6.3,37,6.7,0.4,249,51.5
2025-26,963,124,12.9,124,12.9,0.0,384,52.8
