season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
1997-98,893,Jordan,44,70,0,0,52,Michael Jordan,79,5705,69,1.2269938650306749,3.0,70.0,0.0,1
1997-98,937,Pippen,16,19,0,0,16,Scottie Pippen,43,3051,18,0.6227466404457555,104.0,19.0,0.0,1
1998-99,54,Simpkins,13,14,0,0,10,Dickey Simpkins,48,2558,13,0.547302580140735,56.0,14.0,0.0,1
1998-99,95,Bryant,6,8,0,0,5,Mark Bryant,43,2101,8,0.38077106139933364,131.0,8.0,0.0,0
1998-99,166,Harper,4,4,0,0,3,Ron Harper,34,1940,4,0.20618556701030927,207.0,4.0,0.0,0
1998-99,389,Kukoc,13,19,0,0,14,Toni Kukoc,42,2881,17,0.6594932315168345,27.0,19.0,0.0,2
1998-99,457,Lang,1,1,0,0,0,Andrew Lang,20,666,1,0.15015015015015015,293.0,1.0,0.0,0
1998-99,699,Barry,9,9,0,0,5,Brent Barry,36,2135,8,0.4215456674473068,115.0,9.0,0.0,1
1998-99,753,Brown,5,5,0,0,4,Randy Brown,37,2014,5,0.24826216484607747,187.0,5.0,0.0,0
1998-99,1522,Booth,2,2,0,0,1,Keith Booth,37,790,2,0.25316455696202533,261.0,2.0,0.0,0
1998-99,1600,David,9,10,0,0,9,Kornel David,48,1635,10,0.6116207951070336,94.0,10.0,0.0,0
1998-99,1736,Benjamin,2,2,0,0,0,Corey Benjamin,30,575,1,0.34782608695652173,261.0,2.0,0.0,1
1998-99,1757,Carr,2,2,0,0,2,Cory Carr,40,1137,2,0.1759014951627089,261.0,2.0,0.0,0
1999-00,54,Simpkins,9,10,0,0,4,Dickey Simpkins,67,2965,10,0.3372681281618887,170.0,10.0,0.0,0
1999-00,234,Reeves,1,1,0,0,1,Khalid Reeves,3,91,1,1.098901098901099,341.0,1.0,0.0,0
1999-00,317,Starks,1,1,0,0,1,John Starks,4,153,1,0.6535947712418301,198.0,1.0,0.0,0
1999-00,389,Kukoc,10,14,1,0,9,Toni Kukoc,23,1539,14,0.9096816114359974,81.0,14.0,0.0,0
1999-00,697,Hoiberg,3,3,0,0,3,Fred Hoiberg,30,1556,3,0.1928020565552699,278.0,3.0,0.0,0
1999-00,713,Carr,9,10,0,0,9,Chris Carr,49,2033,10,0.49188391539596654,157.0,10.0,0.0,0
1999-00,753,Brown,5,5,0,0,1,Randy Brown,57,2945,5,0.1697792869269949,235.0,5.0,0.0,0
1999-00,765,Hawkins,8,10,0,0,10,Hersey Hawkins,59,2900,10,0.3448275862068966,170.0,10.0,0.0,0
1999-00,781,Perdue,6,6,0,0,3,Will Perdue,66,1884,6,0.3184713375796178,213.0,6.0,0.0,0
1999-00,1074,Maloney,5,5,0,0,4,Matt Maloney,50,2143,5,0.2333177788147457,235.0,5.0,0.0,0
1999-00,1512,Anstey,13,13,0,0,10,Chris Anstey,72,1866,13,0.6966773847802786,128.0,13.0,0.0,0
1999-00,1600,David,2,2,0,0,2,Kornel David,25,842,2,0.2375296912114014,312.0,2.0,0.0,0
1999-00,1736,Benjamin,6,6,0,0,2,Corey Benjamin,47,1599,6,0.37523452157598497,213.0,6.0,0.0,0
1999-00,1882,Brand,35,50,0,0,34,Elton Brand,79,5482,50,0.9120758847136081,7.0,50.0,0.0,0
1999-00,1897,World Peace,21,26,0,0,15,Metta World Peace,70,4117,26,0.6315278115132378,51.0,26.0,0.0,0
1999-00,1913,Ruffin,4,4,0,0,1,Michael Ruffin,69,1771,4,0.22586109542631283,254.0,4.0,0.0,0
1999-00,2000,Willoughby,1,2,0,0,1,Dedric Willoughby,25,986,2,0.2028397565922921,312.0,2.0,0.0,0
2000-01,697,Hoiberg,7,7,0,0,6,Fred Hoiberg,74,4197,7,0.16678579938050989,196.0,7.0,0.0,0
2000-01,1434,Tarlac,1,1,0,0,0,Dragan Tarlac,43,1119,1,0.08936550491510277,323.0,1.0,0.0,0
2000-01,1500,Mercer,18,20,0,0,15,Ron Mercer,61,4706,20,0.42498937526561836,74.0,20.0,0.0,0
2000-01,1724,Drew,1,1,0,0,1,Bryce Drew,48,2455,1,0.04073319755600815,323.0,1.0,0.0,0
2000-01,1736,Benjamin,7,7,0,0,5,Corey Benjamin,65,1600,7,0.4375,182.0,8.0,-1.0,0
2000-01,1802,Miller,18,21,0,0,16,Brad Miller,57,2648,21,0.7930513595166163,65.0,21.0,0.0,0
2000-01,1864,Goodrich,1,1,0,0,1,Steve Goodrich,12,232,1,0.43103448275862066,323.0,1.0,0.0,0
2000-01,1882,Brand,38,47,0,0,28,Elton Brand,74,5438,47,0.8642883413019492,10.0,47.0,0.0,0
2000-01,1897,World Peace,17,21,0,0,11,Metta World Peace,76,4407,21,0.4765146358066712,65.0,21.0,0.0,0
2000-01,1913,Ruffin,2,3,0,0,3,Michael Ruffin,45,1600,3,0.1875,273.0,3.0,0.0,0
2000-01,2033,Fizer,17,19,0,0,12,Marcus Fizer,72,2959,19,0.6421088205474823,79.0,19.0,0.0,0
2000-01,2037,Crawford,3,3,0,0,2,Jamal Crawford,61,1976,3,0.15182186234817813,273.0,3.0,0.0,0
2000-01,2053,Bagaric,3,3,0,0,2,Dalibor Bagaric,35,507,3,0.591715976331361,273.0,3.0,0.0,0
2000-01,2062,Guyton,1,1,0,0,0,A.J. Guyton,33,1148,1,0.08710801393728224,323.0,1.0,0.0,0
2000-01,2064,El-Amin,3,3,0,0,2,Khalid El-Amin,50,1756,3,0.17084282460136674,273.0,3.0,0.0,0
2001-02,21,Anthony,2,2,0,0,1,Greg Anthony,36,1828,2,0.10940919037199125,283.0,2.0,0.0,0
2001-02,147,Rose,10,11,0,0,10,Jalen Rose,30,2317,11,0.4747518342684506,30.0,11.0,0.0,0
2001-02,696,Best,4,6,0,0,6,Travis Best,30,1500,6,0.4,165.0,6.0,0.0,0
2001-02,697,Hoiberg,5,5,0,0,5,Fred Hoiberg,79,2638,5,0.18953752843062927,241.0,5.0,0.0,0
2001-02,1500,Mercer,5,6,0,0,5,Ron Mercer,40,2858,6,0.2099370188943317,225.0,6.0,0.0,0
2001-02,1563,Ollie,10,11,0,0,10,Kevin Ollie,52,2139,11,0.5142589995324918,89.0,11.0,0.0,0
2001-02,1802,Miller,21,27,0,0,20,Brad Miller,48,2597,27,1.039661147477859,10.0,27.0,0.0,0
2001-02,1897,World Peace,9,11,0,0,7,Metta World Peace,27,1581,11,0.6957621758380772,74.0,11.0,0.0,0
2001-02,1944,Robinson,4,4,0,0,4,Eddie Robinson,29,1260,4,0.31746031746031744,259.0,4.0,0.0,0
2001-02,2033,Fizer,23,27,0,0,18,Marcus Fizer,76,3693,27,0.7311129163281884,35.0,27.0,0.0,0
2001-02,2037,Crawford,3,3,0,0,3,Jamal Crawford,23,921,3,0.3257328990228013,283.0,3.0,0.0,0
2001-02,2053,Bagaric,8,8,0,0,5,Dalibor Bagaric,50,1197,8,0.6683375104427736,197.0,8.0,0.0,0
2001-02,2062,Guyton,1,1,0,0,0,A.J. Guyton,45,1139,1,0.08779631255487269,339.0,1.0,0.0,0
2001-02,2199,Chandler,19,22,0,0,13,Tyson Chandler,71,2679,22,0.8212019410227697,58.0,22.0,0.0,0
2001-02,2201,Curry,15,16,0,0,10,Eddy Curry,72,2190,16,0.730593607305936,107.0,16.0,0.0,0
2001-02,2239,Hassell,10,11,0,0,6,Trenton Hassell,78,4201,11,0.2618424184717924,151.0,11.0,0.0,0
2001-02,2369,Richardson,1,1,0,0,0,Norman Richardson,8,122,1,0.819672131147541,,,,0
2002-03,147,Rose,32,39,1,0,31,Jalen Rose,82,6575,39,0.5931558935361216,18.0,39.0,0.0,0
2002-03,697,Hoiberg,1,1,0,0,1,Fred Hoiberg,63,1527,1,0.06548788474132286,331.0,1.0,0.0,0
2002-03,916,Blount,3,4,0,0,3,Corie Blount,50,1605,4,0.24922118380062305,252.0,4.0,0.0,0
2002-03,923,Marshall,19,21,0,0,18,Donyell Marshall,78,4661,21,0.45054709289851963,66.0,21.0,0.0,0
2002-03,1944,Robinson,8,8,0,0,7,Eddie Robinson,64,2649,8,0.3020007550018875,182.0,8.0,0.0,0
